Pos,Team,CAT Race 1,CAT Race 2,MON Race 1,MON Race 2,BAK Race 1,BAK Race 2,RBR Race 1,RBR Race 2,SIL Race 1,SIL Race 2,HUN Race 1,HUN Race 2,HOC Race 1,HOC Race 2,SPA Race 1,SPA Race 2,MNZ Race 1,MNZ Race 2,SEP Race 1,SEP Race 2,YMC Race 1,YMC Race 2,Points
1,Prema Racing,18,Ret,11,18,1,1,Ret,5,2,4,2,17†,8,Ret,6,1,1,3,1,4,1,6,430
1,Prema Racing,3,2,15,13,Ret,2,Ret,7,1,7,1,7,DSQ,6,1,4,4,2,11,3,5,9,430
2,Racing Engineering,1,16,2,6,Ret,Ret,7,13,7,22†,7,3,Ret,18,Ret,8,5,1,3,Ret,6,5,258
2,Racing Engineering,7,3,Ret,16,12†,4,8,1,8,1,8,2,15,11,2,12,7,4,5,14,13,10,258
3,Russian Time,8,5,6,3,3,11,3,4,9,6,4,8,3,7,4,5,2,14,6,2,10,13,256
3,Russian Time,4,4,1,8,Ret,5,Ret,12,10,12,9,4,Ret,9,5,21†,10,10,DNS,13,3,7,256
4,ART Grand Prix,11,8,8,1,6,Ret,16,15,6,5,6,Ret,9,12,11,11,11,6,Ret,7,2,4,251
4,ART Grand Prix,Ret,11,Ret,Ret,2,3,12,6,18,21,3,1,1,2,9,16,14,Ret,2,Ret,4,3,251
5,DAMS,6,1,4,5,Ret,9,11,3,16,14,12,Ret,7,1,3,10,12,5,4,12,8,1,147
5,DAMS,2,7,Ret,Ret,Ret,13,10,Ret,11,10,16,12,14,17,13,9,16,15,14,10,9,12,147
6,Pertamina Campos Racing,12,14,5,4,5,Ret,1,8,4,13,10,5,Ret,10,16,13,8,Ret,8,6,15,8,114
6,Pertamina Campos Racing,17,13,13,Ret,7,Ret,2,Ret,21,18,22†,10,Ret,Ret,18,15,DSQ,16,16,Ret,Ret,21,114
7,MP Motorsport,10,6,3,7,4,15†,6,2,3,3,11,6,5,5,10,6,9,9,12,8,Ret,11,113
7,MP Motorsport,14,17,9,11,8,14,14,20,19,16,15,11,Ret,16,17,17,17,19,17,Ret,14,Ret,113
8,Trident,Ret,Ret,16,Ret,Ret,Ret,15,14,20,20,19,15,16,Ret,20,19,19,17,19,Ret,16,18,111
8,Trident,Ret,12,Ret,14,9,12,4,9,5,2,17,Ret,2,4,7,3,6,Ret,7,1,11,19,111
9,Rapax,9,10,14,12,10,Ret,13,16,22,19,13,14,6,8,8,2,3,7,9,5,Ret,14,107
9,Rapax,13,Ret,10,9,Ret,8,9,18,14,11,5,Ret,4,3,14,22†,Ret,11,13,9,7,2,107
10,Carlin,5,9,12,10,Ret,6,Ret,10,13,9,18,9,13,15,12,7,Ret,13,10,15,12,16,38
10,Carlin,15,15,7,2,Ret,10,Ret,19,12,8,14,13,10,14,Ret,14,18,8,15,11,Ret,17,38
