Pos,Team,No Race 1,CAT Race 1,CAT Race 2,IST Race 1,IST Race 2,VAL Race 1,VAL Race 2,SIL Race 1,SIL Race 2,HOC Race 1,HOC Race 2,HUN Race 1,HUN Race 2,SPA Race 1,SPA Race 2,MNZ Race 1,MNZ Race 2,Points
1,ART Grand Prix,1,8,1,4,3,Ret,Ret,5,2,Ret,8,8,1,13,2,Ret,15,130
1,ART Grand Prix,2,3,3,1,7,1,7,1,3,4,1,2,5,16,7,1,Ret,130
1,ART Grand Prix,3,12,6,Ret,19,15,11,Ret,20,14,6,19,Ret,7,19,19,Ret,130
2,Status Grand Prix,4,2,4,11,21,2,16,9,5,1,5,4,2,1,11,2,1,86
2,Status Grand Prix,5,19,19,19,27,16,25,19,Ret,17,13,25,18,Ret,13,19,14,86
2,Status Grand Prix,6,Ret,22,5,5,19,12,7,1,Ret,9,21,12,Ret,16,9,7,86
3,Jenzer Motorsport,23,1,Ret,15,18,11,8,14,9,12,Ret,17,23,15,17,14,19,67
3,Jenzer Motorsport,24,6,8,20,13,13,27,17,12,11,Ret,Ret,19,8,Ret,Ret,24,67
3,Jenzer Motorsport,25,13,9,6,4,7,1,3,4,Ret,17,1,6,4,6,4,3,67
4,Manor Racing,7,9,7,2,8,8,3,Ret,11,2,Ret,18,9,Ret,1,13,Ret,64
4,Manor Racing,8,20,25,8,1,6,4,2,Ret,Ret,Ret,20,11,18,18,3,23,64
4,Manor Racing,9,21,26,Ret,Ret,12,5,Ret,Ret,DNS,18,12,7,3,5,17,22,64
5,Carlin,14,Ret,16,10,23,Ret,26,16,10,18†,19,7,Ret,Ret,21,7,5,42
5,Carlin,15,4,5,22†,10,19,12,6,22,9,12,5,3,6,4,Ret,16,42
5,Carlin,16,7,2,Ret,22,21,28,18,16,Ret,14,6,17,Ret,12,20,Ret,42
6,Tech 1 Racing,26,22,Ret,9,9,Ret,20,Ret,17,10,DSQ,14,21,Ret,20,21,18,37
6,Tech 1 Racing,27,11,11,24†,14,10,6,10,Ret,5,3,3,4,Ret,24,16,20,37
6,Tech 1 Racing,28,5,21,Ret,20,4,17,Ret,Ret,8,2,,,5,DSQ,22,Ret,37
7,AtechCRS GP,29,NC,17,14,25,3,2,Ret,19,16,Ret,Ret,22,2,22†,6,4,26
7,AtechCRS GP,30,14,10,12,Ret,Ret,19,13,8,13,20†,16,10,17,10,12,9,26
7,AtechCRS GP,31,DNS,DNS,17,26,20,22,20,21,15,16,24,15,Ret,Ret,23,21,26
8,Addax Team,17,Ret,20,3,6,Ret,18,Ret,23,7,7,13,Ret,Ret,9,Ret,17,25
8,Addax Team,18,Ret,15,21,16,14,9,21,14,Ret,11,Ret,16,Ret,25,18,12,25
8,Addax Team,19,16,Ret,25†,12,18,10,8,13,6,4,11,8,Ret,14,5,2,25
9,MW Arden,20,Ret,18,13,11,Ret,14,Ret,15,Ret,10,10,Ret,10,23†,15,10,18
9,MW Arden,21,10,23,7,2,5,13,15,18,Ret,15,Ret,20,9,3,11,6,18
9,MW Arden,22,18,12,18,24,Ret,21,Ret,Ret,Ret,Ret,22,13,14,Ret,Ret,8,18
10,RSC Mücke Motorsport,10,Ret,14,23,17,Ret,15,12,Ret,Ret,Ret,23,14,12,15,8,13,17
10,RSC Mücke Motorsport,11,15,24,Ret,Ret,Ret,24,11,7,3,Ret,9,Ret,Ret,Ret,Ret,Ret,17
