Team,No.,Driver[3],Rounds
LotusART[4][5],1,Pedro Nunes[6],1–6
LotusART[4][5],Richie Stanaway[7],7–8,
LotusART[4][5],2,Valtteri Bottas[8],All
LotusART[4][5],3,James Calado[9],All
Status Grand Prix[4][a],4,Alexander Sims[10],All
Status Grand Prix[4][a],5,António Félix da Costa[11],All
Status Grand Prix[4][a],6,Ivan Lukashevich[12],All
Jenzer Motorsport[4],7,Nico Müller[13],All
Jenzer Motorsport[4],8,Maxim Zimin[14],All
Jenzer Motorsport[4],9,Vittorio Ghirelli[15],1–6
Jenzer Motorsport[4],Alex Fontana[16],7,
Jenzer Motorsport[4],Christophe Hurni[17],8,
MarussiaManor Racing[4],10,Adrian Quaife-Hobbs[18],All
MarussiaManor Racing[4],11,Rio Haryanto[18],All
MarussiaManor Racing[4],12,Matias Laine[18],All
Carlin[4],14,Conor Daly[19],All
Carlin[4],15,Tom Dillmann[19],1
Carlin[4],Daniel Morad[20],2–4,
Carlin[4],Callum MacLeod[21],5–8,
Carlin[4],16,Leonardo Cordeiro[19],All
Tech 1 Racing[4],17,Aaro Vainio[22],All
Tech 1 Racing[4],18,Andrea Caldarelli[23],1–2
Tech 1 Racing[4],Thomas Hylkema[24],3–8,
Tech 1 Racing[4],19,Tamás Pál Kiss[25],All
AtechCRS GP[4],20,Marlon Stöckinger[26],All
AtechCRS GP[4],21,Nick Yelloly[27],All
AtechCRS GP[4],22,Zoël Amberg[28],All
Addax Team[4],23,Dominic Storey[29],1–2
Addax Team[4],Tom Dillmann[30],3–8,
Addax Team[4],24,Gabriel Chaves[31],All
Addax Team[4],25,Dean Smith[29],1–7
Addax Team[4],Vittorio Ghirelli[32],8,
MWArden[4][b],26,Mitch Evans[33],All
MWArden[4][b],27,Simon Trummer[34],All
MWArden[4][b],28,Lewis Williamson[35],All
RSCMücke Motorsport[4],29,Luciano Bacheta[36],1–6
RSCMücke Motorsport[4],Daniel Mancinelli[37],7–8,
RSCMücke Motorsport[4],30,Michael Christensen[38],All
RSCMücke Motorsport[4],31,Nigel Melker[39],All
