Pos,Driver,CAT R1,CAT R2,VAL R1,VAL R2,SIL R1,SIL R2,NÜR R1,NÜR R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,YMC R1,YMC R2,Points
1,Daniil Kvyat,20,Ret,4,5,4,4,Ret,16,3,7,1,6,1,2,1,5,168
2,Facu Regalia,24†,14,2,7,3,5,1,Ret,6,4,3,3,3,4,15,16,138
3,Conor Daly,3,5,1,8,22,Ret,10,9,2,8,2,2,Ret,8,4,3,126
4,Tio Ellinas,1,4,6,4,5,6,2,6,11,10,8,Ret,Ret,11,7,1,116
5,Jack Harvey,6,6,10,12,1,7,3,10,4,5,Ret,Ret,7,1,5,4,114
6,Nick Yelloly,4,Ret,12,9,6,2,5,3,15,13,6,4,2,Ret,3,6,107
7,Kevin Korjus,8,2,3,6,2,9,20†,15,7,3,4,5,6,5,12,12,107
8,Alexander Sims,,,,,,,8,2,,,5,1,5,6,2,7,77
9,Aaro Vainio,5,1,7,2,11,8,14,11,1,9,20,22†,16,13,,,75
10,Carlos Sainz Jr.,15,DSQ,5,3,13,13,6,5,5,2,Ret,13,9,9,DSQ,18,66
11,Robert Vișoiu,9,19,8,1,12,Ret,11,23,8,1,9,8,Ret,10,10,11,44
12,Lewis Williamson,11,7,19,17,25†,14,4,4,24,Ret,14,10,4,3,,,44
13,Patric Niederhauser,2,3,13,Ret,15,11,12,8,25,15,Ret,9,8,Ret,Ret,15,33
14,Melville McKee,14,Ret,11,Ret,24,15,7,1,17,Ret,7,Ret,12,7,,,31
15,Giovanni Venturini,12,8,15,13,8,1,16,14,9,6,11,11,11,Ret,11,9,26
16,Dean Stoneman,,,,,,,,,,,,,,,6,2,20
17,Alex Fontana,10,9,14,11,7,3,Ret,17,10,19,21,12,Ret,Ret,13,10,18
18,Dino Zamparelli,Ret,15,9,10,10,Ret,9,7,12,20,10,7,Ret,EX,9,8,13
19,David Fumanelli,7,17,Ret,Ret,Ret,20,17,20,16,18,15,14,15,18,,,6
20,Patrick Kujala,Ret,16,21,15,Ret,EX,13,13,14,11,13,20,10,12,8,19,5
21,Adderly Fong,23,11,Ret,Ret,9,Ret,,,20,17,Ret,16,19,20†,17,21,2
22,Eric Lichtenstein,18,10,Ret,Ret,14,10,Ret,21,18,16,,,,,,,0
23,Luís Sá Silva,13,12,Ret,22,17,12,Ret,22,Ret,22,12,21†,Ret,19,18,17,0
24,Jimmy Eriksson,19,Ret,18,16,18,21†,Ret,18,13,12,17,15,13,Ret,23,26,0
25,Emanuele Zonzini,17,Ret,16,14,19,Ret,15,12,Ret,Ret,Ret,23,14,14,14,14,0
26,Samin Gómez,16,13,Ret,19,20,18,18,19,19,14,16,Ret,17,15,22,25,0
27,Robert Cregan,,,,,,,,,,,,,,,16,13,0
28,Josh Webster,Ret,Ret,17,18,16,16,Ret,Ret,21,DSQ,Ret,18,Ret,16,21,22,0
29,Ryan Cullen,21,Ret,20,20,21,17,19,25,23,Ret,18,17,20,Ret,20,24,0
30,Carmen Jordá,22,18,Ret,21,23,19,DSQ,24,22,21,19,19,18,17,Ret,23,0
31,Alice Powell,,,,,,,,,,,,,,,19,20,0
