Pos,Team,CAT R1,CAT R2,RBR R1,RBR R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,YMC R1,YMC R2,Points
1,Carlin,1,18,1,20,2,6,2,3,4,4,8,1,6,2,7,5,5,2,347
1,Carlin,Ret,8,2,1,4,3,3,Ret,5,7,9,6,4,4,Ret,8,4,3,347
1,Carlin,16,10,8,22,18,9,17,10,17,18,16,23†,14,7,17,15,Ret,17,347
2,ART Grand Prix,11,19,Ret,17,15,Ret,11,13,14,13,6,3,Ret,10,3,Ret,6,15,330
2,ART Grand Prix,5,5,5,DNS,3,4,1,Ret,11,9,DNS,17,3,3,2,3,2,11,330
2,ART Grand Prix,6,3,15,8,8,7,6,2,8,2,2,7,2,9,18,13,3,4,330
3,Status Grand Prix,9,7,7,5,5,2,4,5,2,11,3,5,10,5,9,6,8,1,254
3,Status Grand Prix,3,4,4,3,7,1,13,7,1,6,7,2,9,Ret,12,Ret,12,7,254
3,Status Grand Prix,18,Ret,Ret,19,16,10,Ret,23†,16,22,12,15,16,Ret,16,7,16,Ret,254
4,Koiranen GP,Ret,Ret,20,21,24,17,Ret,22,25,25,17,Ret,20,21,1,2,1,Ret,202
4,Koiranen GP,2,6,3,2,1,Ret,7,15,10,16,Ret,19,1,8,4,16,10,5,202
4,Koiranen GP,21,13,16,12,Ret,14,22,18,12,Ret,13,18,Ret,15,14,12,11,12,202
5,Arden International,13,11,Ret,14,20,13,10,9,3,5,Ret,20,19,14,Ret,10,15,8,162
5,Arden International,10,9,10,6,13,Ret,12,6,6,1,Ret,Ret,13,19,8,1,7,DSQ,162
5,Arden International,14,14,11,Ret,9,15,8,1,7,3,4,4,11,Ret,6,4,13,Ret,162
6,Marussia Manor Racing,4,Ret,9,7,12,Ret,24†,16,13,10,Ret,21,7,Ret,,,,,117
6,Marussia Manor Racing,15,16,17,13,19,Ret,20,19,24,21,14,13,Ret,16,,,,,117
6,Marussia Manor Racing,7,1,Ret,10,10,18†,5,4,9,8,1,9,5,1,,,,,117
7,Jenzer Motorsport,12,Ret,13,9,11,Ret,19,Ret,21,14,5,8,Ret,11,10,Ret,14,9,61
7,Jenzer Motorsport,8,2,6,Ret,14,8,18,11,22,15,Ret,16,8,Ret,Ret,11,Ret,10,61
7,Jenzer Motorsport,Ret,12,Ret,15,21,11,15,12,23,23,11,11,12,6,5,Ret,9,6,61
8,Hilmer Motorsport,22†,20,19,DNS,22,Ret,24,21,25,25,19†,DNS,Ret,DNS,19,Ret,,,18
8,Hilmer Motorsport,17,Ret,14,16,25,12,16,14,23,23,15,10,Ret,18,15,DNS,17,18†,18
8,Hilmer Motorsport,19,15,Ret,11,6,5,9,8,19,18,10,12,15,12,11,Ret,18,13,18
9,Trident,Ret,17,18,18,23,Ret,23,20,,,DNS,DNS,21,13,,,20,16,12
9,Trident,Ret,DSQ,12,4,17,16,21,17,15,12,20†,22,17,17,13,9,19,15,12
9,Trident,20,Ret,,,DNS,DNS,14,Ret,20,24,18,14,18,20,20,14,Ret,Ret,12
