Entrant,No.,Driver name,Rounds
Prema Racing,1,Oscar Piastri,All
Prema Racing,2,Frederik Vesti,All
Prema Racing,3,Logan Sargeant,All
Hitech Grand Prix,4,Max Fewtrell,1–6
Hitech Grand Prix,Pierre-Louis Chovet,7–8,
Hitech Grand Prix,5,Liam Lawson,All
Hitech Grand Prix,6,Dennis Hauger,All
ART Grand Prix,7,Théo Pourchaire,All
ART Grand Prix,8,Alexander Smolyar,All
ART Grand Prix,9,Sebastián Fernández,All
Trident,10,Lirim Zendeli,All
Trident,11,David Beckmann,All
Trident,12,Olli Caldwell,All
HWA Racelab,14,Enzo Fittipaldi,All
HWA Racelab,15,Jake Hughes,All
HWA Racelab,16,Jack Doohan,All
MP Motorsport,17,Richard Verschoor,All
MP Motorsport,18,Bent Viscaal,All
MP Motorsport,19,Lukas Dunner,All
Jenzer Motorsport,20,Calan Williams,All
Jenzer Motorsport,21,Federico Malvestiti,All
Jenzer Motorsport,22,Matteo Nannini,All
Charouz Racing System,23,Roman Staněk,All
Charouz Racing System,24,Igor Fraga,1–8
Charouz Racing System,25,David Schumacher,1–6
Charouz Racing System,Michael Belov,7–9,
Carlin Buzz Racing,26,Clément Novalak[b],All
Carlin Buzz Racing,27,Enaam Ahmed,1–3
Carlin Buzz Racing,Ben Barnicoat,4–5,
Carlin Buzz Racing,Leonardo Pulcini,6,
Carlin Buzz Racing,David Schumacher,7–9,
Carlin Buzz Racing,28,Cameron Das,All
Campos Racing,29,Alex Peroni,All
Campos Racing,30,Alessio Deledda,All
Campos Racing,31,Sophia Flörsch,"1–6, 8–9"
Campos Racing,Andreas Estner,7,
