Teams,No.,Driver,Rounds
Trident,1,Jonny Edgar,"1, 4–9"
Trident,Oliver Rasmussen,2–3,
Trident,2,Roman Staněk,All
Trident,3,Zane Maloney,All
Prema Racing,4,Arthur Leclerc,All
Prema Racing,5,Jak Crawford,All
Prema Racing,6,Oliver Bearman,All
ART Grand Prix,7,Victor Martins,All
ART Grand Prix,8,Grégoire Saucy,All
ART Grand Prix,9,Juan Manuel Correa,"1, 3–9"
MP Motorsport,10,Caio Collet,All
MP Motorsport,11,Alexander Smolyar[a],"1–3, 5–9"
MP Motorsport,Filip Ugran,4,
MP Motorsport,12,Kush Maini,All
Charouz Racing System,14,László Tóth,All
Charouz Racing System,15,Ayrton Simmons,1
Charouz Racing System,David Schumacher,"2, 8",
Charouz Racing System,Lirim Zendeli,3,
Charouz Racing System,Zdeněk Chovanec[b],4–5,
Charouz Racing System,Christian Mansell[c],6–7,
Charouz Racing System,Alessandro Famularo[d],9,
Charouz Racing System,16,Francesco Pizzi,All
Hitech Grand Prix,17,Kaylen Frederick,All
Hitech Grand Prix,18,Isack Hadjar,All
Hitech Grand Prix,19,Nazim Azman,All
Campos Racing,20,David Vidales,All
Campos Racing,21,Hunter Yeany,"1–5, 9"
Campos Racing,Oliver Goethe[e],6–7,
Campos Racing,Sebastián Montoya,8,
Campos Racing,22,Pepe Martí,All
Jenzer Motorsport,23,Ido Cohen,All
Jenzer Motorsport,24,Niko Kari,1
Jenzer Motorsport,Federico Malvestiti,2–9,
Jenzer Motorsport,25,William Alatalo,All
Carlin,26,Zak O'Sullivan,All
Carlin,27,Brad Benavides[f],All
Carlin,28,Enzo Trulli,All
Van Amersfoort Racing,29,Franco Colapinto,All
Van Amersfoort Racing,30,Rafael Villagómez,All
Van Amersfoort Racing,31,Reece Ushijima[g],All
