Pos,Team,BHR SR,BHR FR,ALB FR,ALB SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,Points
1,Prema Racing,4,3,1,5,10,2,1F,3,1F,1,12,4,4,1P F,3,8,11,2,327
1,Prema Racing,5,11,3,6,12,3,5,5,4,5F,13,14,10,2,15,12,13,7,327
1,Prema Racing,12,12,5,13,13,7,Ret,8,8,25,16,18,22,5,22,16,Ret,9,327
2,Trident,6,1F,6,1P,2,5,3,4,10,2,2,1,2F,4,9,11,2,5F,308
2,Trident,8,2,7,4,6,13,4,16,15,10,7F,2P,5,7,Ret,14,5F,15,308
2,Trident,19,27,Ret,22,17,24,11,NC,26,11,17,6,13,9,Ret,Ret,8,RetP,308
3,MP Motorsport,2,10,DSQ,11,4,6,6,2,5,4,1,8,7,3,4,10,1,1,194
3,MP Motorsport,9,23,DSQ,Ret,Ret,14,7,6,12,6,28,12,8,8,5,13,3,6,194
3,MP Motorsport,15,Ret,DSQ,Ret,Ret,18,12,15,13,24,29,NC,21,10,16,19,Ret,Ret,194
4,Campos Racing,1F,6,9F,7,1,9,8,1P F,6,7,3,3F,6,6,6,2,7,8,179
4,Campos Racing,11,13,13,10,20,17,19,10,14,8,6,5,20,11,19,9P F,14,14,179
4,Campos Racing,13,26,19,15,25,26,Ret,13,22,9,10,13,25,13,Ret,22,Ret,Ret,179
5,Hitech Pulse-Eight,10,5,2,3,7F,1P F,2,7,2,20,5,7,1,12,8,6,6,18,170
5,Hitech Pulse-Eight,17,8P,4,8,8,4,20,14,9,22,8,10,16,16,Ret,23,12,19,170
5,Hitech Pulse-Eight,Ret,9,17,Ret,11,DSQ,26,Ret,11,Ret,14,Ret,Ret,24,Ret,DNS,DSQ,Ret,170
6,Jenzer Motorsport,14,16,12,9,5,8,9,9,25,12,11,17,3,14,2,1,4,3,108
6,Jenzer Motorsport,16,17,15,20,15,12,10,11,27,13,18,21,11,23,11,3,15,21,108
6,Jenzer Motorsport,27,29†,Ret,23†,26,21,22,22,Ret,23,30,26,27†,26,18,4,17,Ret,108
7,Van Amersfoort Racing,3,14,14,12,9,15,17,12,3,3,4,15,17,17,1F,5,10,4,75
7,Van Amersfoort Racing,23,19,21,16,16,16,18,23,21,15,20,16,23,19,23,18,19,10,75
7,Van Amersfoort Racing,Ret,28†,Ret,19,21,Ret,27,25,Ret,18,26,25,24,29,24,21,Ret,20,75
8,ART Grand Prix,7,4,8,2F,3,10,13,17,7,16,15,9,9,15,7,15,9,12,71
8,ART Grand Prix,26,7,10,21,14,11,14,19,16,26,21,11,12,25,10,17,20,Ret,71
8,ART Grand Prix,28,15,11,Ret,24,25,23,27,20,27P,22,19,Ret,Ret,13,20,22,Ret,71
9,PHM RacingbyCharouz,22,20,16,18,18,22,21,20,18,17,19,22,15,18,12,7,16,13,6
9,PHM RacingbyCharouz,24,24,18,Ret,23,23,24,21,23,19,23,23,19,20,17,25,NC,17,6
9,PHM RacingbyCharouz,25,25,23,Ret,Ret,27,25,24,24,DSQ,27,Ret,26,28,21,Ret,Ret,22†,6
10,Rodin Carlin,18,18,20,14,19,19,15,18,17,14,9,20,14,21,14,24,18,11,2
10,Rodin Carlin,20,21,22,17,22,20,16,26,19,21,24,24,18,22,20,Ret,21,16,2
10,Rodin Carlin,21,22,Ret,Ret,27,Ret,Ret,Ret,Ret,Ret,25,Ret,Ret,27,Ret,Ret,Ret,Ret,2
