Pos,Team,ALB SR,ALB FR,BHR FR,BHR SR,IMO SR,IMO FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,Points
1,Trident,Ret,1P F,9,1P F,6F,2F,6,18,14,P,,,,,,,,,,,146
1,Trident,Ret,2,10,6,11,3P,7,Ret,Ret,,,,,,,,,,,,146
1,Trident,Ret,6,12,11,23,16,Ret,Ret,Ret,,,,,,,,,,,,146
2,Campos Racing,4,7,1,5,3,5,8,1P F,3,,,,,,,,,,,,120
2,Campos Racing,8,17,15,8,19,9,23,3,7,,,,,,,,,,,,120
2,Campos Racing,13,Ret,18,16,Ret,17,24,12,9,,,,,,,,,,,,120
3,MP Motorsport,11,5,6,3,1,6,4,5,6,,,,,,,,,,,,105
3,MP Motorsport,NC,23,7,7,2,7,5,10,12,,,,,,,,,,,,105
3,MP Motorsport,Ret,25,19,9,10,27,22,NC,Ret,,,,,,,,,,,,105
4,Rodin Motorsport,3,9,4,2,4,8,9,2,13,,,,,,,,,,,,89
4,Rodin Motorsport,9,14,14,13,5,12,10,4,16,,,,,,,,,,,,89
4,Rodin Motorsport,18,Ret,20,23,26,18,11,9,Ret,,,,,,,,,,,,89
5,Van Amersfoort Racing,1,3,Ret,14,20,1,16,16,1,,,,,,,,,,,,80
5,Van Amersfoort Racing,7,16,Ret,15,25,26,Ret,20,2F,,,,,,,,,,,,80
5,Van Amersfoort Racing,21,19,Ret,19,27†,Ret,Ret,22†,5,,,,,,,,,,,,80
6,ART Grand Prix,14,12,3,4,7,4,2,6,4,,,,,,,,,,,,78
6,ART Grand Prix,Ret,20,13,12,17,10,3,7,8,,,,,,,,,,,,78
6,ART Grand Prix,Ret,21,16,28,22,13,21,11,Ret,,,,,,,,,,,,78
7,HitechTGR,2F,8,5,18,13,11,1F,8,20,,,,,,,,,,,,35
7,HitechTGR,16,11,21,22,14,15,14,17,23,,,,,,,,,,,,35
7,HitechTGR,22,18,Ret,26,24,20,18,19,Ret,,,,,,,,,,,,35
8,AIX Racing,6,4,2F,24,12,23,12,21,15,,,,,,,,,,,,27
8,AIX Racing,20,15,23,25,18,24,19,Ret,21,,,,,,,,,,,,27
8,AIX Racing,Ret,27,Ret,Ret,Ret,Ret,Ret,WD,24†,,,,,,,,,,,,27
9,DAMS Lucas Oil,5,22,8,10,15,21,15,13,11,,,,,,,,,,,,10
9,DAMS Lucas Oil,15,24,17,20,21,22,17,15,18,,,,,,,,,,,,10
9,DAMS Lucas Oil,17,Ret,Ret,29,Ret,25,Ret,Ret,19,,,,,,,,,,,,10
10,Prema Racing,10,10,11,17,8,14,13,14,10,,,,,,,,,,,,8
10,Prema Racing,12,13,22,21,9,19,20,Ret,17,,,,,,,,,,,,8
