Pos,Driver,HOC R1,HOC R2,PAU R1,PAU R2,BRH R1,BRH R2,RBR R1,RBR R2,NOR R1,NOR R2,SPA R1,SPA R2,NÜR R1,NÜR R2,ZAN R1,ZAN R2,VAL R1,VAL R2,HOC R1,HOC R2,Points
1,Daniel Juncadella,1,1,Ret,4,2,8,7,1,DSQ,2,2,8,1,DSQ,6,1,2,2,13,4,252
2,Raffaele Marciello,6,17,1,1,1,1,1,8,22[a],1,11,14,6,Ret,4,Ret,1,3,3,8,228.5
3,Felix Rosenqvist,3,3,4,6,7,Ret,9,11,6,14,9,Ret,4,Ret,1,4,13,1,1,1,192
4,Pascal Wehrlein,Ret,8,Ret,9,5,5,2,4,7,Ret,14,12,3,1,7,3,5,4,2,2,179
5,Carlos Sainz Jr.,2,2,6,2,4,4,16[a],5,Ret,19,3,1,7,10,11,5,Ret,6,Ret,11,161
6,William Buller,4,6,,,15,2,8,2,2,18,,,10,2,8,2,6,9,6,Ret,137
7,Tom Blomqvist,7,11,13,21,10,7,5,7,10,7,10,2,9,5,5,Ret,3,5,4,7,117
8,Sven Müller,15,5,12,10,6,10,4,3,9,11,12,Ret,2,Ret,2,Ret,7,13,5,6,109
9,Michael Lewis,9,Ret,10,11,3,3,6,6,Ret,8,7,5,15,6,3,Ret,8,8,9,10,101
10,Emil Bernstorff,11,12,Ret,13,11,9,11,14,3,4,17,10,11,4,9,6,4,7,11,9,66
11,Lucas Wolf,8,15,,,Ret,13,13,12,Ret,22,20,13,12,8,10,7,11,12,8,15,19
12,Andrea Roda,Ret,14,19,Ret,14,11,10,Ret,16,13,19,16,13,Ret,13,8,9,10,12,13,8
13,Luís Sá Silva,13,13,,,DNS,DNS,12,Ret,15,16,26,20,14,7,14[a],Ret,10,14,Ret,12,7
14,Philip Ellis,14,16,,,,,14,13,Ret,Ret,,,,,,,,,,,0
,Félix Serrallés,Ret,9,8,19,,,,,5,3,1,3,,,,,,,16[a],5,0
,Jazeman Jaafar,,,2,3,8,Ret,3,10,18,Ret,5,4,5,3,,,,,,,0
,Alex Lynn,10,4,3,7,,,,,19,9,6,5,,,,,,,Ret,3,0
,Jack Harvey,,,5,8,,,,,14,Ret,4,6,,,,,,,,,0
,Pietro Fantin,,,14,12,,,,,4,6,16,19,,,,,,,,,0
,Hannes van Asseldonk,5,7,11,Ret,,,,,20,5,23,18,,,,,,,,,0
,Pipo Derani,,,Ret,5,,,,,Ret,21,8,7,,,,,,,10,Ret,0
,Harry Tincknell,,,7,Ret,Ret,6,,,8,10,13,9,,,,,,,,,0
,Lucas Auer,,,,,,,,,,,,,,,,,,,7,Ret,0
,Alexander Sims,,,,,,,,,,,,,8,12,,,,,,,0
,Sandro Zeller,12,10,18,16,13,14,15,9,11,23,22,25,16,9,12,9,13,11,15,14,0
,Fahmi Ilyas,,,9,15,9,15[a],,,Ret,12,21,21,,,,,,,,,0
,Spike Goddard,,,17,20,,,,,17,17,28,24,17,11,,,,,,,0
,Geoff Uhrhane,,,16,18,12,12,,,12,Ret,15,Ret,,,,,,,,,0
,Nick McBride,,,15,14,,,,,13,15,18,15,,,,,,,,,0
,Dennis van de Laar,,,,,,,,,,,,,,,,,,,14,16,0
,Duvashen Padayachee,,,DNS,17,,,,,21,20,25,24,,,,,,,,,0
,Adderly Fong,,,,,,,,,,,27,17,,,,,,,,,0
,Richard Bradley,,,,,,,,,,,21,Ret,,,,,,,,,0
,Pedro Pablo Calbimonte,,,,,,,,,,,29,22,,,,,,,,,0
