Pos,Driver,MNZ R1,MNZ R2,MNZ R3,SIL R1,SIL R2,SIL R3,HOC R1,HOC R2,HOC R3,BRH R1,BRH R2,BRH R3,RBR R1,RBR R2,RBR R3,NOR R1,NOR R2,NOR R3,NÜR R1,NÜR R2,NÜR R3,ZAN R1,ZAN R2,ZAN R3,VAL R1,VAL R2,VAL R3,HOC R1,HOC R2,HOC R3,Points
1,Raffaele Marciello,1,2,1,6,2,1,1,1,4,2,1,DSQ,4,13,6,1,3,2,1,1,1,5,16,Ret,1,Ret,1,2,4,1,489.5
2,Felix Rosenqvist,Ret,4,11,3,1,2,8,10,1,4,5,3,1,1,1,2,2,1,3,9,5,2,1,1,10,9,6,1,1,2,457
3,Alex Lynn,8,6,3,2,6,3,15,7,6,1,2,Ret,7,12,8,3,1,3,14,7,6,3,2,3,3,1,4,4,2,8,339.5
4,Lucas Auer,2,Ret,4,4,3,7,7,4,12,3,3,1,10,4,3,13,13,6,5,5,2,7,12,7,7,5,Ret,26,3,3,277
5,Harry Tincknell,5,5,6,1,4,9,5,13,25,5,7,2,12,7,4,6,8,8,11,10,4,6,6,6,11,18,8,5,5,5,227
6,Jordan King,7,Ret,9,11,Ret,6,11,9,5,7,13,11,3,6,5,17,9,9,4,4,Ret,4,4,2,13,Ret,5,6,8,9,176
7,Tom Blomqvist,13,3,10,10,5,14,3,3,8,6,6,5,17,8,Ret,5,7,4,13,12,22,9,8,8,12,12,14,10,12,4,151.5
8,Luis Felipe Derani,11,19,5,9,8,Ret,14,14,10,14,18,17,18,11,9,15,5,7,6,2,3,19,5,5,6,6,2,7,11,Ret,143
9,Sven Müller,12,9,22,12,Ret,Ret,4,8,7,Ret,4,4,6,Ret,Ret,Ret,17,10,10,6,Ret,10,7,22,8,8,Ret,3,6,7,122
10,Alexander Sims,,,,,,,,,,,,,,,,14,4,5,2,3,Ret,Ret,10,9,2,2,3,,,,112
11,Félix Serrallés,6,7,15,8,DNS,4,2,5,2,16,15,16,Ret,22,13,4,6,Ret,8,8,12,Ret,Ret,15,Ret,Ret,Ret,11,DSQ,Ret,104
12,Josh Hill,23,8,12,Ret,7,Ret,6,2,13,8,8,13,Ret,5,12,,,,,,,,,,,,,,,,56
13,Eddie Cheever III,10,13,8,19,10,Ret,Ret,19,9,17,11,Ret,8,9,Ret,11,16,14,16,15,9,13,Ret,17,5,4,Ret,9,10,17,50
14,Pascal Wehrlein,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
15,Nicholas Latifi,16,15,Ret,5,Ret,10,23,22,15,Ret,27,7,5,Ret,7,Ret,19,Ret,19,17,21,8,11,Ret,17,11,Ret,12,13,Ret,45
16,William Buller,4,Ret,7,7,9,5,9,11,17,9,9,12,14,16,14,,,,,,,,,,,,,,,,39
17,Antonio Giovinazzi,22†,12,13,DSQ,DNS,11,12,Ret,24,11,16,9,15,23,Ret,Ret,23,Ret,18,16,10,14,Ret,11,9,7,13,17,7,6,31
18,Lucas Wolf,Ret,18,Ret,17,13,17,18,18,11,12,14,6,16,3,11,Ret,14,19,Ret,Ret,14,DNS,24,19,19,Ret,Ret,19,16,Ret,28
19,Michael Lewis,,,,13,11,Ret,22,21,16,DNS,DNS,DNS,9,10,15,10,10,Ret,7,11,7,Ret,13,13,16,15,10,15,16,10,23
20,Dennis van de Laar,9,10,Ret,18,12,Ret,13,6,14,Ret,17,Ret,23,25,Ret,Ret,18,13,23,19,15,11,15,23,14,16,9,8,9,12,22
21,Jann Mardenborough,Ret,11,14,16,DNS,8,16,Ret,22,13,10,Ret,13,21,Ret,7,27,12,15,Ret,11,16,23†,14,18,Ret,11,16,18,11,12
22,Roy Nissany,Ret,17,Ret,21,18,Ret,24,16,Ret,18,23,8,11,15,10,8,15,Ret,17,Ret,18,15,14,12,22,13,17,18,15,15,11
23,Mitchell Gilbert,Ret,Ret,23†,15,14,Ret,17,15,18,20,19,DSQ,25,14,Ret,Ret,22,17,12,14,8,12,9,10,24,14,12,14,17,Ret,10
24,André Rudersdorf,20,14,24†,20,17,16,25,20,Ret,21,20,10,20,DSQ,18,9,20,18,25,22,17,22,21,18,21,19,19,20,Ret,19,3
25,John Bryant-Meisner,,,,,,,,,,,,,,,,,,,,,,,,,15,10,16,13,14,Ret,2
26,Måns Grenhagen,Ret,Ret,DNS,14,21†,12,19,17,19,24,EX,Ret,Ret,24,Ret,,,,,,,,,,,,,,,,0
27,Sandro Zeller,18,21,NC,NC,20,Ret,Ret,25,21,19,24,15,19,19,19,12,25,Ret,24,23,20,20,19,21,23,22,18,23,23,18,0
28,Sean Gelael,14,16,17,24,16,18†,21,27,Ret,23,22,Ret,22,17,20†,Ret,21,15,20,18,13,17,20,20,Ret,21,Ret,25,24,13,0
29,Gary Thompson,24,20,16,25,Ret,13,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Kevin Korjus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret,Ret,14,0
31,Richard Goddard,15,24,19,23,15,Ret,27,24,Ret,15,21,18,24,18,16,19,24,16,21,21,Ret,18,18,16,25,17,15,22,20,20,0
32,Tatiana Calderón,19,23,21,22,19,15,26,26,23,22,25,20,21,20,17,Ret,26,Ret,22,20,19,21,22,24,20,20,20,21,22,Ret,0
33,Dmitry Suranovich,17,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Alfonso Celis Jr.,,,,,,,,,,,,,,,,,,,,,,Ret,17,Ret,,,,,,,0
35,Michela Cerruti,21,Ret,20,,,,,,,25,26,19,,,,18,28,20,,,,,,,,,,,,,0
36,Stefano Coletti,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret,25,DNS,0
,Daniil Kvyat,,,,,,,10,12,3,10,12,14,2,2,2,Ret,12,Ret,9,13,16,1,3,4,4,3,7,,,,
,Nick Cassidy,,,,,,,,,,,,,,,,16,11,11,,,,,,,,,,24,21,16,
