Team,Chassis[N 1],Engine,No.,Driver,Status,Rounds
Prema Powerteam[4],F316/002,Mercedes,1
Prema Powerteam[4],F314/015,2,Nick Cassidy[5][N 2]
Prema Powerteam[4],F315/005,16,Ralf Aron[6][N 3]
Prema Powerteam[4],F315/006,17,Maximilian Günther[7][N 4]
Carlin[8],F316/014,Volkswagen,3
Carlin[8],F312/004,Dan Ticktum[9][N 3],RG
Carlin[8],F315/016,4,Alessio Lorandi[10]
Carlin[8],F312/010,Lando Norris[9][N 3],RG
Carlin[8],F314/020,18,Peter Li[11][N 3]
Carlin[8],William Buller[12],,5
Carlin[8],F312/040,Jake Hughes[9],
Carlin[8],F315/001,19,Raoul Hyman[13][N 3]
Carlin[8],Weiron Tan[14][15][N 3],,"4, 6–7"
Van Amersfoort Racing[16],F316/010,Mercedes,5
Van Amersfoort Racing[16],F316/017,6,Callum Ilott[17][N 7]
Van Amersfoort Racing[16],F316/001,20,Harrison Newey[18][N 3]
Van Amersfoort Racing[16],F312/052,21,Anthoine Hubert[19][N 8]
kfzteile24 Mücke Motorsport,F316/007,Mercedes,7
kfzteile24 Mücke Motorsport,F316/012,8,David Beckmann[21]
Motopark[22],F316/020,Volkswagen,9
Motopark[22],F315/003,10,Niko Kari[22][N 10]
Motopark[22],F315/007,22,Joel Eriksson[23][N 11]
Motopark[22],F314/016,23,Guanyu Zhou[24][N 12]
HitechGP[25],F316/018,Mercedes,11
HitechGP[25],F315/010,12,George Russell[27]
HitechGP[25],F316/022,24,Ben Barnicoat[28]
HitechGP[25],F315/009,25,Alexander Sims[29][N 3]
Threebondwith T-Sport[30],F314/019,NBE,14
Threebondwith T-Sport[30],F316/008,Wing Chung Chang[31],
Threebondwith T-Sport[30],Threebond,15,Arjun Maini[30]
Threebondwith T-Sport[30],F314/019,Ukyo Sasahara[15],R
