Pos,Driver,PAU[N 15] R1,PAU[N 15] R2,PAU[N 15] R3,HUN R1,HUN R2,HUN R3,NOR R1,NOR R2,NOR R3,ZAN R1,ZAN R2,ZAN R3,SPA R1,SPA R2,SPA R3,SIL R1,SIL R2,SIL R3,MIS R1,MIS R2,MIS R3,NÜR R1,NÜR R2,NÜR R3,RBR R1,RBR R2,RBR R3,HOC R1,HOC R2,HOC R3,Points
1,Mick Schumacher,15,10,7,4,7,3,5,9,15,3,Ret,13,4,Ret,1,Ret,1,5,1,3,5,1,1,1,1,1,2,12,2,2,365
2,Dan Ticktum,3,Ret,5,1,Ret,2,4,Ret,1,5,6,Ret,13,1,5,1,8,6,6,4,4,3,3,4,8,17†,4,5,7,4,308
3,Robert Shwartzman,8,9,6,3,5,Ret,6,Ret,7,8,7,11,5,4,2,8,9,10,3,9,7,2,2,2,2,3,1,2,5,1,294
4,Jüri Vips,10,17,12,6,18,4,7,1,2,6,8,15,6,Ret,4,4,2,1,5,1,2,Ret,18,6,6,4,8,3,1,9,284
5,Marcus Armstrong,5,3,Ret,Ret,2,Ret,1,2,3,4,2,16,Ret,6,3,6,5,Ret,2,13,Ret,6,4,5,4,2,5,Ret,Ret,Ret,260
6,Ralf Aron,2,8,1,5,12,7,2,13,6,1,1,14,3,Ret,14,Ret,10,Ret,7,5,1,5,5,8,23,5,9,6,3,15,242.5
7,Álex Palou,7,2,19,12,3,Ret,11,4,Ret,10,4,6,2,11,9,7,11,7,8,2,6,Ret,6,3,3,Ret,10,4,8,3,204
8,Guanyu Zhou,1,12,13,2,4,5,9,12,4,2,3,2,Ret,Ret,13,Ret,6,8,4,11,Ret,7,8,10,12,9,11,1,10,5,203
9,Enaam Ahmed,6,5,2,7,1,1,14,15,8,16,Ret,10,19,5,6,3,4,4,21,6,10,4,Ret,9,22,11,18,9,Ret,8,174
10,Jehan Daruvala,Ret,6,3,13,6,11,3,6,5,12,Ret,3,1,3,11,9,15,12,9,Ret,9,Ret,14,13,10,18†,7,Ret,4,Ret,136.5
11,Sacha Fenestraz,4,1,20,8,9,6,Ret,8,Ret,17,12,18,11,7,15,2,7,2,11,8,12,12,9,7,11,16†,Ret,7,Ret,Ret,121
12,Jonathan Aberdein,12,19,8,17,14,8,16,14,Ret,7,11,8,Ret,9,7,5,3,3,10,14,11,9,7,12,7,6,3,16,11,7,108
13,Ferdinand Habsburg,17,11,Ret,Ret,8,15,18,5,9,14,5,7,Ret,10,12,13,13,9,12,7,3,Ret,10,11,5,8,6,Ret,12,6,87
14,Fabio Scherer,11,Ret,4,10,11,10,19,10,16,13,9,5,9,2,10,10,Ret,11,14,10,8,Ret,11,14,9,7,12,Ret,6,11,64
15,Nikita Troitskiy,14,13,11,11,20,9,22,11,Ret,11,13,1,Ret,8,24,14,Ret,15,18,21,14,13,16,19,16,Ret,17,8,9,21,37
16,Marino Sato,9,18,10,15,13,16,8,7,13,19,10,4,7,15,16,12,17,14,15,12,Ret,Ret,Ret,18,14,13,21,19,14,16,31.5
17,Ben Hingeley,Ret,4,9,9,10,Ret,12,16,Ret,9,Ret,Ret,18,14,17,11,12,19,22,16,13,8,Ret,20,13,12,20,14,13,19,22
18,Keyvan Andres,Ret,14,14,16,15,13,10,3,Ret,20,18,17,10,12,20,16,18,16,19,18,17,10,12,15,18,Ret,13,17,17,20,18
19,Julian Hanses,13,7,18,Ret,21,20,20,17,12,21,16,Ret,17,18,23,WD,WD,WD,,,,,,,20,14,19,11,Ret,13,7
20,Artem Petrov,16,Ret,15,20,23,17,13,18,11,15,15,9,8,Ret,18,Ret,16,13,13,17,15,15,13,17,21,Ret,14,13,16,10,7
21,Sebastián Fernández,Ret,15,17,14,19,12,15,20,10,18,14,12,14,13,8,15,14,Ret,17,15,Ret,11,Ret,16,15,Ret,16,18,15,12,5
22,Sophia Flörsch,,,,,,,,,,23,17,19,16,17,21,18,19,17,16,19,18,Ret,15,21,17,10,15,15,19,18,1
23,Ameya Vaidyanathan,Ret,16,16,19,17,18,17,DSQ,EX,22,Ret,20,12,16,22,17,21,18,20,20,16,14,17,Ret,19,15,22,20,18,17,0
24,Petru Florescu,,,,21,22,19,21,19,14,24,19,21,15,Ret,19,20,20,21,WD,WD,WD,,,,,,,,,,0
25,Devlin DeFrancesco,Ret,Ret,Ret,18,16,14,WD,WD,WD,WD,WD,WD,,,,,,,,,,,,,,,,,,,0
26,Charles Leong,,,,,,,,,,,,,,,,19,22,20,,,,,,,,,,,,,0
