Pos,No.,Driver,Team,Time,Grid
1,8,Christian Vietoris,Racing Engineering,2:18.345,1
2,19,Luca Filippi,Scuderia Coloni,2:19.779,2
,3,Charles Pic,Barwa Addax Team,2:20.056,26
3,5,Jules Bianchi,LotusART,2:20.211,3
4,18,Michael Herck,Scuderia Coloni,2:20.748,4
5,10,Marcus Ericsson,iSport International,2:20.858,5
6,17,Adam Carroll,Super Nova Racing,2:21.491,6
7,11,Romain Grosjean,DAMS,2:21.715,7
8,23,Johnny Cecotto Jr.,Ocean Racing Technology,2:21.753,8
9,6,Esteban Gutiérrez,LotusART,2:21.877,9
10,4,Giedo van der Garde,Barwa Addax Team,2:21.956,10
11,22,Brendon Hartley,Ocean Racing Technology,2:22.145,11
12,7,Dani Clos,Racing Engineering,2:22.254,12
13,16,Fairuz Fauzy,Super Nova Racing,2:22.299,13
14,25,Mikhail Aleshin,Carlin,2:22.326,14
15,14,Josef Král,Arden International,2:22.346,15
16,24,Max Chilton,Carlin,2:22.573,16
17,1,Fabio Leimer,Rapax,2:22.623,17
18,20,Rodolfo González,Trident Racing,2:22.655,18
19,26,Luiz Razia,CaterhamTeam AirAsia,2:22.895,19
20,27,Davide Valsecchi,CaterhamTeam AirAsia,2:23.364,25
21,9,Sam Bird,iSport International,2:23.365,20
22,15,Jolyon Palmer,Arden International,2:23.495,21
23,12,Pål Varhaug,DAMS,2:23.830,22
24,21,Stefano Coletti,Trident Racing,2:24.272,23
25,2,Julián Leal,Rapax,2:24.832,24
