Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Jolyon Palmer,DAMS,1:38.865,—,1
2,10,Stoffel Vandoorne,ART Grand Prix,1:38.895,+0.030,2
3,11,Daniel Abt,Hilmer Motorsport,1:39.073,+0.208,3
4,8,Stéphane Richelmi,DAMS,1:39.081,+0.216,4
5,18,Rio Haryanto,EQ8 Caterham Racing,1:39.228,+0.363,5
6,6,Stefano Coletti,Racing Engineering,1:39.271,+0.406,6
7,1,Mitch Evans,RT Russian Time,1:39.274,+0.409,7
8,3,Felipe Nasr,Carlin,1:39.301,+0.436,11
9,5,Raffaele Marciello,Racing Engineering,1:39.449,+0.584,8
10,26,Arthur Pic,Campos Racing,1:39.462,+0.597,9
11,21,Jon Lancaster,MP Motorsport,1:39.507,+0.642,10
12,4,Julián Leal,Carlin,1:39.588,+0.723,12
13,23,Johnny Cecotto Jr.,Trident,1:39.615,+0.750,13
14,17,André Negrão,Arden International,1:39.647,+0.782,14
15,19,Alexander Rossi,EQ8 Caterham Racing,1:39.651,+0.786,15
16,27,Kimiya Sato,Campos Racing,1:39.749,+0.884,16
17,16,René Binder,Arden International,1:39.788,+0.923,17
18,25,Conor Daly,Venezuela GP Lazarus,1:39.848,+0.983,18
19,12,Facu Regalia,Hilmer Motorsport,1:39.881,+1.016,19
20,24,Nathanaël Berthon,Venezuela GP Lazarus,1:39.928,+1.063,20
21,15,Simon Trummer,Rapax,1:40.059,+1.194,21
22,20,Daniël de Jong,MP Motorsport,1:40.060,+1.195,22
23,9,Takuya Izawa,ART Grand Prix,1:40.401,+1.536,23
24,14,Adrian Quaife-Hobbs,Rapax,1:40.408,+1.543,24
25,22,Axcil Jefferies,Trident,1:40.619,+1.754,25
26,2,Artem Markelov,RT Russian Time,1:41.172,+2.307,26
