Pos.,No.,Driver,Team,Time,Grid
1,10,Stoffel Vandoorne,ART Grand Prix,1:48.088,1
2,7,Jolyon Palmer,DAMS,1:48.187,2
3,8,Stéphane Richelmi,DAMS,1:48.374,3
4,1,Mitch Evans,Russian Time,1:48.709,4
5,3,Felipe Nasr,Carlin,1:48.873,5
6,19,Pierre Gasly,Caterham Racing,1:48.973,6
7,26,Arthur Pic,Campos Racing,1:48.985,7
8,6,Stefano Coletti,Racing Engineering,1:49.326,8
9,18,Rio Haryanto,Caterham Racing,1:49.338,9
10,4,Julián Leal,Carlin,1:49.395,10
11,23,Johnny Cecotto Jr.,Trident,1:49.430,11
12,9,Takuya Izawa,ART Grand Prix,1:49.500,12
13,5,Raffaele Marciello,Racing Engineering,1:49.023,18
14,22,Sergio Canamasas,Trident,1:49.505,13
15,24,Nathanaël Berthon,Venezuela GP Lazarus,1:49.518,14
16,27,Kimiya Satō,Campos Racing,1:49.618,15
17,20,Daniël de Jong,MP Motorsport,1:49.667,16
18,11,Nicholas Latifi,Hilmer Motorsport,1:49.676,17
19,17,André Negrão,Arden International,1:49.677,19
20,25,Conor Daly,Venezuela GP Lazarus,1:49.721,20
21,16,René Binder,Arden International,1:49.721,21
22,21,Marco Sørensen,MP Motorsport,1:49.736,22
23,15,Simon Trummer,Rapax,1:49.794,23
24,12,Jon Lancaster,Hilmer Motorsport,1:49.885,24
25,14,Kevin Giovesi,Rapax,1:50.012,25
26,2,Artem Markelov,Russian Time,1:50.414,26
