Pos,Driver,BHR FR,BHR SR,BAK SR,BAK FR,CAT FR,CAT SR,MCO SR,MCO FR,LEC FR,LEC SR,RBR SR,RBR FR,SIL FR,SIL SR,HUN SR,HUN FR,SPA FR,SPA SR,MNZ SR,MNZ FR,SOC FR,SOC SR,YMC SR,YMC FR,Points
1,George Russell,5,19,12,1,1,4,Ret,Ret,1,17,1,2,2,2,Ret,8,3,7,4,1,4,1,1,4,287
2,Lando Norris,1,4,6,4,3,3,6,3,16,5,2,11,10,3,2,4,4,2,6,5,Ret,Ret,5,2,219
3,Alexander Albon,4,13,1,13,5,2,Ret,Ret,Ret,7,5,5,1,7,5,1,5,3,3,Ret,1,3,14,8,212
4,Nyck de Vries,6,5,Ret,2,2,Ret,Ret,9,5,1,Ret,14,7,6,1,7,1,4,9,17,3,4,4,5,202
5,Artem Markelov,3,1,Ret,Ret,8,9,1,4,14,14†,8,1,6,4,8,13,6,5,2,2,11,5,2,7,186
6,Sérgio Sette Câmara,2,3,4,DSQ,7,Ret,WD,WD,2,6,6,3,Ret,17,7,3,2,9,7,3,5,2,16,10,164
7,Antonio Fuoco,17,12,3,DNS,10,7,8,1,4,4,3,4,3,Ret,3,17,17,19,DSQ,10,6,9,7,1,141
8,Luca Ghiotto,12,6,Ret,14,4,5,Ret,10,3,3,12,13,5,10,6,2,7,6,10,6,Ret,14,3,9,111
9,Nicholas Latifi,11,10,5,3,14,8,9,8,7,8,11,8,17,16,Ret,16,8,1,5,4,2,Ret,Ret,15,91
10,Louis Delétraz,13,9,Ret,10,Ret,10,4,2,6,2,Ret,Ret,4,5,17,9,18,13,13,11,12,13,6,6,74
11,Jack Aitken,9,18,2,11,6,1,7,Ret,11,DNS,Ret,18,13,12,4,10,11,10,17†,8,14,Ret,10,13,63
12,Roberto Merhi,DNS,11,8,7,13,Ret,3,7,DSQ,15,4,16,11,9,11,5,,,,,9,6,8,3,61
13,Tadasuke Makino,19,17,9,9,9,Ret,14†,Ret,8,Ret,7,6,12,11,9,12,12,11,1,14,10,11,9,Ret,48
14,Maximilian Günther,8,2,Ret,15†,Ret,12,11,6,12,11,15,12,8,1,16,Ret,9,16,12,16,16†,10,,,41
15,Sean Gelael,7,16,10,Ret,Ret,6,2,Ret,Ret,18,13,Ret,Ret,15,13,11,16,Ret,11,Ret,DNS,12,17,Ret,29
16,Arjun Maini,15,14,Ret,5,Ret,13,5,5,10,13,14,10,14,13,12,14,14,8,Ret,9,15,15,Ret,DNS,24
17,Nirei Fukuzumi,18,8,13,12,11,Ret,10,11†,9,12,9,9,Ret,DNS,10,6,Ret,17,14,13,8,7,Ret,12,17
18,Ralph Boschung,10,7,7,8,Ret,Ret,Ret,Ret,Ret,16,Ret,15,9,8,18,Ret,Ret,12,8,Ret,,,,,17
19,Santino Ferrucci,14,20,11,6,DNS,11,13,12†,13,9,10,7,16,DSQ,,,,,,,,,,,7
20,Alessio Lorandi,,,,,,,,,,,,,,,14,Ret,13,15,15,12,7,Ret,13,14,6
21,Dorian Boccolacci,,,,,,,,,,,,,,,,,15,18,Ret,7,13,8,12,11,3
22,Roy Nissany,16,15,Ret,Ret,12,14,12,Ret,15,10,Ret,17,15,14,15,15,10,14,16,15,,,,,1
23,Dan Ticktum,,,,,,,,,,,,,,,,,,,,,,,11,Ret,0
24,Niko Kari,,,,,,,,,,,,,,,,,,,,,Ret,Ret,15,Ret,0
