Pos.,No.,Driver,Entrant,Time,Gap,GridSR,GridFR
1,14,Jack Doohan,Invicta Virtuosi Racing,1:35.567,,10,1
2,6,Victor Martins,ART Grand Prix,1:35.791,+0.224,9,2
3,24,Kush Maini,Campos Racing,1:35.976,+0.409,8,3
4,3,Zane Maloney,Rodin Carlin,1:36.065,+0.498,7,4
5,11,Ayumu Iwasa,DAMS,1:36.085,+0.518,6,5
6,1,Dennis Hauger,MP Motorsport,1:36.168,+0.601,5,6
7,22,Richard Verschoor,Van Amersfoort Racing,1:36.227,+0.660,4,7
8,10,Isack Hadjar,Hitech Pulse-Eight,1:36.230,+0.663,3,8
9,7,Frederik Vesti,Prema Racing,1:36.274,+0.707,2,9
10,4,Enzo Fittipaldi,Rodin Carlin,1:36.282,+0.715,1,10
11,23,Juan Manuel Correa,Van Amersfoort Racing,1:36.324,+0.757,11,11
12,16,Roy Nissany,PHM RacingbyCharouz,1:36.373,+0.806,12,12
13,12,Arthur Leclerc,DAMS,1:36.377,+0.810,13,13
14,5,Théo Pourchaire,ART Grand Prix,1:36.437,+0.870,14,14
15,20,Roman Staněk,Trident,1:36.449,+0.882,15,15
16,25,Ralph Boschung,Campos Racing,1:36.503,+0.936,16,16
17,8,Oliver Bearman,Prema Racing,1:36.620,+1.053,17,17
18,15,Amaury Cordeel,Invicta Virtuosi Racing,1:36.648,+1.081,18,18
19,9,Jak Crawford,Hitech Pulse-Eight,1:36.718,+1.151,19,19
20,2,Franco Colapinto,MP Motorsport,1:37.231,+1.664,20,20
21,21,Paul Aron,Trident,1:37.391,+1.824,21,21
22,17,Joshua Mason,PHM RacingbyCharouz,1:38.159,+2.592,22,22
