Team,No.,Drivers,Rounds
Carlin[2],1,Antonio Fuoco[3],All
Carlin[2],2,Jann Mardenborough[4],"1–5, 7–8"
Carlin[2],Adderly Fong[5],9,
Carlin[2],3,Mitchell Gilbert[6],All
ART Grand Prix[2],4,Alfonso Celis Jr.[7],"1–5, 7–9"
ART Grand Prix[2],5,Marvin Kirchhöfer[8],All
ART Grand Prix[2],6,Esteban Ocon[9],All
Status Grand Prix[2][a],7,Seb Morris[10],All
Status Grand Prix[2][a],8,Alex Fontana[11],All
Status Grand Prix[2][a],9,Sandy Stuvik[12],All
Koiranen GP[2],10,Adderly Fong[13],"1–5, 7"
Koiranen GP[2],Matevos Isaakyan[14],8–9,
Koiranen GP[2],11,Jimmy Eriksson[15],All
Koiranen GP[2],12,Matt Parry[13],All
Arden International[2],14,Kevin Ceccon[16],All
Arden International[2],15,Emil Bernstorff[17],All
Arden International[2],16,Aleksander Bosak[18],All
Jenzer Motorsport[2],20,Pål Varhaug[19],All
Jenzer Motorsport[2],21,Mathéo Tuscher[20],All
Jenzer Motorsport[2],22,Ralph Boschung[20],All
Campos Racing[21],23,Zaid Ashkanani[22],All
Campos Racing[21],24,Álex Palou[22],All
Campos Racing[21],25,Samin Gómez[23][b],"1–2, 4"
Campos Racing[21],Christopher Höher[24],3,
Campos Racing[21],Brandon Maïsano[25],6,
Campos Racing[21],Konstantin Tereshchenko[26],7–9,
Trident[2],26,Artur Janosz[27],All
Trident[2],27,Luca Ghiotto[28],All
Trident[2],28,Óscar Tunjo[29],1–3
Trident[2],Beitske Visser[30],5,
Trident[2],Amaury Bonduel[31],6,
