Pos,No,Driver,Team,Time,Grid
1,6,Esteban Ocon,ART Grand Prix,1:46.684,1
2,27,Luca Ghiotto,Trident,1:47.188,2
3,14,Kevin Ceccon,Arden International,1:47.197,3
4,24,Álex Palou,Campos Racing,1:47.218,4
5,5,Marvin Kirchhöfer,ART Grand Prix,1:47.259,5
6,26,Artur Janosz,Trident,1:47.618,6
7,15,Emil Bernstorff,Arden International,1:47.663,7
8,2,Jann Mardenborough,Carlin,1:47.686,8
9,11,Jimmy Eriksson,Koiranen GP,1:47.713,9
10,1,Antonio Fuoco,Carlin,1:47.833,10
11,8,Alex Fontana,Status Grand Prix,1:47.944,11
12,22,Ralph Boschung,Jenzer Motorsport,1:47.947,12
13,3,Mitchell Gilbert,Carlin,1:47.954,13
14,4,Alfonso Celis Jr.,ART Grand Prix,1:48.103,14
15,20,Pål Varhaug,Jenzer Motorsport,1:48.109,15
16,7,Seb Morris,Status Grand Prix,1:48.265,16
17,28,Michele Beretta,Trident,1:48.290,17
18,12,Matt Parry,Koiranen GP,1:48.304,18
19,21,Mathéo Tuscher,Jenzer Motorsport,1:48.314,19
20,16,Aleksander Bosak,Arden International,1:48.359,20
21,10,Matevos Isaakyan,Koiranen GP,1:48.576,21
22,23,Zaid Ashkanani,Campos Racing,1:48.775,22
23,9,Sandy Stuvik,Status Grand Prix,1:48.815,23
24,25,Konstantin Tereshchenko,Campos Racing,1:48.946,24
