Pos,Team,CAT R1,CAT R2,RBR R1,RBR R2,SIL R1,SIL R2,HUN R1,HUN R2,HOC R1,HOC R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SEP R1,SEP R2,YMC R1,YMC R2,Points
1,ART Grand Prix,1,1,1,2,1,3,4,1,2,3,1,6,4,1,1,2,1,3,588
1,ART Grand Prix,3,5,2,4,2,7,6,3,4,8,3,8,5,2,3,5,5,9,588
1,ART Grand Prix,6,9,3,Ret,5,8,7,4,5,11,9,10,6,Ret,7,6,Ret,11,588
2,Arden International,7,4,9,5,12,6,3,6,6,2,2,1,1,4,2,1,2,2,297
2,Arden International,14,18,17,Ret,13,9,9,7,10,6,5,5,2,5,6,3,3,4,297
2,Arden International,20,19,Ret,Ret,17,20,21,21,12,9,Ret,Ret,10,16,Ret,15,Ret,Ret,297
3,Trident,4,3,5,3,3,1,2,10,1,12,4,2,8,3,8,13,11,10,170
3,Trident,16,12,10,8,7,10,14,12,11,14,10,9,12,8,10,16,15,17,170
3,Trident,18,15,11,9,9,15,18,16,Ret,Ret,12,12,16,15,16,20,16,18,170
4,DAMS,2,7,8,6,15,4,10,9,8,1,7,3,3,10,12,11,4,1,152
4,DAMS,5,8,13,10,18,11,15,11,9,4,11,Ret,19†,11,Ret,12,7,8,152
4,DAMS,15,11,15,14,Ret,17,23,19,14,10,Ret,Ret,NC,12,Ret,Ret,9,15,152
5,Koiranen GP,10,6,4,1,4,12,1,5,3,7,8,4,9,9,9,4,Ret,12,147
5,Koiranen GP,11,10,6,7,5,16,5,8,15,13,Ret,14,18,17,15,14,Ret,16,147
5,Koiranen GP,12,20,Ret,Ret,21,18,12,22,Ret,Ret,Ret,Ret,Ret,Ret,,,,,147
6,Jenzer Motorsport,8,2,12,13,8,19,8,2,7,5,15,13,14,6,4,7,12,13,68
6,Jenzer Motorsport,13,17,14,Ret,19,21,13,15,13,16,16,16,15,18,11,9,13,14,68
6,Jenzer Motorsport,21,23,19,Ret,,,17,Ret,,,Ret,DNS,,,Ret,18,14,20,68
7,Campos Racing,17,14,16,11,10,2,11,14,16,15,6,7,11,7,5,10,6,5,66
7,Campos Racing,19,21,18,12,14,5,16,17,Ret,17,13,11,13,13,14,17,8,6,66
7,Campos Racing,Ret,22,20,Ret,20,13,22,20,Ret,Ret,17,Ret,17,14,17,19,10,7,66
