Pos,Driver,CAT R1,CAT R2,RBR R1,RBR R2,SIL R1,SIL R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,JER R1,JER R2,YMC R1,YMC R2,Points
1,George Russell,4,5,1,6,1,4,DNS,11,1,2,1,C,2,4,2,4,220
2,Jack Aitken,Ret,12,2,5,4,2,1,Ret,2,18,2,C,3,6,14,8,141
3,Nirei Fukuzumi,1,6,3,3,Ret,16,2,Ret,3,4,DNS,C,1,5,15,14,134
4,Anthoine Hubert,5,4,4,7,2,8,3,5,Ret,7,3,C,5,3,11,5,123
5,Giuliano Alesi,17,11,6,2,7,1,6,1,7,1,6,C,9,7,Ret,10,99
6,Dorian Boccolacci,6,2,9,17†,8,Ret,5,4,5,17,14,C,7,2,7,1,93
7,Alessio Lorandi,3,3,7,8,3,6,4,Ret,12,14,Ret,C,8,1,5,17,92
8,Ryan Tveter,12,18,5,4,Ret,13,8,2,6,3,5,C,12,14,8,2,78
9,Arjun Maini,7,1,10,16,6,5,Ret,8,4,6,16†,C,17,12,3,6,72
10,Niko Kari,15,14,Ret,18,5,3,9,6,9,9,15†,C,6,19,1,13,63
11,Dan Ticktum,,,,,,,,,,,13,C,4,Ret,4,3,36
12,Kevin Jörg,13,9,11,9,9,7,7,3,10,8,9,C,20,18,9,7,28
13,Raoul Hyman,8,7,8,1,16,11,14,7,14,10,11,C,19,15,13,11,27
14,Leonardo Pulcini,2,17,Ret,14,11,12,15,10,11,11,Ret,C,14,13,17†,Ret,20
15,Julien Falchero,11,10,15,11,10,Ret,13,Ret,8,5,8,C,10,9,DNS,16,16
16,Marcos Siebert,10,16,12,10,12,10,11,9,Ret,Ret,4,C,18,17,Ret,Ret,13
17,Steijn Schothorst,18,15,Ret,15,13,Ret,Ret,Ret,13,12,12,C,11,10,6,18,8
18,Tatiana Calderón,14,Ret,13,12,14,15,Ret,13,16,13,7,C,13,8,16,15,7
19,Santino Ferrucci,9,8,Ret,13,Ret,9,,,,,,,,,,,3
20,Bruno Baptista,16,13,14,Ret,15,14,10,Ret,Ret,16,10,C,16,13,10,9,3
21,Juan Manuel Correa,,,,,,,,,15,Ret,Ret,C,15,16,12,12,0
22,Matthieu Vaxivière,,,,,,,12,12,Ret,15,,,,,,,0
