Entrant,No.,Driver name,Rounds
ART Grand Prix,1,David Beckmann,All
ART Grand Prix,2,Max Fewtrell,All
ART Grand Prix,3,Christian Lundgaard,All
MP Motorsport,4,Liam Lawson,All
MP Motorsport,5,Simo Laaksonen,All
MP Motorsport,6,Richard Verschoor,All
Sauber Junior Team by Charouz,7,Lirim Zendeli,All
Sauber Junior Team by Charouz,8,Fabio Scherer,All
Sauber Junior Team by Charouz,9,Raoul Hyman[a],All
HWA Racelab,10,Bent Viscaal,All
HWA Racelab,11,Jake Hughes,All
HWA Racelab,12,Keyvan Andres,All
Jenzer Motorsport,14,Yuki Tsunoda,All
Jenzer Motorsport,15,Artem Petrov,1
Jenzer Motorsport,Giorgio Carrara[b],"3, 5–7",
Jenzer Motorsport,Federico Malvestiti,4,
Jenzer Motorsport,Charles Leong,8,
Jenzer Motorsport,16,Andreas Estner,All
Trident,17,Devlin DeFrancesco,All
Trident,18,Pedro Piquet,All
Trident,19,Niko Kari,All
Hitech Grand Prix,20,Leonardo Pulcini,All
Hitech Grand Prix,21,Jüri Vips,All
Hitech Grand Prix,22,Yifei Ye,All
Campos Racing,23,Alex Peroni,1–7
Campos Racing,David Schumacher,8,
Campos Racing,24,Alessio Deledda,All
Campos Racing,25,Sebastián Fernández,All
Prema Racing,26,Marcus Armstrong,All
Prema Racing,27,Jehan Daruvala,All
Prema Racing,28,Robert Shwartzman,All
Carlin Buzz Racing,29,Teppei Natori,All
Carlin Buzz Racing,30,Felipe Drugovich,All
Carlin Buzz Racing,31,Logan Sargeant,All
