Pos.,No.,Driver,Team,Time/Gap,Grid
1,8,Aleksandr Smolyar,ART Grand Prix,1:51.348,1
2,3,Logan Sargeant,Prema Racing,+0.258,2
3,7,Théo Pourchaire,ART Grand Prix,+0.366,3
4,2,Frederik Vesti,Prema Racing,+0.880,4
5,20,Calan Williams,Jenzer Motorsport,+0.904,5
6,1,Oscar Piastri,Prema Racing,+0.930,6
7,9,Sebastián Fernández,ART Grand Prix,+0.940,7
8,17,Richard Verschoor,MP Motorsport,+1.004,8
9,18,Bent Viscaal,MP Motorsport,+1.112,9
10,6,Dennis Hauger,Hitech Grand Prix,+1.123,10
11,5,Liam Lawson,Hitech Grand Prix,+1.290,11
12,12,Oliver Caldwell,Trident,+1.571,12
13,4,Max Fewtrell,Hitech Grand Prix,+1.653,13
14,11,David Beckmann,Trident,+1.753,14
15,29,Alex Peroni,Campos Racing,+1.883,15
16,25,David Schumacher,Charouz Racing System,+1.935,16
17,21,Federico Malvestiti,Jenzer Motorsport,+1.948,17
18,24,Igor Fraga,Charouz Racing System,+1.985,18
19,14,Enzo Fittipaldi,HWA Racelab,+2.084,19
20,19,Lukas Dunner,MP Motorsport,+2.131,20
21,15,Jake Hughes,HWA Racelab,+2.153,21
22,16,Jack Doohan,HWA Racelab,+2.300,22
23,27,Enaam Ahmed,Carlin Buzz Racing,+2.403,23
24,31,Sophia Flörsch,Campos Racing,+2.507,24
25,10,Lirim Zendeli,Trident,+2.589,25
26,26,Clément Novalak,Carlin Buzz Racing,+2.643,26
27,28,Cameron Das,Carlin Buzz Racing,+2.652,27
28,23,Roman Staněk,Charouz Racing System,+2.895,28
29,22,Matteo Nannini,Jenzer Motorsport,+3.432,29
30,30,Alessio Deledda,Campos Racing,+6.107,30
