Pos,Team,CAT R1,CAT R2,CAT R3,LEC R1,LEC R2,LEC R3,RBR R1,RBR R2,RBR R3,HUN R1,HUN R2,HUN R3,SPA R1,SPA R2,SPA R3,ZAN R1,ZAN R2,ZAN R3,SOC R1,SOC R2,SOC R3,Points
1,Trident,2,4,2,5,5,1,3,1,11,4,6,3,7,1,1,6,2,2,4,C,1,381
1,Trident,11,8,6,7,6,5,12,7,27,8,8,4,11,2,5,11,5,4,14,C,3,381
1,Trident,17,Ret,12,16,11,27,Ret,13,Ret,9,13,5,12,5,9,14,18,30†,15,C,15,381
2,Prema Racing,6,1,1,9,1,2,1,3,2,2,5,1,13,9,8,1,6,1,2,C,7,377
2,Prema Racing,8,24,4,10,2,13,2,6,3,5,11,2,14,10,10,7,7,9,7,C,10,377
2,Prema Racing,28,25,13,12,4,Ret,Ret,9,Ret,13,29,8,16,15,11,10,27†,14,17,C,24,377
3,ART Grand Prix,1,3,7,1,7,6,7,2,1,6,4,6,4,6,3,9,3,3,8,C,2,256
3,ART Grand Prix,7,10,11,6,10,8,10,24,4,14,14,7,10,8,6,24,14,8,9,C,11,256
3,ART Grand Prix,15,Ret,14,15,16,9,14,25,14,Ret,16,14,22,18,21,28,17,27,22,C,23,256
4,MP Motorsport,3,2,5,2,3,3,5,17,7,15,12,16,5,4,2,5,1,5,3,C,8,224
4,MP Motorsport,9,5,8,13,18,4,13,26†,20,20,15,19,9,7,4,8,4,10,5,C,18,224
4,MP Motorsport,21,15,20,29,Ret,16,17,Ret,24,21,25,27,23,16,22,21,21,29†,Ret,C,Ret,224
5,Charouz Racing System,4,13,9,4,12,11,4,8,8,3,2,9,8,3,7,2,10,6,1,C,4,127
5,Charouz Racing System,12,Ret,19,19,17,21,15,23,15,12,9,10,18,25,24,26,20,22,24,C,20,127
5,Charouz Racing System,20,Ret,23,21,25,Ret,20,Ret,17,24,18,20,26,26,NC,Ret,23,23,26,C,21,127
6,Hitech Grand Prix,13,7,10,8,9,7,8,4,6,1,3,12,2,11,12,3,8,7,10,C,5,126
6,Hitech Grand Prix,14,9,15,11,14,10,11,14,12,11,10,15,3,12,13,4,15,11,11,C,9,126
6,Hitech Grand Prix,16,12,18,26,19,15,DSQ,Ret,26,26,21,24,15,13,15,27,Ret,13,13,C,26,126
7,HWA Racelab,10,18,3,17,13,20,21,12,5,10,1,21,19,21,17,17,9,25,16,C,17,44
7,HWA Racelab,19,19,17,22,21,22,23,16,19,18,22,23,20,23,26,18,12,26,20,C,25†,44
7,HWA Racelab,Ret,26†,28,25,27,23,26,18,22,23,28,25,27,Ret,Ret,22,13,28,Ret,C,Ret,44
8,Campos Racing,23,16,25,14,15,19,19,11,13,7,7,11,1,14,14,13,16,12,6,C,16,32
8,Campos Racing,26,22,26,18,20,25,22,19,18,19,23,26,17,22,23,23,Ret,17,21,C,22,32
8,Campos Racing,27,23,29,27,24,28†,25,21,21,27,Ret,Ret,25,Ret,Ret,25,Ret,24,Ret,C,Ret,32
9,Jenzer Motorsport,18,11,21,3,8,12,16,10,9,17,19,17,6,19,16,15,19,18,12,C,6,29
9,Jenzer Motorsport,24,14,24,23,26,18,18,15,23,22,20,18,24,24,18,16,22,19,19,C,12,29
9,Jenzer Motorsport,25,21,27,Ret,28,26,24,22,25,25,24,22,28†,Ret,25,Ret,24,20,25,C,19,29
10,Carlin Buzz Racing,5,6,16,20,22,14,6,5,10,16,17,13,21,17,19,12,11,15,18,C,13,25
10,Carlin Buzz Racing,22,17,22,24,23,17,9,20,16,28†,26,Ret,Ret,20,20,19,25,16,23,C,14,25
10,Carlin Buzz Racing,29,20,30,28,Ret,24,Ret,Ret,DNS,Ret,27,Ret,,,,20,26†,21,27,C,Ret,25
