Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,5,Gabriel Bortoleto,Trident,1:33.025,12,1
2,8,Grégoire Saucy,ART Grand Prix,+0.171,11,2
3,15,Gabriele Minì,Hitech Pulse-Eight,+0.282,10,3
4,4,Leonardo Fornaroli,Trident,+0.345,9,4
5,3,Zak O'Sullivan,Prema Racing,+0.348,8,5
6,1,Paul Aron,Prema Racing,+0.383,7,6
7,10,Franco Colapinto,MP Motorsport,+0.563,6,7
8,2,Dino Beganovic,Prema Racing,+0.579,5,8
9,16,Luke Browning,Hitech Pulse-Eight,+0.740,4,9
10,17,Caio Collet,Van Amersfoort Racing,+0.851,3,10
11,6,Oliver Goethe,Trident,+0.992,2,11
12,14,Sebastián Montoya,Hitech Pulse-Eight,+1.069,1,12
13,24,Christian Mansell,Campos Racing,+1.202,13,13
14,12,Jonny Edgar,MP Motorsport,+1.251,14,14
15,9,Nikola Tsolov,ART Grand Prix,+1.265,15,15
16,11,Mari Boya,MP Motorsport,+1.301,16,16
17,7,Kaylen Frederick,ART Grand Prix,+1.339,17,17
18,27,Taylor Barnard,Jenzer Motorsport,+1.369,18,18
19,18,Rafael Villagómez,Van Amersfoort Racing,+1.521,19,19
20,26,Nikita Bedrin,Jenzer Motorsport,+1.743,20,20
21,20,Oliver Gray,Rodin Carlin,+2.077,21,21
22,25,Hugh Barter,Campos Racing,+2.108,22,22
23,22,Ido Cohen,Rodin Carlin,+2.334,23,28
24,29,Sophia Flörsch,PHM RacingbyCharouz,+2.494,24,23
25,30,Roberto Faria,PHM RacingbyCharouz,+2.663,25,24
26,21,Hunter Yeany,Rodin Carlin,+2.7551,291,25
27,31,Piotr Wiśnicki,PHM RacingbyCharouz,+2.994,26,26
28,19,Tommy Smith,Van Amersfoort Racing,+3.289,282,27
29,28,Alex García,Jenzer Motorsport,+3.571,27,29
—,23,Pepe Martí,Campos Racing,No time set,303,30
