Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,4,Leonardo Fornaroli,Trident,1:45.520,12,1
2,6,Oliver Goethe,Trident,+0.126,11,2
3,23,Pepe Martí,Campos Racing,+0.354,10,3
4,24,Christian Mansell[a],Campos Racing,+0.389,9,4
5,5,Gabriel Bortoleto,Trident,+0.390,8,5
6,1,Paul Aron,Prema Racing,+0.425,7,6
7,15,Gabriele Minì,Hitech Pulse-Eight,+0.520,6,7
8,16,Luke Browning,Hitech Pulse-Eight,+0.526,5,8
9,10,Franco Colapinto,MP Motorsport,+0.544,4,9
10,27,Taylor Barnard,Jenzer Motorsport,+0.635,3,10
11,12,Jonny Edgar,MP Motorsport,+0.649,2,11
12,14,Sebastián Montoya,Hitech Pulse-Eight,+0.729,1,12
13,8,Grégoire Saucy,ART Grand Prix,+0.750,13,13
14,25,Hugh Barter,Campos Racing,+0.757,14,14
15,3,Zak O'Sullivan,Prema Racing,+0.812,15,15
16,11,Mari Boya,MP Motorsport,+0.826,16,16
17,17,Caio Collet,Van Amersfoort Racing,+0.948,17,17
18,7,Kaylen Frederick,ART Grand Prix,+1.100,18,18
19,26,Nikita Bedrin[b],Jenzer Motorsport,+1.212,19,19
20,31,McKenzy Cresswell,PHM RacingbyCharouz,+1.386,20,20
21,18,Rafael Villagómez,Van Amersfoort Racing,+1.451,21,21
22,19,Tommy Smith,Van Amersfoort Racing,+1.517,22,22
23,9,Nikola Tsolov,ART Grand Prix,+1.534,23,23
24,21,Max Esterson,Rodin Carlin,+1.587,24,24
25,20,Oliver Gray,Rodin Carlin,+1.750,25,25
26,22,Ido Cohen,Rodin Carlin,+1.927,26,26
27,28,Alex García,Jenzer Motorsport,+2.040,27,27
28,29,Sophia Flörsch,PHM RacingbyCharouz,+2.093,28,28
29,30,Roberto Faria,PHM RacingbyCharouz,+2.258,29,29
—,2,Dino Beganovic,Prema Racing,+1:00.442,30,30
