Pos,No.,Driver,Team,Q1 Time,Rank,Q2 Time,Rank,Gap,Grid
1,11,Luke Browning,Hitech Pulse-Eight,2:06.018,2,2:05.435,1,—,1
2,9,Gabriele Minì,SJM TheodorePrema Racing,2:05.521,1,2:05.441,2,+0.006,2
3,8,Dino Beganovic,SJM TheodorePrema Racing,2:06.131,3,2:05.518,3,+0.083,3
4,12,Isack Hadjar,Hitech Pulse-Eight,2:06.364,6,2:05.557,4,+0.122,4
5,29,Marcus Armstrong,MP Motorsport,2:06.714,7,2:05.732,5,+0.297,5
6,14,Alex Dunne,Hitech Pulse-Eight,2:06.158,5,2:05.755,6,+0.320,6
7,17,Oliver Goethe,Campos Racing,2:06.834,9,2:06.092,7,+0.657,7
8,27,Dennis Hauger,MP Motorsport,2:06.135,4,2:06.643,14,+0.700,8
9,3,Ugo Ugochukwu,Trident Motorsport,2:08.280,19,2:06.167,8,+0.732,9
10,28,Mari Boya,MP Motorsport,2:07.946,17,2:06.192,9,+0.757,10
11,15,Pepe Martí,Campos Racing,2:08.034,18,2:06.264,10,+0.811,11
12,1,Richard Verschoor,Trident Motorsport,2:07.064,11,2:06.323,11,+0.888,12
13,25,Dan Ticktum,Rodin Carlin,2:06.985,10,2:06.460,12,+1.025,13
14,10,Paul Aron,SJM TheodorePrema Racing,2:07.108,12,2:06.475,13,+1.040,14
15,23,Nikola Tsolov,ART Grand Prix,2:06.755,8,—,26,+1.320,15
16,24,Zane Maloney,Rodin Carlin,2:07.834,16,2:06.789,15,+1.363,16
17,19,Sophia Flörsch,Van Amersfoort Racing,2:08.966,24,2:06.912,16,+1.477,17
18,6,Charlie Wurz,Jenzer Motorsport,2:07.353,13,2:07.219,17,+1.784,18
19,18,Noel León,Van Amersfoort Racing,2:07.368,14,2:07.504,19,+1.933,19
20,2,Roman Staněk,Trident Motorsport,2:07.570,15,2:07.433,18,+1.998,20
21,5,Max Esterson,Jenzer Motorsport,2:08.429,21,2:07.507,20,+2.072,21
22,21,Laurens van Hoepen,ART Grand Prix,2:08.651,22,2:07.540,21,+2.105,22
23,16,Sebastián Montoya,Campos Racing,2:44.434,26,2:07.656,22,+2.221,23
24,22,Christian Mansell,ART Grand Prix,2:08.329,20,2:08.049,23,+2.614,24
25,7,Matías Zagazeta,Jenzer Motorsport,2:08.769,23,2:08.489,24,+3.054,25
26,20,Tommy Smith,Van Amersfoort Racing,2:09.071,25,2:10.226,25,+3.636,26
