Pos.,No.,Driver,Team,Time,Gap,GridSR,GridFR
1,4,Leonardo Fornaroli,Trident,1:38.287,–,161,1
1,9,Alex Dunne,MP Motorsport,1:38.818,–,7,2
2,2,Gabriele Minì,Prema Racing,1:38.543,+0.256,141,3
2,5,Sami Meguetounif,Trident,1:38.860,+0.042,5,4
3,6,Santiago Ramos,Trident,1:38.704,+0.417,4,5
3,11,Sebastián Montoya,Campos Racing,1:38.899,+0.081,3,6
4,28,Joshua Dufek,AIX Racing,1:38.832,+0.545,101,7
4,23,Christian Mansell,ART Grand Prix,1:38.905,+0.087,91,8
5,12,Mari Boya,Campos Racing,1:38.872,+0.585,81,9
5,1,Dino Beganovic,Prema Racing,1:38.956,+0.138,2,10
6,26,Tasanapol Inthraphuvasak,AIX Racing,1:39.115,+0.828,61,11
6,7,Tim Tramnitz,MP Motorsport,1:38.959,+0.141,1,12
7,14,Luke Browning,Hitech Pulse-Eight,1:39.124,+0.837,171,13
7,31,Joseph Loake,Rodin Motorsport,1:39.020,+0.202,11,14
8,30,Piotr Wiśnicki,Rodin Motorsport,1:39.273,+0.986,201,15
8,25,Nikola Tsolov,ART Grand Prix,1:39.129,+0.311,191,16
9,20,Noel León,Van Amersfoort Racing,1:39.350,+1.063,211,17
9,3,Arvid Lindblad,Prema Racing,1:39.219,+0.401,12,18
10,18,Max Esterson,Jenzer Motorsport,1:39.494,+1.207,221,19
10,15,Martinius Stenshorne,Hitech Pulse-Eight,1:39.273,+0.455,13,20
11,16,Cian Shields,Hitech Pulse-Eight,1:39.717,+1.430,15,21
11,29,Callum Voisin,Rodin Motorsport,1:39.294,+0.476,18,22
12,10,Noah Strømsted,Campos Racing,1:25.995,+1.590,261,23
12,27,Nikita Bedrin,AIX Racing,1:39.321,+0.503,22,24
13,22,Tommy Smith,Van Amersfoort Racing,1:40.216,+1.929,271,25
13,17,Charlie Wurz,Jenzer Motorsport,1:39.409,+0.591,24,26
14,21,Sophia Flörsch,Van Amersfoort Racing,1:39.550,+0.732,25,27
—,19,Matías Zagazeta,Jenzer Motorsport,2:45.165,+1:06.347,282,28
—,24,Laurens van Hoepen,ART Grand Prix,No time set,—,292,29
—,8,Kacper Sztuka,MP Motorsport,No time set,—,PL2,PL2
