Pos,Driver,ALB SR,ALB FR,BHR FR,BHR SR,IMO SR,IMO FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,Points
1,Rafael Câmara,Ret,1P F,12,1P F,11,3P,7,Ret,Ret,1P F,,,,,,,,,,,105
2,Nikola Tsolov,8,Ret,1,5,3,9,24,1P F,3,5,,,,,,,,,,,79
3,Tim Tramnitz,NC,5,6,3,1,6,5,5,Ret,7,,,,,,,,,,,70
4,Noah Strømsted,Ret,2,10,6,6F,2F,Ret,18,Ret,8,,,,,,,,,,,56
5,Tuukka Taponen,14,20,3,4,7,4,2,7,Ret,19,,,,,,,,,,,51
6,Santiago Ramos,1,16,Ret,14,27†,1,Ret,16,2F,Ret,,,,,,,,,,,45
7,Alessandro Giusti,11,25,7,7,10,7,4,10,6,3,,,,,,,,,,,45
8,Théophile Naël,7,3,Ret,15,20,26,16,22†,5,2,,,,,,,,,,,43
9,Callum Voisin,9,Ret,4,2,26,18,10,4,16,10,,,,,,,,,,,41
10,Roman Bilinski,3,9,20,13,5,8,11,2,Ret,Ret,,,,,,,,,,,38
11,Martinius Stenshorne,2F,8,5,18,13,11,1F,8,Ret,9,,,,,,,,,,,37
12,Laurens van Hoepen,Ret,12,16,12,17,10,3,6,4,4,,,,,,,,,,,36
13,Mari Boya,13,17,15,8,Ret,5,8,3,7,22,,,,,,,,,,,36
14,Ivan Domingues,21,19,Ret,19,25,Ret,Ret,20,1,6,,,,,,,,,,,18
15,Nikita Bedrin,6,4,,,,,,,,,,,,,,,,,,,17
16,Tasanapol Inthraphuvasak,4,7,18,16,19,17,23,12,9,11,,,,,,,,,,,15
17,Charlie Wurz,Ret,6,9,11,23,16,6,Ret,14,13,,,,,,,,,,,15
18,Bruno del Pino,Ret,23,19,9,2,27,22,NC,12,17,,,,,,,,,,,11
19,Louis Sharp,18,14,14,23,4,12,9,9,13,12,,,,,,,,,,,11
20,Freddie Slater,,,2F,Ret,,,,,,,,,,,,,,,,,10
21,Matías Zagazeta,5,22,17,29,Ret,22,17,15,18,15,,,,,,,,,,,6
22,Christian Ho,15,Ret,8,10,21,21,15,13,11,14,,,,,,,,,,,4
23,Ugo Ugochukwu,12,10,Ret,27,8,14,13,14,22,20,,,,,,,,,,,4
24,Noel León,10,13,11,17,9,28†,Ret,Ret,10,18,,,,,,,,,,,4
25,James Wharton,Ret,21,13,28,22,13,21,11,8,16,,,,,,,,,,,3
26,Joshua Dufek,22,11,Ret,22,14,15,14,17,,,,,,,,,,,,,0
27,Brad Benavides,,,,,12,24,12,Ret,15,24,,,,,,,,,,,0
28,Nicola Lacorte,17,24,Ret,20,15,25,Ret,Ret,19,26†,,,,,,,,,,,0
29,Javier Sagrera,Ret,15,23,24,,,,,,,,,,,,,,,,,0
30,Brando Badoer,19,26,22,21,16,19,20,Ret,17,Ret,,,,,,,,,,,0
31,Gerrard Xie,16,18,21,26,24,20,18,19,20,21,,,,,,,,,,,0
32,James Hedley,,,,,18,23,Ret,WD,,,,,,,,,,,,,0
33,Nicola Marinangeli,20,27,Ret,25,Ret,Ret,19,21,21,23,,,,,,,,,,,0
34,Jesse Carrasquedo Jr.,,,,,,,,,23,25,,,,,,,,,,,0
