Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,5,Rafael Câmara,Trident,1:34.999,12,1
2,4,Noah Strømsted,Trident,+0.129,11,2
3,20,Théophile Naël,Van Amersfoort Racing,+0.567,10,3
4,28,Nikita Bedrin[a],AIX Racing,+0.771,9,4
5,17,Tim Tramnitz,MP Motorsport,+0.826,8,5
6,6,Charlie Wurz,Trident,+0.840,7,6
7,11,Tasanapol Inthraphuvasak,Campos Racing,+0.925,6,7
8,3,Ugo Ugochukwu,Prema Racing,+1.039,5,8
9,14,Martinius Stenshorne,Hitech TGR,+1.120,4,9
10,25,Roman Bilinski,Rodin Motorsport,+1.126,3,10
11,30,Matías Zagazeta,DAMS Lucas Oil,+1.233,2,11
12,21,Santiago Ramos,Van Amersfoort Racing,+1.269,1,12
13,15,Joshua Dufek,Hitech TGR,+1.293,13,13
14,19,Alessandro Giusti,MP Motorsport,+1.337,14,14
15,24,Louis Sharp,Rodin Motorsport,+1.345,15,15
16,12,Nikola Tsolov,Campos Racing,+1.491,16,16
17,7,Laurens van Hoepen,ART Grand Prix,+1.656,17,17
18,23,Callum Voisin,Rodin Motorsport,+1.670,18,18
19,2,Noel León,Prema Racing,+1.743,19,19
20,26,Javier Sagrera,AIX Racing,+1.819,20,20
21,9,James Wharton,ART Grand Prix,+1.989,21,21
22,31,Christian Ho,DAMS Lucas Oil,+2.182,22,22
23,10,Mari Boya,Campos Racing,+2.427,23,23
24,8,Tuukka Taponen,ART Grand Prix,+2.575,24,24
25,16,Gerrard Xie,Hitech TGR,+2.820,25,25
26,22,Ivan Domingues,Van Amersfoort Racing,+3.118,26,26
27,27,Nicola Marinangeli,AIX Racing,+3.787,27,27
28,1,Brando Badoer,Prema Racing,+6.516,28,28
—,29,Nicola Lacorte,DAMS Lucas Oil,+14.363,29,29
—,18,Bruno del Pino,MP Motorsport,+18.659,30,30
