Team,Chassis[N 1],Engine,No.,Driver,Rounds
Prema Powerteam[3],F312/005,Mercedes-Benz,1
Prema Powerteam[3],F312/014,2,Sven Müller[5]
Prema Powerteam[3],F312/015,14,Michael Lewis[6]
Prema Powerteam[3],F312/030,15,Raffaele Marciello[7]
Mücke Motorsport[3],F312/020,Mercedes-Benz,5
Mücke Motorsport[3],F312/023,6,Pascal Wehrlein[8]
,Jo Zeller Racing[3],F312/044,Mercedes-Benz
,URD Rennsport[3],F312/011,Mercedes-Benz
,GU-Racing[3],F312/019,Mercedes-Benz
Carlin[12],F312/040,Volkswagen,11
Carlin[12],F312/004,12,Carlos Sainz Jr.[12]
ma-con Motorsport[13],F312/045,Volkswagen,16
ma-con Motorsport[13],F312/046,17,Emil Bernstorff[13]
,Angola Racing Team,F312/039,Mercedes-Benz
,Entries ineligible for championship points,,
,Jo Zeller Racing[3],F308/044,Mercedes-Benz
Carlin,F312/010,Volkswagen,30
Carlin,F312/002,34,Jazeman Jaafar[14]
Carlin,F312/001,39,Jack Harvey[14]
Carlin,F312/016,40,Pietro Fantin[14]
Carlin,F312/016,44,Felipe Nasr
Carlin,F312/040,71,Richard Bradley
Fortec Motorsports[16],F312/002,Mercedes-Benz,31
Fortec Motorsports[16],F312/007,32,Félix Serrallés[16]
Fortec Motorsports[16],F312/036,33,Alex Lynn[16]
Fortec Motorsports[16],F312/0003,38,Pipo Derani[14]
Double R Racing,F312/043,Mercedes-Benz,35
Double R Racing,F312/009,36,Fahmi Ilyas[14]
Double R Racing,F308/054,Mugen-Honda,37
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,41
ThreeBondwithT-Sport,F308/025,Mugen-Honda,42
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,43
ThreeBondwithT-Sport,F311,Mugen-Honda,44
,CF Racing,F311,Mugen-Honda
Van Amersfoort Racing,F312/051,Volkswagen,50
Van Amersfoort Racing,F312/052,51,Dennis van de Laar
