Team,Chassis[N 1],Engine,No.,Driver,Rounds
Prema Powerteam,F312/030,Mercedes,1,Raffaele Marciello,All
Prema Powerteam,F312/014,Mercedes,2,Alex Lynn[N 2],All
Prema Powerteam,F312/005,Mercedes,24,Lucas Auer[N 3],All
Prema Powerteam,F312/015,Mercedes,25,Eddie Cheever III[N 4],All
Carlin,F312/010,Volkswagen,3,Harry Tincknell,All
Carlin,F312/004,Volkswagen,4,Jordan King[N 5],All
Carlin,F312/001,Volkswagen,26,Nicholas Latifi[N 6],All
Carlin,F312/040,Volkswagen,27,Jann Mardenborough[N 7],All
Carlin,F312/016,Volkswagen,51,Daniil Kvyat[N 8],3–9
Carlin,F312/016,Volkswagen,51,Nick Cassidy[N 8],10
kfzteile24Mücke Motorsport,F312/023,Mercedes,5,Pascal Wehrlein,1
kfzteile24Mücke Motorsport,F312/023,Mercedes,5,Michael Lewis[N 9],2–10
kfzteile24Mücke Motorsport,F312/004,Mercedes,6,Felix Rosenqvist,All
kfzteile24Mücke Motorsport,F312/019,Mercedes,28,Mitchell Gilbert[N 10],All
kfzteile24Mücke Motorsport,F312/039,Mercedes,29,Roy Nissany[N 7],All
ma-con,F312/045,Volkswagen,7,Sven Müller,1–7
ma-con,F312/045,Volkswagen,7,Stefano Coletti,10
ma-con,F312/046,Volkswagen,8,André Rudersdorf,All
URD Rennsport,F312/011,Mercedes,9,Lucas Wolf,All
Jo Zeller Racing,F312/048,Mercedes,10,Sandro Zeller,All
Fortec Motorsports,F312/007,Mercedes,11,Félix Serrallés[N 11],All
Fortec Motorsports,F312/003,Mercedes,12,Luis Felipe Derani[N 12],All
Fortec Motorsports,F312/036,Mercedes,30,Josh Hill[N 7],1–5
Fortec Motorsports,F312/035,Mercedes,30,John Bryant-Meisner[N 7],9–10
Fortec Motorsports,F312/035,Mercedes,31,Dmitry Suranovich[N 7],1
Fortec Motorsports,F312/035,Mercedes,31,Edward Jones[N 8],3
Fortec Motorsports,F312/035,Mercedes,31,William Buller,5
Fortec Motorsports,F312/035,Mercedes,31,Alfonso Celis Jr.[N 7],8
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,14,William Buller,1–4
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,14,Alexander Sims,6–9
ThreeBondwithT-Sport,F312/008,ThreeBond Nissan,14,Kevin Korjus,10
ThreeBondwithT-Sport,F312/049,ThreeBond Nissan,15,Richard Goddard,All
Double R Racing,F312/043,Mercedes,16,Tatiana Calderón[N 7],All
Double R Racing,F312/009,Mercedes,17,Antonio Giovinazzi,All
Double R Racing,F312/004,Mercedes,32,Sean Gelael,All
Van Amersfoort Racing,F312/052,Volkswagen,18,Dennis van de Laar,All
Van Amersfoort Racing,F312/051,Volkswagen,19,Måns Grenhagen,1–5
Van Amersfoort Racing,F312/051,Volkswagen,19,Sven Müller,8–10
EuroInternational,F312/053,Mercedes,20,Tom Blomqvist,All
EuroInternational,F312/003,Mercedes,52,Nick Cassidy[N 8],6
Romeo Ferraris,F312/003,Mercedes,22,Gary Thompson[N 13],1–2
