Pos,Driver,SIL R1,SIL R2,SIL R3,HOC R1,HOC R2,HOC R3,PAU R1,PAU R2,PAU R3,HUN R1,HUN R2,HUN R3,SPA R1,SPA R2,SPA R3,NOR R1,NOR R2,NOR R3,MSC R1,MSC R2,MSC R3,RBR R1,RBR R2,RBR R3,NÜR R1,NÜR R2,NÜR R3,IMO R1,IMO R2,IMO R3,HOC R1,HOC R2,HOC R3,Points
1,Esteban Ocon,2,1,3,9,1,2,1,2,2,2,1,1,Ret,2,2,2,14,2,1,1,1,13,Ret,13,6,3,Ret,1,4,3,7,4,7,478
2,Tom Blomqvist,1,4,6,4,5,Ret,11,1,3,1,5,6,4,8,6,10,Ret,Ret,4,3,7,1,2,2,5,2,2,3,1,5,3,1,3,420
3,Max Verstappen,Ret,5,2,Ret,DNS,1,3,Ret,Ret,Ret,16,4,1,1,1,1,1,1,3,Ret,2,5,4,12,1,Ret,3,Ret,2,1,1,5,6,411
4,Lucas Auer,5,12,8,1,4,4,2,7,6,4,3,3,2,Ret,21,3,3,8,5,4,Ret,10,3,3,7,5,1,6,5,8,2,3,1,365
5,Antonio Fuoco,4,3,1,11,Ret,3,17,19†,11,19,2,2,5,Ret,16,Ret,7,9,6,2,3,6,1,19,2,4,4,16,25,2,14,DSQ,DNS,255
6,Antonio Giovinazzi,12,8,5,Ret,2,5,7,4,10,23†,6,5,Ret,9,11,Ret,9,7,13,16,10,2,16,1,3,1,Ret,5,3,Ret,4,2,5,238
7,Jordan King,3,6,9,3,9,7,5,18†,9,5,Ret,DNS,10,10,10,Ret,2,3,2,5,Ret,9,Ret,7,4,6,5,2,19,11,6,13,2,217
8,Felix Rosenqvist,9,14,7,5,7,Ret,14,Ret,1,3,4,17,7,4,9,6,6,11,8,7,5,4,Ret,Ret,8,7,Ret,4,9,Ret,5,6,4,198
9,Jake Dennis,17,17,Ret,7,10,6,4,3,4,11,17,9,3,6,7,5,4,Ret,15,6,4,3,18†,5,Ret,Ret,9,7,7,7,15,12,11,174
10,Nicholas Latifi,6,2,4,Ret,6,Ret,Ret,17†,Ret,22,9,10,13,7,5,4,8,Ret,7,8,17†,Ret,8,4,13,10,Ret,Ret,6,4,,,,128
