Pos,Driver,LEC R1,LEC R2,LEC R3,HUN R1,HUN R2,HUN R3,PAU R1,PAU R2,PAU R3,RBR R1,RBR R2,RBR R3,NOR R1,NOR R2,NOR R3,ZAN R1,ZAN R2,ZAN R3,SPA R1,SPA R2,SPA R3,NÜR R1,NÜR R2,NÜR R3,IMO R1,IMO R2,IMO R3,HOC R1,HOC R2,HOC R3,Points
1,Lance Stroll,1,Ret,5,4,8,3,9,4,2,2,1,1,1,2,1,1,Ret,Ret,1,Ret,4,1,1,2,2,1,1,1,1,1,507
2,Maximilian Günther,5,Ret,1,5,1,Ret,3,14,13,3,6,3,Ret,3,5,4,2,1,2,7,6,2,2,1,12,Ret,12,2,8,9,320
3,George Russell,3,11,18,Ret,4,Ret,4,1,3,5,2,Ret,3,9,Ret,7,9,5,5,1,3,3,Ret,7,4,3,2,7,6,Ret,264
4,Nick Cassidy,2,2,2,Ret,16,9,2,16,Ret,6,Ret,10,6,4,6,2,1,2,4,17,5,4,Ret,5,10,7,8,3,Ret,4,254
5,Joel Eriksson,6,9,3,3,Ret,2,14,9,6,17,14,6,Ret,5,Ret,12,10,7,14,2,1,7,3,6,3,2,5,6,2,2,252
6,Callum Ilott,10,1,12,Ret,9,6,5,3,4,1,4,2,Ret,7,7,5,3,6,16,5,Ret,5,7,4,15,Ret,3,Ret,DSQ,Ret,226
7,Ralf Aron,7,Ret,7,1,2,DNS,13,6,15,9,12,9,4,10,9,14,6,8,8,14,13,6,4,14,7,4,4,4,5,8,166
8,Anthoine Hubert,17,8,6,Ret,13,14,12,7,12,16,10,16,8,1,2,9,4,10,Ret,4,2,10,5,9,5,6,6,10,7,10,160
9,Ben Barnicoat,4,Ret,11,9,10,1,1,5,11,10,15,5,5,Ret,DSQ,18,8,9,3,11,20,9,Ret,10,8,Ret,13,18,9,7,134
10,Niko Kari,8,16,15,2,Ret,8,19,11,8,20,3,8,2,12,Ret,6,11,11,11,10,7,8,10,3,1,9,Ret,14,12,13,129
11,Sérgio Sette Câmara,16,5,19,7,5,5,8,2,Ret,12,8,4,Ret,Ret,3,11,17,15,15,Ret,15,11,8,8,Ret,15,11,5,14,6,117
12,Mikkel Jensen,13,4,4,10,7,11,6,8,5,4,5,Ret,7,8,Ret,15,13,12,Ret,3,9,15,13,17,11,10,7,Ret,15,DNS,107
13,Guanyu Zhou,14,3,8,8,3,4,11,Ret,Ret,13,11,7,Ret,6,4,16,18,16,17,8,11,12,12,12,6,5,10,11,13,11,101
14,Alessio Lorandi,12,6,9,6,6,12,10,15,1,11,9,17,12,Ret,8,3,5,4,10,13,17,,,,,,,,,,96
15,David Beckmann,,,,,,,17,Ret,Ret,7,7,12,10,13,Ret,10,7,3,7,16,10,13,6,13,Ret,Ret,9,12,3,18,67
16,Jake Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,3,27
17,Ryan Tveter,15,7,Ret,11,11,DNS,7,Ret,7,15,DNS,DNS,13,Ret,13,8,14,14,9,9,16,,,,,,,,,,25
18,Harrison Newey,9,Ret,14,12,12,10,15,Ret,14,8,16,11,14,Ret,10,19,12,18,6,12,12,14,11,11,9,8,Ret,15,18,12,22
19,Pedro Piquet,11,14,Ret,13,14,7,20,Ret,10,19,Ret,13,9,Ret,Ret,13,16,13,18,6,14,17,9,15,Ret,12,14,16,17,15,19
20,Nikita Mazepin,19,12,10,EX,Ret,13,16,13,Ret,14,17,14,11,11,11,17,15,17,12,Ret,8,16,14,16,13,11,15,8,10,Ret,10
21,Arjun Maini,Ret,13,16,14,15,15,18,10,9,Ret,Ret,18,,,,,,,,,,,,,,,,,,,3
22,Raoul Hyman,18,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,Peter Li,20,15,17,15,Ret,16,Ret,12,Ret,18,DNS,DNS,,,,,,,,,,,,,,,,,,,0
24,William Buller,,,,,,,,,,,,,Ret,Ret,12,,,,,,,,,,,,,,,,0
25,Weiron Tan,,,,,,,,,,Ret,13,15,,,,20,19,Ret,Ret,15,18,,,,,,,,,,0
26,Ukyo Sasahara,,,,,,,,,,,,,,,,,,,13,Ret,19,,,,Ret,13,Ret,,,,0
27,Wing Chung Chang,,,,,,,,,,,,,,,,,,,,,,,,,14,14,16,17,19,17,0
,Alexander Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,5,0
,Dan Ticktum,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,14,0
,Lando Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret,16,16,0
