Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull Racing-Renault,1:24.002,1:22.914,1:22.275,1
2,3,Lewis Hamilton,McLaren-Mercedes,1:23.976,1:23.172,1:22.725,2
3,4,Jenson Button,McLaren-Mercedes,1:24.013,1:23.031,1:22.777,3
4,5,Fernando Alonso,Ferrari,1:24.134,1:23.342,1:22.841,4
5,2,Mark Webber,Red Bull Racing-Renault,1:24.148,1:23.387,1:22.972,5
6,6,Felipe Massa,Ferrari,1:24.523,1:23.681,1:23.188,6
7,10,Vitaly Petrov,Renault,1:24.486,1:23.741,1:23.530,7
8,7,Michael Schumacher,Mercedes,1:25.108,1:23.671,1:23.777,8
9,8,Nico Rosberg,Mercedes,1:24.550,1:23.335,1:24.477,9
10,9,Bruno Senna,Renault,1:24.914,1:24.157,no time,10
11,15,Paul di Resta,Force India-Mercedes,1:24.574,1:24.163,,11
12,14,Adrian Sutil,Force India-Mercedes,1:24.595,1:24.209,,12
13,11,Rubens Barrichello,Williams-Cosworth,1:24.975,1:24.648,,13
14,12,Pastor Maldonado,Williams-Cosworth,1:24.798,1:24.726,,14
15,17,Sergio Pérez,Sauber-Ferrari,1:25.113,1:24.845,,15
16,18,Sébastien Buemi,Toro Rosso-Ferrari,1:25.164,1:24.932,,16
17,16,Kamui Kobayashi,Sauber-Ferrari,1:24.879,1:25.065,,17
18,19,Jaime Alguersuari,Toro Rosso-Ferrari,1:25.334,,,18
19,21,Jarno Trulli,Lotus-Renault,1:26.647,,,19
20,20,Heikki Kovalainen,Lotus-Renault,1:27.184,,,20
21,24,Timo Glock,Virgin-Cosworth,1:27.591,,,21
22,25,Jérôme d'Ambrosio,Virgin-Cosworth,1:27.609,,,22
23,22,Daniel Ricciardo,HRT-Cosworth,1:28.054,,,23
24,23,Vitantonio Liuzzi,HRT-Cosworth,1:28.231,,,24
