Pos,Team,AUS R1,MAL R1,CHN R1,BHR R1,ESP R1,MON R1,CAN R1,GBR R1,GER R1,HUN R1,BEL R1,ITA R1,SIN R1,KOR R1,JPN R1,IND R1,ABU R1,USA R1,BRA R1,Points
1,Red Bull Racing - Renault,3,1,4,1,4,2,1,Ret,1,3,1,1,1,1,1,1,1,1,1,596
1,Red Bull Racing - Renault,6,2,Ret,7,5,3,4,2,7,4,5,3,15,Ret,2,Ret,2,3,2,596
2,Mercedes,Ret,4,Ret,9,6,1,5,1,9,19,4,6,4,7,8,2,3,9,5,360
2,Mercedes,5,3,3,5,12,4,3,4,5,1,3,9,5,5,Ret,6,7,4,9,360
3,Ferrari,2,Ret,1,8,1,7,2,3,4,5,2,2,2,6,4,11,5,5,3,354
3,Ferrari,4,5,6,15,3,Ret,8,6,Ret,8,7,4,6,9,10,4,8,12,7,354
4,Lotus - Renault,1,7,2,2,2,10,9,5,2,2,Ret,11,3,2,5,7,Ret,14,14,315
4,Lotus - Renault,10,6,9,3,Ret,Ret,13,19,3,6,8,8,Ret,3,3,3,4,2,Ret,315
5,McLaren - Mercedes,9,17,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4,122
5,McLaren - Mercedes,11,9,11,6,9,16,11,20,8,9,11,12,8,10,15,5,9,7,6,122
6,Force India - Mercedes,8,Ret,8,4,7,9,7,9,11,18,Ret,Ret,20,Ret,11,8,6,15,11,77
6,Force India - Mercedes,7,Ret,Ret,13,13,5,10,7,13,Ret,9,16,10,20,14,9,10,Ret,13,77
7,Sauber - Ferrari,DNS,8,10,12,15,11,Ret,10,10,11,13,5,9,4,6,19,14,6,8,57
7,Sauber - Ferrari,13,12,Ret,18,11,13,20,14,14,Ret,14,13,12,11,7,15,13,13,12,57
8,Toro Rosso - Ferrari,12,10,12,Ret,Ret,8,6,Ret,Ret,12,12,Ret,14,18,12,13,17,16,15,33
8,Toro Rosso - Ferrari,Ret,18,7,16,10,Ret,15,8,12,13,10,7,Ret,19,13,10,16,11,10,33
9,Williams - Renault,Ret,Ret,14,11,14,Ret,16,11,15,10,17,14,11,13,16,12,11,17,16,5
9,Williams - Renault,14,11,13,14,16,12,14,12,16,Ret,15,15,13,12,17,16,15,8,Ret,5
10,Marussia - Cosworth,15,13,15,19,18,Ret,17,16,Ret,16,18,19,18,16,Ret,18,20,18,17,0
10,Marussia - Cosworth,17,16,17,20,19,14,19,17,19,17,19,20,17,17,19,17,21,21,19,0
11,Caterham - Renault,16,14,16,17,17,Ret,18,15,17,15,Ret,17,19,14,18,Ret,19,20,Ret,0
11,Caterham - Renault,18,15,18,21,Ret,15,Ret,18,18,14,16,18,16,15,Ret,Ret,18,19,18,0
