Pos,Team,AUS R1,BHR R1,CHN R1,RUS R1,ESP R1,MON R1,CAN R1,EUR R1,AUT R1,GBR R1,HUN R1,GER R1,BEL R1,ITA R1,SIN R1,MAL R1,JPN R1,USA R1,MEX R1,BRA R1,ABU R1,Points
1,Mercedes,1,1,1,1,Ret,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,765
1,Mercedes,2,3,7,2,Ret,7,5,5,4,3,2,4,3,2,3,Ret,3,2,2,2,2,765
2,Red Bull Racing-TAG Heuer,4,4,3,11,1,2,4,7,2,2,3,2,2,5,2,1,2,3,3,3,4,468
2,Red Bull Racing-TAG Heuer,DNS,7,4,15,4,Ret,7,8,5,4,5,3,11,7,6,2,6,Ret,4,8,5,468
3,Ferrari,3,2,2,3,2,4,2,2,3,5,4,5,6,3,4,4,4,4,5,5,3,398
3,Ferrari,Ret,DNS,5,Ret,3,Ret,6,4,Ret,9,6,6,9,4,5,Ret,5,Ret,6,Ret,6,398
4,Force India-Mercedes,7,15,11,9,7,3,8,3,17†,6,10,7,4,8,8,6,7,8,7,4,7,173
4,Force India-Mercedes,13,16,15,Ret,Ret,6,10,9,19†,7,11,10,5,10,Ret,8,8,Ret,10,7,8,173
5,Williams-Mercedes,5,8,6,4,5,10,3,6,9,11,9,9,8,6,12,5,9,7,8,11,9,138
5,Williams-Mercedes,8,9,10,5,8,12,Ret,10,20†,14,18,Ret,10,9,Ret,13,10,16,9,Ret,Ret,138
6,McLaren-Honda,14,10,12,6,9,5,11,11,6,12,7,8,7,12,7,7,16,5,12,10,10,76
6,McLaren-Honda,Ret,Ret,13,10,Ret,9,Ret,Ret,18†,13,Ret,12,Ret,14,Ret,9,18,9,13,16,Ret,76
7,Toro Rosso-Ferrari,9,6,8,12,6,8,9,Ret,8,8,8,14,14,15,9,11,13,6,16,6,Ret,63
7,Toro Rosso-Ferrari,10,Ret,9,Ret,10,Ret,12,Ret,Ret,10,16,15,Ret,Ret,14,14,17,11,18,13,Ret,63
8,Haas-Ferrari,6,5,14,8,11,11,13,13,7,16,13,11,12,11,11,Ret,11,10,19,Ret,11,29
8,Haas-Ferrari,Ret,Ret,19,17,Ret,13,14,16,11,Ret,14,13,13,13,DNS,Ret,20,Ret,20,DNS,12,29
9,Renault,11,11,17,7,13,Ret,16,14,12,17†,12,16,15,17,10,10,12,12,14,14,17,8
9,Renault,12,DNS,22,13,15,Ret,Ret,15,14,Ret,15,19,Ret,Ret,15,Ret,14,13,17,Ret,Ret,8
10,Sauber-Ferrari,15,12,16,14,12,Ret,15,12,13,15,17,18,17,16,13,12,15,14,11,9,15,2
10,Sauber-Ferrari,Ret,14,20,16,14,Ret,18,17,15,Ret,20,Ret,Ret,Ret,17,Ret,19,15,15,Ret,16,2
11,MRT-Mercedes,16,13,18,18,16,14,17,18,10,Ret,19,17,16,18,16,15,21,17,21,12,13,1
11,MRT-Mercedes,Ret,17,21,Ret,17,15,19,Ret,16,Ret,21,20,Ret,Ret,18,16,22,18,Ret,15,14,1
