Pos,Team,AUS R1,BHR R1,CHN R1,AZE R1,ESP R1,MON R1,CAN R1,FRA R1,AUT R1,GBR R1,GER R1,HUN R1,BEL R1,ITA R1,SIN R1,RUS R1,JPN R1,MEX R1,USA R1,BRA R1,ABU R1,Points
1,Mercedes,1F,1,1,1P,1F,1P,1,1P,3,1F,9P,1,2,2,4,1F,1,1,1P,7,1PF,739
1,Mercedes,2P,2,2P,2,2P,3,4F,2,5,2P,Ret,8,3,3F,5,2,3F,3,2,RetF,4,739
2,Ferrari,4,3PF,3,3,4,2,2P,3,2P,3,2,3,1P,1P,1,3P,2P,2,4F,17†,3,504
2,Ferrari,5,5,5,5F,5,Ret,3,5F,4,16,Ret,4,4F,13,2P,Ret,6,4PF,Ret,18†,5,504
3,Red Bull Racing-Honda,3,4,4,4,3,4,5,4,1F,4,1F,2PF,5,6,3,4,4,5,3,1P,2,417
3,Red Bull Racing-Honda,11,8,6F,Ret,6,5F,8,10,7,5,14†,6,Ret,8,6,5,Ret,6,5,14,6,417
4,McLaren-Renault,12,6,14,7,8,6,11,6,6,6,5,5,11†,10,7,6,5,13,7,3,8,145
4,McLaren-Renault,Ret,19†,18†,8,Ret,11,Ret,9,8,11,Ret,9,Ret,Ret,12,8,11,Ret,8,8,10,145
5,Renault,7,17†,7,14,12,9,6,8,12,7,Ret,12,8,4,9,10,DSQ,8,6,6,11,91
5,Renault,Ret,18†,Ret,Ret,13,13,7,11,13,10,Ret,14,14,5,14,Ret,DSQ,10,9,15,12,91
6,Scuderia Toro Rosso-Honda,10,9,10,11,9,7,10,14,15,9,3,10,7,11,8,12,7,9,12,2,9,85
6,Scuderia Toro Rosso-Honda,14,12,Ret,Ret,11,8,Ret,15,17,12,6,15,9,Ret,15,14,10,11,16†,10,18,85
7,Racing Point-BWTMercedes,9,10,8,6,15,12,9,12,11,13,4,11,6,7,13,7,8,7,10,9,7,73
7,Racing Point-BWTMercedes,13,14,12,9,Ret,16,12,13,14,17,Ret,17,10,12,Ret,11,9,12,13,19†,Ret,73
8,Alfa Romeo Racing-Ferrari,8,7,9,10,14,17,13,7,9,8,12,7,16,9,10,13,12,14,11,4,13,57
8,Alfa Romeo Racing-Ferrari,15,11,15,12,16,19,15,16,10,Ret,13,18,18†,15,Ret,15,14,Ret,14,5,16,57
9,Haas-Ferrari,6,13,11,13,7,10,14,17,16,Ret,7,13,12,16,11,9,13,15,15,11,14,28
9,Haas-Ferrari,Ret,Ret,13,Ret,10,14,17,Ret,19,Ret,8,Ret,13,Ret,17F,Ret,15,17,18†,13,15,28
10,Williams-Mercedes,16,15,16,15,17,15,16,18,18,14,10,16,15,14,16,Ret,16,16,17,12,17,1
10,Williams-Mercedes,17,16,17,16,18,18,18,19,20,15,11,19,17,17,Ret,Ret,17,18,Ret,16,19,1
