Pos,Driver,AUT R1,STY R1,HUN R1,GBR R1,70A R1,ESP R1,BEL R1,ITA R1,TUS R1,RUS R1,EIF R1,POR R1,EMI R1,TUR R1,BHR R1,SKH R1,ABU R1,Points
1,Lewis Hamilton,4,1,1,1,2,1,1,7,1,3,1,1,1,1,1,,3,347
2,Valtteri Bottas,1,2,3,11,3,3,2,5,2,1,Ret,2,2,14,8,8,2,223
3,Max Verstappen,Ret,3,2,2,1,2,3,Ret,Ret,2,2,3,Ret,6,2,Ret,1,214
4,Sergio Pérez,6,6,7,WD,,5,10,10,5,4,4,7,6,2,18†,1,Ret,125
5,Daniel Ricciardo,Ret,8,8,4,14,11,4,6,4,5,3,9,3,10,7,5,7,119
6,Carlos Sainz Jr.,5,9,9,13,13,6,DNS,2,Ret,Ret,5,6,7,5,5,4,6,105
7,Alexander Albon,13†,4,5,8,5,8,6,15,3,10,Ret,12,15,7,3,6,4,105
8,Charles Leclerc,2,Ret,11,3,4,Ret,14,Ret,8,6,7,4,5,4,10,Ret,13,98
9,Lando Norris,3,5,13,5,9,10,7,4,6,15,Ret,13,8,8,4,10,5,97
10,Pierre Gasly,7,15,Ret,7,11,9,8,1,Ret,9,6,5,Ret,13,6,11,8,75
11,Lance Stroll,Ret,7,4,9,6,4,9,3,Ret,Ret,WD,Ret,13,9,Ret,3,10,75
12,Esteban Ocon,8,Ret,14,6,8,13,5,8,Ret,7,Ret,8,Ret,11,9,2,9,62
13,Sebastian Vettel,10,Ret,6,10,12,7,13,Ret,10,13,11,10,12,3,13,12,14,33
14,Daniil Kvyat,12†,10,12,Ret,10,12,11,9,7,8,15,19,4,12,11,7,11,32
15,Nico Hülkenberg,,,,DNS,7,,,,,,8,,,,,,,10
16,Kimi Räikkönen,Ret,11,15,17,15,14,12,13,9,14,12,11,9,15,15,14,12,4
17,Antonio Giovinazzi,9,14,17,14,17,16,Ret,16,Ret,11,10,15,10,Ret,16,13,16,4
18,George Russell,Ret,16,18,12,18,17,Ret,14,11,18,Ret,14,Ret,16,12,9,15,3
19,Romain Grosjean,Ret,13,16,16,16,19,15,12,12,17,9,17,14,Ret,Ret,,,2
20,Kevin Magnussen,Ret,12,10,Ret,Ret,15,17,Ret,Ret,12,13,16,Ret,17†,17,15,18,1
21,Nicholas Latifi,11,17,19,15,19,18,16,11,Ret,16,14,18,11,Ret,14,Ret,17,0
22,Jack Aitken,,,,,,,,,,,,,,,,16,,0
23,Pietro Fittipaldi,,,,,,,,,,,,,,,,17,19,0
