Pos,Team,AUT R1,STY R1,HUN R1,GBR R1,70A R1,ESP R1,BEL R1,ITA R1,TUS R1,RUS R1,EIF R1,POR R1,EMI R1,TUR R1,BHR R1,SKH R1,ABU R1,Points
1,Mercedes,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,8,2,573
1,Mercedes,4,2,3,11,3,3,2,7,2,3,Ret,2,2,14,8,9,3,573
2,Red Bull Racing - Honda,13,3,2,2,1,2,3,15,3,2,2,3,15,6,2,6,1,319
2,Red Bull Racing - Honda,Ret,4,5,8,5,8,6,Ret,Ret,10,Ret,12,Ret,7,3,Ret,4,319
3,McLaren - Renault,3,5,9,5,9,6,7,2,6,15,5,6,7,5,4,4,5,202
3,McLaren - Renault,5,9,13,13,13,10,DNS,4,Ret,Ret,Ret,13,8,8,5,10,6,202
4,Racing Point - BWT Mercedes,6,6,4,9,6,4,9,3,5,4,4,7,6,2,18,1,10,195
4,Racing Point - BWT Mercedes,Ret,7,7,DNS,7,5,10,10,Ret,Ret,8,Ret,13,9,Ret,3,Ret,195
5,Renault,8,8,8,4,8,11,4,6,4,5,3,8,3,10,7,2,7,181
5,Renault,Ret,Ret,14,6,14,13,5,8,Ret,7,Ret,9,Ret,11,9,5,9,181
6,Ferrari,2,Ret,6,3,4,7,13,Ret,8,6,7,4,5,3,10,12,13,131
6,Ferrari,10,Ret,11,10,12,Ret,14,Ret,10,13,11,10,12,4,13,Ret,14,131
7,AlphaTauri - Honda,7,10,12,7,10,9,8,1,7,8,6,5,4,12,6,7,8,107
7,AlphaTauri - Honda,12,15,Ret,Ret,11,12,11,9,Ret,9,15,19,Ret,13,11,11,11,107
8,Alfa Romeo Racing - Ferrari,9,11,15,14,15,14,12,13,9,11,10,11,9,15,15,13,12,8
8,Alfa Romeo Racing - Ferrari,Ret,14,17,17,17,16,Ret,16,Ret,14,12,15,10,Ret,16,14,16,8
9,Haas - Ferrari,Ret,12,10,16,16,15,15,12,12,12,9,16,14,17,17,15,18,3
9,Haas - Ferrari,Ret,13,16,Ret,Ret,19,17,Ret,Ret,17,13,17,Ret,Ret,Ret,17,19,3
10,Williams - Mercedes,11,16,18,12,18,17,16,11,11,16,14,14,11,16,12,16,15,0
10,Williams - Mercedes,Ret,17,19,15,19,18,Ret,14,Ret,18,Ret,18,Ret,Ret,14,Ret,17,0
