Pos,Driver,BHR R1,EMI R1,POR R1,ESP R1,MON R1,AZE R1,FRA R1,STY R1,AUT R1,GBR R1,HUN R1,BEL R1,NED R1,ITA R1,RUS R1,TUR R1,USA R1,MXC R1,SAP R1,QAT R1,SAU R1,ABU R1,Points
1,Max Verstappen,2,1,2,2,1,18†,1,1,1,Ret,9,1,1,Ret,2,2,1,1,2,2,2,1,395.5
2,Lewis Hamilton,1,2,1,1,7,15,2,2,4,1,2,3,2,Ret,1,5,2,2,1,1,1,2,387.5
3,Valtteri Bottas,3,Ret,3,3,Ret,12,4,3,2,3,Ret,12,3,3,5,1,6,15,3,Ret,3,6,226
4,Sergio Pérez,5,11,4,5,4,1,3,4,6,16,Ret,19,8,5,9,3,3,3,4,4,Ret,15†,190
5,Carlos Sainz Jr.,8,5,11,7,2,8,11,6,5,6,3,10,7,6,3,8,7,6,6,7,8,3,164.5
6,Lando Norris,4,3,5,8,3,5,5,5,3,4,Ret,14,10,2,7,7,8,10,10,9,10,7,160
7,Charles Leclerc,6,4,6,4,DNS,4,16,7,8,2,Ret,8,5,4,15,4,4,5,5,8,7,10,159
8,Daniel Ricciardo,7,6,9,6,12,9,6,13,7,5,11,4,11,1,4,13,5,12,Ret,12,5,12,115
9,Pierre Gasly,17†,7,10,10,6,3,7,Ret,9,11,5,6,4,Ret,13,6,Ret,4,7,11,6,5,110
10,Fernando Alonso,Ret,10,8,17,13,6,8,9,10,7,4,11,6,8,6,16,Ret,9,9,3,13,8,81
11,Esteban Ocon,13,9,7,9,9,Ret,14,14,Ret,9,1,7,9,10,14,10,Ret,13,8,5,4,9,74
12,Sebastian Vettel,15,15†,13,13,5,2,9,12,17†,Ret,DSQ,5,13,12,12,18,10,7,11,10,Ret,11,43
13,Lance Stroll,10,8,14,11,8,Ret,10,8,13,8,Ret,20,12,7,11,9,12,14,Ret,6,11,13,34
14,Yuki Tsunoda,9,12,15,Ret,16,7,13,10,12,10,6,15,Ret,DNS,17,14,9,Ret,15,13,14,4,32
15,George Russell,14,Ret,16,14,14,17†,12,Ret,11,12,8,2,17†,9,10,15,14,16,13,17,Ret,Ret,16
16,Kimi Räikkönen,11,13,Ret,12,11,10,17,11,15,15,10,18,WD,,8,12,13,8,12,14,15,Ret,10
17,Nicholas Latifi,18†,Ret,18,16,15,16,18,17,16,14,7,9,16,11,19†,17,15,17,16,Ret,12,Ret,7
18,Antonio Giovinazzi,12,14,12,15,10,11,15,15,14,13,13,13,14,13,16,11,11,11,14,15,9,Ret,3
19,Mick Schumacher,16,16,17,18,18,13,19,16,18,18,12,16,18,15,Ret,19,16,Ret,18,16,Ret,14,0
20,Robert Kubica,,,,,,,,,,,,,15,14,,,,,,,,,0
21,Nikita Mazepin,Ret,17,19,19,17,14,20,18,19,17,Ret,17,Ret,Ret,18,20,17,18,17,18,Ret,WD,0
