Pos,Team,BHR R1,EMI R1,POR R1,ESP R1,MON R1,AZE R1,FRA R1,STY R1,AUT R1,GBR R1,HUN R1,BEL* R1,NED R1,ITA R1,RUS R1,TUR R1,USA R1,MXC R1,SAP R1,QAT R1,SAU R1,ABU R1,Points
1,Mercedes,1,2,1,1,7,12,2,2,2,1,2,3,2,3,1,1,2,2,1,1,1,2,613.5
1,Mercedes,3,Ret,3,3,Ret,15,4,3,4,3,Ret,12,3,Ret,5,5,6,15,3,Ret,3,6,613.5
2,Red Bull Racing - Honda,2,1,2,2,1,1,1,1,1,16,9,1,1,5,2,2,1,1,2,2,2,1,585.5
2,Red Bull Racing - Honda,5,11,4,5,4,18,3,4,6,Ret,Ret,19,8,Ret,9,3,3,3,4,4,Ret,15,585.5
3,Ferrari,6,4,6,4,2,4,11,6,5,2,3,8,5,4,3,4,4,5,5,7,7,3,323.5
3,Ferrari,8,5,11,7,DNS,8,16,7,8,6,Ret,10,7,6,15,8,7,6,6,8,8,10,323.5
4,McLaren - Mercedes,4,3,5,6,3,5,5,5,3,4,11,4,10,1,4,7,5,10,10,9,5,7,275
4,McLaren - Mercedes,7,6,9,8,12,9,6,13,7,5,Ret,14,11,2,7,13,8,12,Ret,12,10,12,275
5,Alpine - Renault,13,9,7,9,9,6,8,9,10,7,1,7,6,8,6,10,Ret,9,8,3,4,8,155
5,Alpine - Renault,Ret,10,8,17,13,Ret,14,14,Ret,9,4,11,9,10,14,16,Ret,13,9,5,13,9,155
6,AlphaTauri - Honda,9,7,10,10,6,3,7,10,9,10,5,6,4,Ret,13,6,9,4,7,11,6,4,142
6,AlphaTauri - Honda,17,12,15,Ret,16,7,13,Ret,12,11,6,15,Ret,DNS,17,14,Ret,Ret,15,13,14,5,142
7,Aston Martin - Mercedes,10,8,13,11,5,2,9,8,13,8,Ret,5,12,7,11,9,10,7,11,6,11,11,77
7,Aston Martin - Mercedes,15,15,14,13,8,Ret,10,12,17,Ret,DSQ,20,13,12,12,18,12,14,Ret,10,Ret,13,77
8,Williams - Mercedes,14,Ret,16,14,14,16,12,17,11,12,7,2,16,9,10,15,14,16,13,17,12,Ret,23
8,Williams - Mercedes,18,Ret,18,16,15,17,18,Ret,16,14,8,9,17,11,19,17,15,17,16,Ret,Ret,Ret,23
9,Alfa Romeo Racing - Ferrari,11,13,12,12,10,10,15,11,14,13,10,13,14,13,8,11,11,8,12,14,9,Ret,13
9,Alfa Romeo Racing - Ferrari,12,14,Ret,15,11,11,17,15,15,15,13,18,15,14,16,12,13,11,14,15,15,Ret,13
10,Haas - Ferrari,16,16,17,18,17,13,19,16,18,17,12,16,18,15,18,19,16,18,17,16,Ret,14,0
10,Haas - Ferrari,Ret,17,19,19,18,14,20,18,19,18,Ret,17,Ret,Ret,Ret,20,17,Ret,18,18,Ret,WD,0
