Pos.,No.,Driver,Team,Q1,Q2,Q3,SQgrid
1,33,Max Verstappen,Red Bull Racing-Honda,1:09.329,1:08.499,1:08.372,1
2,77,Valtteri Bottas,Mercedes,1:09.040,1:08.426,1:08.469,2
3,11,Sergio Pérez,Red Bull Racing-Honda,1:09.172,1:08.973,1:08.483,3
4,10,Pierre Gasly,AlphaTauri-Honda,1:09.347,1:08.903,1:08.777,4
5,55,Carlos Sainz Jr.,Ferrari,1:09.046,1:09.031,1:08.826,5
6,16,Charles Leclerc,Ferrari,1:09.155,1:08.859,1:08.960,6
7,4,Lando Norris,McLaren-Mercedes,1:09.365,1:09.030,1:08.980,7
8,3,Daniel Ricciardo,McLaren-Mercedes,1:09.374,1:09.093,1:09.039,8
9,14,Fernando Alonso,Alpine-Renault,1:09.391,1:09.137,1:09.113,9
10,31,Esteban Ocon,Alpine-Renault,1:09.430,1:09.189,N/A,10
11,5,Sebastian Vettel,Aston Martin-Mercedes,1:09.451,1:09.399,N/A,11
12,22,Yuki Tsunoda,AlphaTauri-Honda,1:09.350,1:09.483,N/A,12
13,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:09.598,1:09.503,N/A,13
14,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:09.342,1:10.227,N/A,14
15,18,Lance Stroll,Aston Martin-Mercedes,1:09.663,N/A,N/A,15
16,6,Nicholas Latifi,Williams-Mercedes,1:09.897,N/A,N/A,16
17,63,George Russell,Williams-Mercedes,1:09.953,N/A,N/A,17
18,47,Mick Schumacher,Haas-Ferrari,1:10.329,N/A,N/A,18
19,9,Nikita Mazepin,Haas-Ferrari,1:10.589,N/A,N/A,19
DSQ,44,Lewis Hamilton,Mercedes,1:08.733,1:08.068,1:07.934,20
