Pos,Driver,BHR R1,SAU R1,AUS R1,EMI R1,MIA R1,ESP R1,MON R1,AZE R1,CAN R1,GBR R1,AUT R1,FRA R1,HUN R1,BEL R1,NED R1,ITA R1,SIN R1,JPN R1,USA R1,MXC R1,SAP R1,ABU R1,Points
1,Max Verstappen,19,1,Ret,1,1,1,3,1,1,7,2,1,1,1,1,1,7,1,1,1,6,1,454
2,Charles Leclerc,1,2,1,6,2,Ret,4,Ret,5,4,1,Ret,6,6,3,2,2,3,3,6,4,2,308
3,Sergio Pérez,18,4,2,2,4,2,1,2,Ret,2,Ret,4,5,2,5,6,1,2,4,3,7,3,305
4,George Russell,4,5,3,4,5,3,5,3,4,Ret,4,3,3,4,2,3,14,8,5,4,1,5,275
5,Carlos Sainz Jr.,2,3,Ret,Ret,3,4,2,Ret,2,1,Ret,5,4,3,8,4,3,Ret,Ret,5,3,4,246
6,Lewis Hamilton,3,10,4,13,6,5,8,4,3,3,3,2,2,Ret,4,5,9,5,2,2,2,18,240
7,Lando Norris,15,7,5,3,Ret,8,6,9,15,6,7,7,7,12,7,7,4,10,6,9,Ret,6,122
8,Esteban Ocon,7,6,7,14,8,7,12,10,6,Ret,5,8,9,7,9,11,Ret,4,11,8,8,7,92
9,Fernando Alonso,9,Ret,17,Ret,11,9,7,7,9,5,10,6,8,5,6,Ret,Ret,7,7,19,5,Ret,81
10,Valtteri Bottas,6,Ret,8,5,7,6,9,11,7,Ret,11,14,20,Ret,Ret,13,11,15,Ret,10,9,15,49
11,Daniel Ricciardo,14,Ret,6,18,13,12,13,8,11,13,9,9,15,15,17,Ret,5,11,16,7,Ret,9,37
12,Sebastian Vettel,,,Ret,8,17,11,10,6,12,9,17,11,10,8,14,Ret,8,6,8,14,11,10,37
13,Kevin Magnussen,5,9,14,9,16,17,Ret,Ret,17,10,8,Ret,16,16,15,16,12,14,9,17,Ret,17,25
14,Pierre Gasly,Ret,8,9,12,Ret,13,11,5,14,Ret,15,12,12,9,11,8,10,18,14,11,14,14,23
15,Lance Stroll,12,13,12,10,10,15,14,16,10,11,13,10,11,11,10,Ret,6,12,Ret,15,10,8,18
16,Mick Schumacher,11,WD,13,17,15,14,Ret,14,Ret,8,6,15,14,17,13,12,13,17,15,16,13,16,12
17,Yuki Tsunoda,8,DNS,15,7,12,10,17,13,Ret,14,16,Ret,19,13,Ret,14,Ret,13,10,Ret,17,11,12
18,Zhou Guanyu,10,11,11,15,Ret,Ret,16,Ret,8,Ret,14,16,13,14,16,10,Ret,16,12,13,12,12,6
19,Alexander Albon,13,14,10,11,9,18,Ret,12,13,Ret,12,13,17,10,12,WD,Ret,Ret,13,12,15,13,4
20,Nicholas Latifi,16,Ret,16,16,14,16,15,15,16,12,Ret,Ret,18,18,18,15,Ret,9,17,18,16,19,2
21,Nyck de Vries,,,,,,,,,,,,,,,,9,,,,,,,2
22,Nico Hülkenberg,17,12,,,,,,,,,,,,,,,,,,,,,0
