Pos.,No.,Driver,Team,Q1,Q2,Q3,Sprintgrid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:05.852,1:05.374,1:04.984,1
2,16,Charles Leclerc,Ferrari,1:05.419,1:05.287,1:05.013,2
3,55,Carlos Sainz Jr.,Ferrari,1:05.660,1:05.576,1:05.066,3
4,63,George Russell,Mercedes,1:06.235,1:05.697,1:05.431,4
5,31,Esteban Ocon,Alpine-Renault,1:06.468,1:05.993,1:05.726,5
6,20,Kevin Magnussen,Haas-Ferrari,1:06.366,1:05.894,1:05.879,6
7,47,Mick Schumacher,Haas-Ferrari,1:06.405,1:06.151,1:06.011,7
8,14,Fernando Alonso,Alpine-Renault,1:06.016,1:06.082,1:06.103,8
9,44,Lewis Hamilton,Mercedes,1:06.079,1:05.475,1:13.151,9
10,10,Pierre Gasly,AlphaTauri-RBPT,1:06.589,1:06.160,N/A,10
11,23,Alexander Albon,Williams-Mercedes,1:06.516,1:06.230,N/A,11
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:06.442,1:06.319,N/A,12
13,11,Sergio Pérez,Red Bull Racing-RBPT,1:06.143,1:06.458,No time,13
14,22,Yuki Tsunoda,AlphaTauri-RBPT,1:06.463,1:06.851,N/A,14
15,4,Lando Norris,McLaren-Mercedes,1:06.330,1:25.847,N/A,15
16,3,Daniel Ricciardo,McLaren-Mercedes,1:06.613,N/A,N/A,16
17,18,Lance Stroll,Aston MartinAramco-Mercedes,1:06.847,N/A,N/A,17
18,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:06.901,N/A,N/A,18
19,6,Nicholas Latifi,Williams-Mercedes,1:07.003,N/A,N/A,19
20,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:07.083,N/A,N/A,20
