Pos,Driver,BHR R1,SAU R1,AUS R1,AZE R1,MIA R1,MON R1,ESP R1,CAN R1,AUT R1,GBR R1,HUN R1,BEL R1,NED R1,ITA R1,SIN R1,JPN R1,QAT R1,USA R1,MXC R1,SAP R1,LVG R1,ABU R1,Points
1,Max Verstappen,1P,2F,1P,23,1F,1P,1PF,1P,1P 1 F,1PF,1F,11,1P,1,5,1PF,1P 2 F,11,1,1P 1,1,1PF,575
2,Sergio Pérez,2,1P,5F,11,2P,16,4,6F,32,6,3,2,4,2,8,Ret,10,45,Ret,43,3,4,285
3,Lewis Hamilton,5,5,2,67,6,4F,2,3,8,3,4P,47 F,6,6,3F,5,Ret5,DSQ2,2F,87,7,9,234
4,Fernando Alonso,3,3,3,46,3,2,7,2,55,7,9,5,2F,9,15,8,68,Ret,Ret,3,9,7,206
5,Charles Leclerc,Ret,7,Ret,3P 2,7,6,11,4,2,9,7,3P 5,Ret,4,4,4,5,DSQP 3,3P,DNS5,2P,2,206
6,Lando Norris,17,17,6,9,17,9,17,13,4,2,2,76,7,8,2,2,33,24,5,22 F,Ret,5,205
7,Carlos Sainz Jr.,4,6,12,55,5,8,5,5,63,10,8,Ret4,5,3P,1P,6,DNS6,36,4,68,6,18†,200
8,George Russell,7,4,Ret,84 F,4,5,3,Ret,78,5,6,68,17,5,16†,7,44,58,6,Ret4,8,3,175
9,Oscar Piastri,Ret,15,8,11,19,10,13,11,16,4,5,Ret2,9,12F,7,3,21,Ret,8,14,10F,6,97
10,Lance Stroll,6,Ret,4,78,12,Ret,6,9,94,14,10,9,11,16,WD,Ret,11,7,17†,5,5,10,74
11,Pierre Gasly,9,9,13†,14,8,7,10,12,10,18†,Ret,113,3,15,6,10,12,67,11,7,11,13,62
12,Esteban Ocon,Ret,8,14†,15,9,3,8,8,147,Ret,Ret,8,10,Ret,Ret,9,7,Ret,10,10,4,12,58
13,Alexander Albon,10,Ret,Ret,12,14,14,16,7,11,8,11,14,8,7,11,Ret,137,9,9,Ret,12,14,27
14,Yuki Tsunoda,11,11,10,10,11,15,12,14,19,16,15,10,15,DNS,Ret,12,15,8F,12,96,18†,8,17
15,Valtteri Bottas,8,18,11,18,13,11,19,10,15,12,12,12,14,10,Ret,Ret,8,12,15,Ret,17,19,10
16,Nico Hülkenberg,15,12,7,17,15,17,15,15,Ret6,13,14,18,12,17,13,14,16,11,13,12,19†,15,9
17,Daniel Ricciardo,,,,,,,,,,,13,16,WD,,,,,15,7,13,14,11,6
18,Zhou Guanyu,16F,13,9,Ret,16,13,9,16,12,15,16,13,Ret,14,12,13,9,13,14,Ret,15,17,6
19,Kevin Magnussen,13,10,17†,13,10,19†,18,17,18,Ret,17,15,16,18,10,15,14,14,Ret,Ret,13,20,3
20,Liam Lawson,,,,,,,,,,,,,13,11,9,11,17,,,,,,2
21,Logan Sargeant,12,16,16†,16,20,18,20,Ret,13,11,18†,17,Ret,13,14,Ret,Ret,10,16†,11,16,16,1
22,Nyck de Vries,14,14,15†,Ret,18,12,14,18,17,17,,,,,,,,,,,,,0
