Pos,Team,BHR R1,SAU R1,AUS R1,JPN R1,CHN R1,MIA R1,EMI R1,MON R1,CAN R1,ESP R1,AUT R1,GBR R1,HUN R1,BEL R1,NED R1,ITA R1,AZE R1,SIN R1,USA R1,MXC R1,SAP R1,LVG R1,QAT R1,ABU R1,Points
1,McLaren-Mercedes,6,4,3,5,2,1,2,2,2,2,2,3,1,2,1,2,1,1,4,2,6,6,3,1,666
1,McLaren-Mercedes,8,8,4,8,8,13,4,4,5,7,20†,4,2,5,4,3,4,3,5,8,8,7,10,10,666
2,Ferrari,3,3,1,3,4,3,3,1,Ret,5,3,5,4,3,3,1,2,5,1,1,5,3,2,2,652
2,Ferrari,4,7,2,4,5,5,5,3,Ret,6,11,14,6,6,5,4,18†,7,2,3,Ret,4,6,3,652
3,Red Bull Racing-Honda RBPT,1,1,5,1,1,2,1,6,1,1,5,2,5,4,2,6,5,2,3,6,1,5,1,6,589
3,Red Bull Racing-Honda RBPT,2,2,Ret,2,3,4,8,Ret,Ret,8,7,17,7,7,6,8,17†,10,7,17,11,10,Ret,Ret,589
4,Mercedes,5,6,17†,7,6,6,6,5,3,3,1,1,3,1,7,5,3,4,6,4,4,1,4,4,468
4,Mercedes,7,9,Ret,9,9,8,7,7,4,4,4,Ret,8,DSQ,8,7,9,6,Ret,5,10,2,12,5,468
5,Aston Martin Aramco-Mercedes,9,5,6,6,7,9,9,11,6,12,13,7,10,8,10,11,6,8,13,11,14,11,7,9,94
5,Aston Martin Aramco-Mercedes,10,Ret,8,12,15,17,19,14,7,14,18,8,11,11,13,19,19†,14,15,Ret,DNS,15,Ret,14,94
6,Alpine-Renault,17,13,13,15,11,10,14,10,9,9,10,16,18,9,9,14,12,13,12,10,2,17,5,7,65
6,Alpine-Renault,18,Ret,16,16,13,12,16,Ret,10,10,12,DNS,Ret,13,15,15,15,17,18,13,3,Ret,Ret,15,65
7,Haas-Ferrari,12,10,9,11,10,11,11,Ret,11,11,6,6,13,14,11,10,10,9,8,7,12,8,9,8,58
7,Haas-Ferrari,16,12,10,13,16,19,12,Ret,12,17,8,12,15,18,18,17,11,19†,11,9,DSQ,12,Ret,16,58
8,RB-Honda RBPT,13,15,7,10,Ret,7,10,8,8,15,9,10,9,10,12,13,13,12,9,16,7,9,13,12,46
8,RB-Honda RBPT,14,16,12,Ret,Ret,15,13,12,14,19,14,13,12,16,17,Ret,Ret,18,14,Ret,9,16,14,17†,46
9,Williams-Mercedes,15,11,11,17,12,18,17,9,Ret,18,15,9,14,12,14,9,7,11,10,12,Ret,14,15,11,17
9,Williams-Mercedes,20,14,WD,Ret,17,Ret,Ret,15,Ret,20,19,11,17,17,16,12,8,Ret,16,Ret,DNS,Ret,Ret,Ret,17
10,Kick Sauber-Ferrari,11,17,14,14,14,14,15,13,13,13,16,15,16,15,19,16,14,15,17,14,13,13,8,13,4
10,Kick Sauber-Ferrari,19,18,15,Ret,Ret,16,18,16,15,16,17,18,19,Ret,20,18,16,16,19,15,15,18,11,Ret,4
