Pos,Driver,AUS R1,CHN R1,JPN R1,BHR R1,SAU R1,MIA R1,EMI R1,MON R1,ESP R1,CAN R1,AUT R1,GBR R1,BEL R1,HUN R1,NED R1,ITA R1,AZE R1,SIN R1,USA R1,MXC R1,SAP R1,LVG R1,QAT R1,ABU R1,Points
1,Oscar Piastri,9,12 P,3,1PF,1,12,3P,3,1PF,4,2F,2F,,,,,,,,,,,,,234
2,Lando Norris,1PF,28 F,2,3,4F,21 F,2,1PF,2,18†,1P,1,,,,,,,,,,,,,226
3,Max Verstappen,2,43,1P,6,2P,4P,1F,4,10,2,Ret,5P,,,,,,,,,,,,,165
4,George Russell,3,34,5,2,5,34,7,11,4,1PF,5,10,,,,,,,,,,,,,147
5,Charles Leclerc,8,DSQ5,4,4,3,7,6,2,3,5,3,14,,,,,,,,,,,,,119
6,Lewis Hamilton,10,DSQ1,7,5,7,83,4,5,6,6,4,4,,,,,,,,,,,,,103
7,Andrea Kimi Antonelli,4,67,6F,11,6,67,Ret,18,Ret,3,Ret,Ret,,,,,,,,,,,,,63
8,Alexander Albon,5,7,9,12,9,5,5,9,Ret,Ret,Ret,8,,,,,,,,,,,,,46
9,Nico Hülkenberg,7,15,16,DSQ,15,14,12,16,5,8,9,3,,,,,,,,,,,,,37
10,Esteban Ocon,13,5,18,8,14,12,Ret,7,16,9,10,13,,,,,,,,,,,,,23
11,Isack Hadjar,DNS,11,8,13,10,11,9,6,7,16,12,Ret,,,,,,,,,,,,,21
12,Lance Stroll,6,9,20,17,16,165,15,15,WD,17,14,7,,,,,,,,,,,,,20
13,Pierre Gasly,11,DSQ,13,7,Ret,138,13,Ret,8,15,13,6,,,,,,,,,,,,,19
14,Fernando Alonso,Ret,Ret,11,15,11,15,11,Ret,9,7,7,9,,,,,,,,,,,,,16
15,Carlos Sainz Jr.,Ret,10,14,Ret,8,9,8,10,14,10,DNS,12,,,,,,,,,,,,,13
16,Liam Lawson,Ret,12,17,16,12,Ret,14,8,11,Ret,6,Ret,,,,,,,,,,,,,12
17,Yuki Tsunoda,12,166,12,9,Ret,106,10,17,13,12,16,15,,,,,,,,,,,,,10
18,Oliver Bearman,14,8,10,10,13,Ret,17,12,17,11,11,11,,,,,,,,,,,,,6
19,Gabriel Bortoleto,Ret,14,19,18,18,Ret,18,14,12,14,8,Ret,,,,,,,,,,,,,4
20,Franco Colapinto,,,,,,,16,13,15,13,15,DNS,,,,,,,,,,,,,0
21,Jack Doohan,Ret,13,15,14,17,Ret,,,,,,,,,,,,,,,,,,,0
