Pos,No,Driver,Team,Time,Gap,Grid
1,7,Dani Clos,Racing Engineering,1:37.572,,1
2,4,Sergio Pérez,Barwa Addax Team,1:37.605,+0.033,2
3,15,Pastor Maldonado,Rapax,1:38.512,+0.940,3
4,20,Alberto Valerio,Scuderia Coloni,1:38.901,+1.329,4
5,19,Fabio Leimer,Ocean Racing Technology,1:39.072,+1.500,5
6,1,Jules Bianchi,ART Grand Prix,1:39.146,+1.574,6
7,10,Davide Valsecchi,iSport International,1:39.255,+1.683,12
8,11,Jérôme d'Ambrosio,DAMS,1:39.363,+1.791,7
9,8,Christian Vietoris,Racing Engineering,1:39.413,+1.841,8
10,14,Luiz Razia,Rapax,1:39.544,+1.972,9
11,2,Sam Bird,ART Grand Prix,1:39.638,+2.066,10
12,3,Giedo van der Garde,Barwa Addax Team,1:39.812,+2.240,11
13,6,Marcus Ericsson,Super Nova Racing,1:39.826,+2.254,13
14,12,Ho-Pin Tung,DAMS,1:39.926,+2.354,14
15,25,Adrian Zaugg,Trident Racing,1:40.237,+2.665,15
16,18,Max Chilton,Ocean Racing Technology,1:40.495,+2.923,16
17,27,Giacomo Ricci,DPR,1:40.520,+2.948,17
18,16,Charles Pic,Arden International,1:40.767,+3.195,18
19,17,Rodolfo González,Arden International,1:40.881,+3.309,19
20,5,Josef Král,Super Nova Racing,1:40.973,+3.401,20
21,21,Vladimir Arabadzhiev,Scuderia Coloni,1:41.733,+4.161,21
22,26,Michael Herck,DPR,1:42.039,+4.467,22
23,24,Johnny Cecotto Jr.,Trident Racing,1:43.090,+5.518,23
24,9,Oliver Turvey,iSport International,1:43.595,+6.023,24
