Pos,Driver,IST Race 1,IST Race 2,CAT Race 1,CAT Race 2,MON Race 1,MON Race 2,VAL Race 1,VAL Race 2,SIL Race 1,SIL Race 2,NÜR Race 1,NÜR Race 2,HUN Race 1,HUN Race 2,SPA Race 1,SPA Race 2,MNZ Race 1,MNZ Race 2,Points
1,Romain Grosjean,1,10,DSQ,9,4,3,1,Ret,4,1,3,1,1,3,3,4,3,21,89
2,Luca Filippi,Ret,14,Ret,Ret,3,4,Ret,15,13,12,1,3,6,Ret,4,1,1,5,54
3,Jules Bianchi,3,7,7,Ret,Ret,19,Ret,7,1,5,4,2,7,6,2,2,8,3,53
4,Charles Pic,7,4,1,19,8,1,Ret,Ret,11,10,2,DSQ,2,13,Ret,19,2,Ret,52
5,Giedo van der Garde,4,2,2,Ret,Ret,9,2,3,8,3,6,Ret,4,4,Ret,20,21,13,49
6,Sam Bird,2,3,3,5,Ret,13,5,12,5,6,8,7,17,5,12,5,4,4,45
7,Christian Vietoris,11,Ret,,,,,Ret,13,2,7,Ret,4,8,10,1,13,6,1,35
8,Davide Valsecchi,16,16,4,4,1,5,3,4,14,17,13,Ret,16,14,10,10,20,Ret,30
9,Dani Clos,8,15,6,2,Ret,18,4,5,6,2,7,Ret,10,Ret,6,6,13,7,30
10,Marcus Ericsson,9,8,5,3,Ret,Ret,Ret,11,3,4,5,16†,5,16,Ret,12,14,8,25
11,Stefano Coletti,5,1,10,20†,5,Ret,17,19†,7,22,Ret,Ret,21,1,Ret,DNS,,,22
12,Luiz Razia,6,18,Ret,Ret,Ret,20,6,2,17,14,Ret,14,3,7,Ret,Ret,10,9,19
13,Esteban Gutiérrez,Ret,11,Ret,12,12,DNS,7,1,10,8,12,Ret,Ret,2,14,7,9,6,15
14,Fabio Leimer,Ret,20,8,1,9,7,Ret,14,15,11,DSQ,8,11,11,Ret,Ret,7,2,15
15,Josef Král,13,6,9,21†,6,2,8,Ret,23,20,18,11,9,17,8,3,Ret,17,15
16,Álvaro Parente,,,11,7,2,16,Ret,18,9,9,20†,Ret,,,,,12,12,8
17,Adam Carroll,,,,,,,,,,,15,5,19,12,9,11,5,11,6
18,Fairuz Fauzy,12,5,14,6,15†,10,16,16,21,15,16,12,Ret,Ret,7,21,18,Ret,5
19,Brendon Hartley,,,,,,,,,,,,,,,5,9,22,20,4
20,Max Chilton,Ret,17,12,11,7,6,Ret,Ret,Ret,19,17,6,18,Ret,15,16,Ret,18,4
21,Michael Herck,14,12,Ret,Ret,13,15,10,6,24,18,11,10,12,Ret,16,15,Ret,DNS,1
22,Kevin Mirocha,15†,19,21†,16,10,Ret,12,8,DNS,DNS,Ret,13,14,8,,,,,0
23,Pål Varhaug,18,21,15,8,Ret,21,13,10,16,23,Ret,17,13,Ret,13,18,11,10,0
24,Johnny Cecotto Jr.,Ret,13,14,13,Ret,17,14,17,12,Ret,10,Ret,Ret,Ret,11,8,17,15,0
25,Oliver Turvey,,,,,14,8,,,,,,,,,,,,,0
26,Rodolfo González,Ret,22,20,10,Ret,14,15,Ret,18,13,9,15,Ret,9,Ret,17,19,16,0
27,Julián Leal,19,Ret,17,14,Ret,Ret,11,9,22,21,14,9,20,Ret,Ret,Ret,16,Ret,0
28,Jolyon Palmer,17,9,18,17,NC,11,9,Ret,20,16,19,Ret,22,18†,Ret,14,Ret,19,0
29,Davide Rigon,10,Ret,,,,,,,,,,,,,,,,,0
30,Kevin Ceccon,,,19,15,11,12,18,20†,19,Ret,,,,,,,,,0
