Team,No.,Driver name,Rounds
Rapax,1,Fabio Leimer,All
Rapax,2,Julián Leal,All
Barwa Addax Team,3,Charles Pic,All
Barwa Addax Team,4,Giedo van der Garde,All
LotusART,5,Jules Bianchi,All
LotusART,6,Esteban Gutiérrez,All
Racing Engineering,7,Dani Clos,All
Racing Engineering,8,Christian Vietoris,"1, 4–9"
Racing Engineering,8,Álvaro Parente,2–3
iSport International,9,Sam Bird,All
iSport International,10,Marcus Ericsson,All
DAMS,11,Romain Grosjean,All
DAMS,12,Pål Varhaug,All
Arden International,14,Josef Král,All
Arden International,15,Jolyon Palmer,All
Super Nova Racing,16,Fairuz Fauzy,All
Super Nova Racing,17,Luca Filippi,1–5
Super Nova Racing,17,Adam Carroll,6–9
Scuderia Coloni,18,Michael Herck,All
Scuderia Coloni,19,Davide Rigon,1
Scuderia Coloni,19,Kevin Ceccon,2–5
Scuderia Coloni,19,Luca Filippi,6–9
Trident Racing,20,Rodolfo González,All
Trident Racing,21,Stefano Coletti,1–8
Trident Racing,21,Stéphane Richelmi,9
Ocean Racing Technology,22,Kevin Mirocha,1–7
Ocean Racing Technology,22,Brendon Hartley,8–9
Ocean Racing Technology,23,Johnny Cecotto Jr.,All
Carlin,24,Max Chilton,All
Carlin,25,Mikhail Aleshin,"1–2, 7–8"
Carlin,25,Oliver Turvey,3
Carlin,25,Álvaro Parente,"4–6, 9"
Team AirAsia(1–3)Caterham Team AirAsia(4–9),26,Luiz Razia,All
Team AirAsia(1–3)Caterham Team AirAsia(4–9),27,Davide Valsecchi,All
