Pos,Team,IST R1,IST R2,CAT R1,CAT R2,MON R1,MON R2,VAL R1,VAL R2,SIL R1,SIL R2,NÜR R1,NÜR R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,Points
1,Barwa Addax Team,7,4,1,19,8,1,Ret,Ret,11,10,2,DSQ,2,13,Ret,19,2,Ret,101
1,Barwa Addax Team,4,2,2,Ret,Ret,9,2,3,8,3,6,Ret,4,4,Ret,20,21,13,101
2,DAMS,1,10,DSQ,9,4,3,1,Ret,4,1,3,1,1,3,3,4,3,21,89
2,DAMS,18,21,15,8,Ret,21,13,10,16,23,Ret,17,13,Ret,13,18,11,10,89
3,Racing Engineering,8,15,6,2,Ret,18,4,5,6,2,7,Ret,10,Ret,6,6,13,7,73
3,Racing Engineering,11,Ret,11,7,2,16,Ret,13,2,7,Ret,4,8,10,1,13,6,1,73
4,iSport International,2,3,3,5,Ret,13,5,12,5,6,8,7,17,5,12,5,4,4,70
4,iSport International,9,8,5,3,Ret,Ret,Ret,11,3,4,5,16†,5,16,Ret,12,14,8,70
5,Lotus ART,3,7,7,Ret,Ret,19,Ret,7,1,5,4,2,7,6,2,2,8,3,68
5,Lotus ART,Ret,11,Ret,12,12,DNS,7,1,10,8,12,Ret,Ret,2,14,7,9,6,68
6,Team AirAsia (1–3) Caterham Team AirAsia (4–9),6,18,Ret,Ret,Ret,20,6,2,17,14,Ret,14,3,7,Ret,Ret,10,9,49
6,Team AirAsia (1–3) Caterham Team AirAsia (4–9),16,16,4,4,1,5,3,4,14,17,13,Ret,16,14,10,10,20,Ret,49
7,Scuderia Coloni,14,12,Ret,Ret,13,15,10,6,24,18,11,10,12,Ret,16,15,Ret,DNS,46
7,Scuderia Coloni,10,Ret,19,15,11,12,18,20†,19,Ret,1,3,6,Ret,4,1,1,5,46
8,Trident Racing,Ret,22,17,10,Ret,14,15,Ret,18,13,9,15,Ret,9,Ret,17,19,16,22
8,Trident Racing,5,1,10,20†,5,Ret,17,19†,7,22,Ret,Ret,21,1,Ret,DNS,15,14,22
9,Super Nova Racing,12,5,13,6,15†,10,16,16,21,15,16,12,Ret,Ret,7,21,18,Ret,20
9,Super Nova Racing,Ret,14,Ret,Ret,3,4,Ret,15,13,12,15,5,19,12,9,11,5,11,20
10,Rapax,Ret,20,8,1,9,7,Ret,14,15,11,DSQ,8,11,11,Ret,Ret,7,2,15
10,Rapax,19,Ret,17,14,Ret,Ret,11,9,22,21,14,9,20,Ret,Ret,Ret,16,Ret,15
11,Arden International,13,6,9,21†,6,2,8,Ret,23,20,18,11,9,17,8,3,Ret,17,15
11,Arden International,17,9,18,17,NC,11,9,Ret,20,16,19,Ret,22,18†,Ret,14,Ret,19,15
12,Ocean Racing Technology,15†,19,21†,16,10,Ret,12,8,DNS,DNS,Ret,13,14,8,5,9,22,20,4
12,Ocean Racing Technology,Ret,13,14,13,Ret,17,14,17,12,Ret,10,Ret,Ret,Ret,11,8,17,15,4
13,Carlin,Ret,17,12,11,7,6,Ret,Ret,Ret,19,17,6,18,Ret,15,16,Ret,18,4
13,Carlin,DNS,DNS,16,18,14,8,Ret,18,9,9,20†,Ret,15,15,Ret,Ret,12,12,4
