Pos,No.,Driver,Team,Time,Gap,Grid
1,7,Fabio Leimer,Racing Engineering,1:49.363,,1
2,1,Dani Clos,Rapax,1:49.570,+0.207,2
3,14,Josef Král,Arden International,1:49.612,+0.249,3
4,27,Luiz Razia,Caterham Team AirAsia,1:49.649,+0.286,4
5,4,Jolyon Palmer,Barwa Addax Team,1:49.697,+0.334,5
6,24,Max Chilton,Carlin,1:49.737,+0.374,6
7,18,Kevin Ceccon,Scuderia Coloni,1:49.751,+0.388,7
8,6,Esteban Gutiérrez,Lotus ART,1:49.822,+0.459,8
9,9,Tom Dillmann,iSport International,1:50.070,+0.707,9
10,19,Stefano Coletti,Scuderia Coloni,1:50.070,+0.707,10
11,16,Giacomo Ricci,Super Nova Racing,1:50.074,+0.711,21
12,5,James Calado,Lotus ART,1:50.074,+0.711,11
13,12,Nigel Melker,DAMS,1:50.147,+0.784,12
14,10,Marcus Ericsson,iSport International,1:50.230,+0.867,13
15,26,Alexander Rossi,Caterham Team AirAsia,1:50.236,+0.873,14
16,23,António Félix da Costa,Ocean Racing Technology,1:50.276,+0.913,15
17,8,Nathanaël Berthon,Racing Engineering,1:50.296,+0.933,16
18,3,Jake Rosenzweig,Barwa Addax Team,1:50.374,+1.011,17
19,20,Julián Leal,Trident Racing,1:50.374,+1.011,18
20,11,Rio Haryanto,DAMS,1:50.515,+1.152,19
21,21,Stéphane Richelmi,Trident Racing,1:50.600,+1.237,20
22,15,Simon Trummer,Arden International,1:50.752,+1.389,22
23,17,Fabio Onidi,Super Nova Racing,1:51.052,+1.689,23
24,25,Jan Charouz,Carlin,1:51.407,+2.044,24
25,2,Mihai Marinescu,Rapax,1:51.893,+2.530,25
26,22,Nicolas Marroc,Ocean Racing Technology,1:52.550,+3.187,26
