Pos,Driver,SEP R1,SEP R2,BHR1 R1,BHR1 R2,BHR2 R1,BHR2 R2,CAT R1,CAT R2,MON R1,MON R2,VAL R1,VAL R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,MRN R1,MRN R2,Points
1,Davide Valsecchi,2,Ret,1,1,1,3,4,3,4,Ret,18,10,7,2,13,7,2,4,3,Ret,6,1,4,5,247
2,Luiz Razia,1,5,2,4,4,2,8,1,15,6,3,1,5,1,7,10,3,3,6,20,Ret,16,5,4,222
3,Esteban Gutiérrez,7,2,3,2,10,4,10,7,23†,8,1,Ret,1,4,10,5,8,1,11,13,9,Ret,2,6,176
4,Max Chilton,3,7,4,5,5,13,7,5,5,2,7,4,9,19†,14,Ret,1,11,12,22,4,6,1,19,169
5,James Calado,8,1,5,3,16,12,2,4,7,Ret,8,2,Ret,20†,8,1,4,6,2,3,12,14,Ret,10,160
6,Giedo van der Garde,9,4,Ret,9,3,19,1,6,3,3,11,6,8,21†,5,2,5,10,5,21,Ret,10,8,1,160
7,Fabio Leimer,4,6,7,12,2,8,12,11,18,Ret,4,3,14,9,2,4,9,14,Ret,5,5,2,3,3,152
8,Marcus Ericsson,13,Ret,13,16,7,7,13,22,2,4,2,Ret,21,7,11,15,18,Ret,1,4,3,7,7,2,124
9,Johnny Cecotto Jr.,Ret,22,Ret,22†,9,Ret,18,13,1,Ret,DSQ,Ret,2,18†,1,6,Ret,Ret,17,Ret,2,5,Ret,9,104
10,Felipe Nasr,6,3,Ret,6,11,5,11,9,17,Ret,Ret,14,6,3,4,3,25†,8,8,2,Ret,21,6,7,95
11,Jolyon Palmer,17,12,DNS,7,24†,22,9,DNS,6,1,Ret,Ret,3,5,18,18,6,5,Ret,10,7,3,Ret,Ret,78
12,Nathanaël Berthon,11,8,21†,Ret,12,10,5,2,9,7,6,5,12,14,15,9,7,2,14,19,15,15,10,15,60
13,Stefano Coletti,5,23†,Ret,23†,21,18,3,8,10,Ret,9,Ret,Ret,Ret,20,19,10,9,20†,8,8,4,13,8,50
14,Rio Haryanto,12,10,9,15,6,6,16,15,14,11,5,Ret,10,12,17,11,12,7,10,7,19,12,9,11,38
15,Tom Dillmann,18,11,6,10,8,1,22,12,11,Ret,Ret,12,,,9,Ret,,,,,,,,,29
16,Luca Filippi,,,,,,,,,,,,,,,,,,,,,1,22,Ret,DNS,29
17,Josef Král,14,9,,,,,20,16,Ret,10,DSQ,11,16,10,12,13,24†,17,4,1,,,,,27
18,Stéphane Richelmi,19,19,11,Ret,17,17,21,19,8,Ret,14,Ret,13,Ret,3,21,17,21,9,6,13,9,14,22†,25
19,Nigel Melker,16,14,20†,18,19,11,14,24,Ret,12,Ret,13,4,6,6,8,14,18,Ret,DNS,11,Ret,12,12,25
20,Fabio Onidi,20,13,8,14,20,9,6,18,Ret,Ret,13,17,22,8,19,22,11,24,16,12,21,Ret,Ret,20,13
21,Julián Leal,15,15,12,17,15,14,24,17,21,Ret,12,8,20,17,21,12,16,15,7,9,10,8,11,16,9
22,Rodolfo González,Ret,18,15,21,18,15,15,14,13,5,15,15,23,Ret,23,20,23,16,Ret,14,22,20,Ret,18,6
23,Simon Trummer,23,16,16,8,14,24†,23,20,12,9,10,7,15,11,16,17,13,13,15,16,16,17,Ret,14,4
24,Fabrizio Crestani,10,21,14,19,Ret,23,17,10,19,Ret,Ret,DNS,11,22†,,,,,,,,,,,1
25,Brendon Hartley,,,10,Ret,13,16,,,,,,,,,,,,,,,,,,,1
26,Daniël de Jong,,,,,,,,,,,16,9,Ret,13,,,15,19,13,11,,,,,0
27,Sergio Canamasas,,,,,,,,,,,,,,,22,14,22,12,Ret,Ret,14,11,16,DSQ,0
28,Dani Clos,,,19†,11,Ret,Ret,,,,,,,,,,,,,,,,,,,0
29,Ricardo Teixeira,21,24†,17,13,23,20,Ret,23,20,Ret,,,18,15,DSQ,16,19,20,18,15,20,18,17,21,0
30,Victor Guerin,,,,,,,19,21,16,Ret,17,18,17,DNS,Ret,23,21,23,Ret,18,23,Ret,Ret,13,0
31,René Binder,,,,,,,,,,,,,,,,,,,19,17,17,13,Ret,Ret,0
32,Jake Rosenzweig,,,,,,,,,,,,,,,,,,,,,18,19,15,17,0
33,Giancarlo Serenelli,22,20,18,20,22,21,25,Ret,22,Ret,Ret,16,19,16,24,Ret,20,22,,,,,,,0
34,Jon Lancaster,Ret,17,,,,,,,,,,,,,,,,,,,,,,,0
