Pos,Team,SEP R1,SEP R2,BHR1 R1,BHR1 R2,BHR2 R1,BHR2 R2,CAT R1,CAT R2,MON R1,MON R2,VAL R1,VAL R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,MRN R1,MRN R2,Points
1,DAMS,2,Ret,1,1,1,3,4,3,4,Ret,18,10,7,2,13,7,2,4,3,Ret,6,1,4,5,342
1,DAMS,6,3,Ret,6,11,5,11,9,17,Ret,Ret,14,6,3,4,3,25†,8,8,2,Ret,21,6,7,342
2,Lotus GP,8,1,5,3,16,12,2,4,7,Ret,8,2,Ret,20†,8,1,4,6,2,3,12,14,Ret,10,336
2,Lotus GP,7,2,3,2,10,4,10,7,23†,8,1,Ret,1,4,10,5,8,1,11,13,9,Ret,2,6,336
3,Arden International,23,16,16,8,14,24†,23,20,12,9,10,7,15,11,16,17,13,13,15,16,16,17,Ret,14,226
3,Arden International,1,5,2,4,4,2,8,1,15,6,3,1,5,1,7,10,3,3,6,20,Ret,16,5,4,226
4,Racing Engineering,4,6,7,12,2,8,12,11,18,Ret,4,3,14,9,2,4,9,14,Ret,5,5,2,3,3,212
4,Racing Engineering,11,8,21†,Ret,12,10,5,2,9,7,6,5,12,14,15,9,7,2,14,19,15,15,10,15,212
5,Carlin,3,7,4,5,5,13,7,5,5,2,7,4,9,19†,14,Ret,1,11,12,22,4,6,1,19,207
5,Carlin,12,10,9,15,6,6,16,15,14,11,5,Ret,10,12,17,11,12,7,10,7,19,12,9,11,207
6,iSport International,13,Ret,13,16,7,7,13,22,2,4,2,Ret,21,7,11,15,18,Ret,1,4,3,7,7,2,202
6,iSport International,17,12,DNS,7,24†,22,9,DNS,6,1,Ret,Ret,3,5,18,18,6,5,Ret,10,7,3,Ret,Ret,202
7,Caterham Racing,Ret,18,15,21,18,15,15,14,13,5,15,15,23,Ret,23,20,23,16,Ret,14,22,20,Ret,14,166
7,Caterham Racing,9,4,Ret,9,3,19,1,6,3,3,11,6,8,21†,5,2,5,10,5,21,Ret,10,8,1,166
8,Barwa Addax Team,Ret,22,Ret,22†,9,Ret,18,13,1,Ret,DSQ,Ret,2,18†,1,6,Ret,Ret,17,Ret,2,5,Ret,9,131
8,Barwa Addax Team,14,9,19†,11,Ret,Ret,20,16,Ret,10,DSQ,11,16,10,12,13,24†,17,4,1,18,19,15,17,131
9,Rapax,21,24†,17,13,23,20,Ret,23,20,Ret,Ret,12,18,15,DSQ,16,19,20,18,15,20,18,17,21,44
9,Rapax,18,11,6,10,8,1,22,12,11,Ret,16,9,Ret,13,9,Ret,15,19,13,11,8,4,13,8,44
10,Trident Racing,19,19,11,Ret,17,17,21,19,8,Ret,14,Ret,13,Ret,3,21,17,21,9,6,13,9,14,22†,34
10,Trident Racing,15,15,12,17,15,14,24,17,21,Ret,12,8,20,17,17,12,16,15,7,9,10,8,11,16,34
11,Ocean Racing Technology,Ret,17,10,Ret,13,16,19,21,16,Ret,17,18,17,DNS,Ret,23,21,23,Ret,18,23,Ret,Ret,13,26
11,Ocean Racing Technology,16,14,20†,18,19,11,14,24,Ret,12,Ret,13,4,6,6,8,14,18,Ret,DNS,11,Ret,12,12,26
12,Venezuela GP Lazarus,10,21,14,19,Ret,23,17,10,19,Ret,Ret,DNS,11,22†,22,14,22,12,Ret,Ret,14,11,16,DSQ,1
12,Venezuela GP Lazarus,22,20,18,20,22,21,25,Ret,22,Ret,Ret,16,19,16,24,Ret,20,22,19,17,17,13,Ret,Ret,1
—,Scuderia Coloni,5,23†,Ret,23†,21,18,3,8,10,Ret,9,Ret,Ret,Ret,20,19,10,9,20†,8,1,22,Ret,DNS,0
—,Scuderia Coloni,20,13,8,14,20,9,6,18,Ret,Ret,13,17,22,8,19,22,11,24,16,12,21,Ret,Ret,20,0
