Pos,No.,Driver,Team,Time,Grid
1,3,Davide Valsecchi,DAMS,1:45.494,1
2,23,Luiz Razia,Arden International,1:45.554,2
3,26,Max Chilton,Carlin,1:45.558,3
4,14,Stefano Coletti,Scuderia Coloni,1:45.577,4
5,5,Fabio Leimer,Racing Engineering,1:45.588,5
6,9,James Calado,Lotus GP,1:45.638,6
7,8,Jolyon Palmer,iSport International,1:45.758,7
8,12,Giedo van der Garde,Caterham Racing,1:45.773,8
9,15,Fabio Onidi,Scuderia Coloni,1:45.810,12
10,4,Felipe Nasr,DAMS,1:45.942,9
11,1,Johnny Cecotto Jr.,Barwa Addax Team,1:46.012,10
12,18,Fabrizio Crestani,Venezuela GP Lazarus,1:46.138,11
13,16,Stéphane Richelmi,Trident Racing,1:46.150,13
14,2,Josef Král,Barwa Addax Team,1:46.160,14
15,10,Esteban Gutiérrez,Lotus GP,1:46.186,15
16,21,Tom Dillmann,Rapax,1:46.264,16
17,27,Rio Haryanto,Carlin,1:46.392,17
18,6,Nathanaël Berthon,Racing Engineering,1:46.428,18
19,25,Nigel Melker,Ocean Racing Technology,1:46.489,19
20,7,Marcus Ericsson,iSport International,1:46.557,20
21,24,Jon Lancaster,Ocean Racing Technology,1:46.662,21
22,17,Julián Leal,Trident Racing,1:46.868,22
23,11,Rodolfo González,Caterham Racing,1:46.962,23
24,22,Simon Trummer,Arden International,1:47.004,24
25,20,Ricardo Teixeira,Rapax,1:48.113,25
26,19,Giancarlo Serenelli,Venezuela GP Lazarus,1:49.620,26
