Pos,Driver,SEP R1,SEP R2,BHR R1,BHR R2,CAT R1,CAT R2,MON R1,MON R2,SIL R1,SIL R2,NÜR R1,NÜR R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,MRN R1,MRN R2,YMC R1,YMC R2,Points
1,Fabio Leimer,1,12,1,9,18,9,Ret,13,4,15,4,3,4,3,4,5,1,6,5,3,4,3,201
2,Sam Bird,7,Ret,6,1,21,12,1,24,1,5,13,8,10,8,1,14,2,4,8,1,10,4,181
3,James Calado,2,Ret,12,5,Ret,11,5,5,9,3,2,2,9,6,8,1,6,26,3,20,6,1,157
4,Felipe Nasr,4,2,4,2,2,3,4,4,Ret,7,9,4,3,5,Ret,8,Ret,12,2,16,7,18,154
5,Stefano Coletti,3,1,2,3,4,1,6,1,21,10,3,19,16,20,13,23,Ret,13,12,24,20,9,135
6,Marcus Ericsson,Ret,13,13,Ret,Ret,20,Ret,18,11,8,1,13,2,4,2,15,Ret,23,7,2,3,6,121
7,Jolyon Palmer,6,9,5,6,10,4,Ret,12,6,Ret,24,11,1,12,15,6,Ret,10,1,17,2,Ret,119
8,Stéphane Richelmi,8,4,Ret,13,15,15,9,8,2,19,5,Ret,5,9,7,4,4,25,4,4,Ret,20,103
9,Alexander Rossi,,,3,20,6,6,Ret,19,10,9,11,6,13,16,3,22,8,2,Ret,23,1,Ret,92
10,Tom Dillmann,14,11,8,4,5,26,11,25,3,6,8,Ret,20,11,5,9,3,5,6,14,Ret,DNS,92
11,Jon Lancaster,,,,,3,10,12,17,5,1,7,1,23,18,,,13,17,9,5,Ret,Ret,73
12,Julián Leal,5,Ret,19,16,13,25,Ret,14,8,4,22,12,15,21,6,2,5,3,Ret,12,16,10,62
13,Adrian Quaife-Hobbs,Ret,17,7,8,17,21,8,2,12,11,Ret,16,18,Ret,10,3,7,1,22,8,11,21,56
14,Mitch Evans,10,3,Ret,15,12,13,3,3,19,14,16,7,7,2,11,10,Ret,15,11,15,Ret,14,56
15,Robin Frijns,,,21,23,1,2,Ret,15,13,Ret,6,Ret,,,9,Ret,,,,,,,47
16,Johnny Cecotto Jr.,12,5,10,12,8,5,Ret,EX,17,Ret,10,5,21,Ret,14,7,12,8,14,6,8,Ret,41
17,Kevin Ceccon,17,22,11,10,7,7,2,7,Ret,12,Ret,DNS,,,,,,,,,,,28
18,Dani Clos,,,,,,,,,,,,,14,Ret,20,19,18,9,10,21,5,2,25
19,Rio Haryanto,20,18,15,24,9,24,Ret,16,7,2,18,14,11,10,19,25,14,7,20,11,14,12,22
20,Nathanaël Berthon,Ret,21,17,22,Ret,23,Ret,21,20,Ret,17,15,8,1,22,13,Ret,21,Ret,10,18,13,21
21,Simon Trummer,9,6,9,14,19,16,13,23,24,16,14,9,6,7,12,11,Ret,16,16,13,13,7,20
22,Daniel Abt,Ret,16,14,7,11,8,16,22,15,Ret,21,18,24,14,16,16,17,22,13,DSQ,9,5,11
23,René Binder,11,8,18,25,20,19,7,6,16,13,20,10,22,13,Ret,20,16,14,18,9,15,16,11
24,Daniël de Jong,Ret,14,Ret,19,16,18,10,9,22,18,15,Ret,12,Ret,Ret,17,11,19,17,7,19,17,3
25,Sergio Canamasas,19,15,20,11,Ret,14,15,11,23,20,12,17,Ret,Ret,Ret,12,9,11,19,Ret,12,8,3
26,Conor Daly,13,7,,,,,,,,,,,,,,,,,,,,,2
27,Vittorio Ghirelli,,,,,,,,,,,,,17,17,18,18,10,20,Ret,19,Ret,19,1
28,Jake Rosenzweig,18,20,16,19,14,22,14,10,14,21,23,20,25,15,17,21,Ret,18,15,18,21,11,0
29,Kevin Giovesi,16,10,Ret,17,Ret,17,Ret,20,,,,,,,,,,,,,,,0
30,Gianmarco Raimondo,,,,,,,,,,,,,,,,,,,21,22,17,15,0
31,Pål Varhaug,15,19,Ret,21,,,,,,,,,,,,,,,,,,,0
32,Sergio Campana,,,,,,,,,,,,,,,,,15,24,,,,,0
33,Fabrizio Crestani,,,,,,,,,18,17,19,21,,,,,,,,,,,0
34,Ricardo Teixeira,,,,,,,,,,,,,19,19,21,24,,,,,,,0
35,Ma Qinghua,21,DNS,,,,,,,,,,,,,,,,,,,,,0
