Team,No.,Drivers,Rounds
DAMS,1,Marcus Ericsson,All
DAMS,2,Stéphane Richelmi,All
ART Grand Prix,3,James Calado,All
ART Grand Prix,4,Daniel Abt,All
Arden International,5,Johnny Cecotto Jr.,All
Arden International,6,Mitch Evans,All
Racing Engineering,7,Julián Leal,All
Racing Engineering,8,Fabio Leimer,All
Carlin,9,Felipe Nasr,All
Carlin,10,Jolyon Palmer,All
Russian Time,11,Sam Bird,All
Russian Time,12,Tom Dillmann,All
Caterham Racing(1–3)EQ8 Caterham Racing(4–11),14,Sergio Canamasas,All
Caterham Racing(1–3)EQ8 Caterham Racing(4–11),15,Ma Qinghua,1
Caterham Racing(1–3)EQ8 Caterham Racing(4–11),15,Alexander Rossi,2–11
Barwa Addax Team,16,Jake Rosenzweig,All
Barwa Addax Team,17,Rio Haryanto,All
Rapax,18,Stefano Coletti,All
Rapax,19,Simon Trummer,All
Trident Racing,20,Nathanaël Berthon,All
Trident Racing,21,Kevin Ceccon,1–6
Trident Racing,21,Ricardo Teixeira,7–8
Trident Racing,21,Sergio Campana,9
Trident Racing,21,Gianmarco Raimondo,10–11
Hilmer Motorsport,22,Conor Daly,1
Hilmer Motorsport,22,Robin Frijns,2–6
Hilmer Motorsport,22,Adrian Quaife-Hobbs,7–11
Hilmer Motorsport,23,Pål Varhaug,1–2
Hilmer Motorsport,23,Jon Lancaster,"3–7, 9–11"
Hilmer Motorsport,23,Robin Frijns,8
Venezuela GP Lazarus,24,René Binder,All
Venezuela GP Lazarus,25,Kevin Giovesi,1–4
Venezuela GP Lazarus,25,Fabrizio Crestani,5–6
Venezuela GP Lazarus,25,Vittorio Ghirelli,7–11
MP Motorsport,26,Adrian Quaife-Hobbs,1–6
MP Motorsport,26,Dani Clos,7–11
MP Motorsport,27,Daniël de Jong,All
