Pos,Driver,BHR R1,BHR R2,CAT R1,CAT R2,MON R1,MON R2,RBR R1,RBR R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,YMC R1,YMC R2,Points
1,Jolyon Palmer,3,1,2,2,1,7,5,6,2,4,3,6,4,2,6,3,8,1,1,10,2,Ret,276
2,Stoffel Vandoorne,1,22,13,10,14,13,2,15,3,9,2,3,7,1,2,6,1,13,5,2,1,5,229
3,Felipe Nasr,8,4,3,1,3,Ret,1,Ret,7,1,5,2,6,3,4,1,6,6,17,3,4,2,224
4,Mitch Evans,14,7,14,20†,2,6,7,4,1,7,1,11,12,9,5,4,3,20†,2,4,3,4,174
5,Johnny Cecotto Jr.,21,14,1,6,4,4,6,1,6,3,7,Ret,Ret,Ret,3,2,10,Ret,19,23†,6,6,140
6,Stefano Coletti,4,23,16,8,Ret,9,4,2,4,2,4,1,18,Ret,Ret,7,9,2,Ret,8,7,1,136
7,Arthur Pic,5,9,6,4,6,5,10,13,11,22†,19,Ret,1,6,15,20,2,7,4,5,8,3,124
8,Raffaele Marciello,18,24,Ret,16,12,19,3,3,Ret,Ret,17,Ret,19,8,1,14,Ret,18,3,Ret,11,7,74
9,Stéphane Richelmi,19,5,10,7,8,1,14,10,8,6,10,Ret,Ret,11,21,12,4,3,22,18,5,9,73
10,Julián Leal,2,3,4,5,Ret,16,13,7,5,5,16,18,Ret,15,13,10,13,17,9,17,12,11,68
11,Marco Sørensen,,,,,,,,,9,8,9,4,10,10,14,11,7,4,8,1,Ret,21,47
12,André Negrão,20,18,,,Ret,15,16,14,20,16,18,21,15,Ret,9,8,5,5,6,6,Ret,24,31
13,Adrian Quaife-Hobbs,10,6,9,9,9,8,24,18,13,15,14,8,2,12,11,21,14,8,,,,,30
14,Sergio Canamasas,,,17,18,5,2,15,9,15,Ret,15,13,Ret,DNS,20,Ret,18,DSQ,7,Ret,16,8,29
15,Rio Haryanto,16,16,5,Ret,7,3,11,17,21,Ret,22†,10,Ret,17,Ret,16,16,16,18,15,9,12,28
16,Daniel Abt,13,13,Ret,12,Ret,17,17,23,10,11,20,15,5,5,8,5,Ret,10,Ret,13,,,27
17,Simon Trummer,7,2,12,Ret,Ret,18,20,20,25,18,6,14,11,13,18,17,19,11,15,21,17,16,26
18,Takuya Izawa,6,12,20,13,Ret,Ret,9,8,16,23†,13,19,3,21†,16,22,Ret,14,20,22,13,10,26
19,Tom Dillmann,,,8,3,,,,,,,12,9,9,19†,12,9,,,,,,,18
20,Nathanaël Berthon,23†,17,Ret,Ret,17,12,22,25,17,12,8,17,8,4,22,15,12,19†,10,9,15,13,17
21,Alexander Rossi,22,25,Ret,14,16,11,8,5,12,21,Ret,7,,,,,,,,,,,12
22,Tio Ellinas,,,7,11,10,22,23,22,,,,,,,,,,,21,14,,,7
23,Jon Lancaster,17,15,,,,,,,22,13,Ret,5,17,16,19,Ret,11,15,12,16,18,14,6
24,Artem Markelov,15,10,11,Ret,Ret,Ret,21,16,18,17,Ret,12,16,20†,7,Ret,21,Ret,16,12,Ret,19,6
25,René Binder,9,8,15,Ret,Ret,20,12,12,24,19,11,22,20,14,Ret,23,20,Ret,23,Ret,Ret,23,3
26,Conor Daly,12,Ret,18,Ret,13,10,18,11,14,10,21,20,13,7,Ret,19,,,,,20,15,2
27,Kimiya Sato,Ret,19,19,15,15,14,Ret,19,23,20,,,Ret,Ret,17,18,Ret,12,13,7,14,22,2
28,Daniël de Jong,11,11,Ret,19,11,Ret,19,21,19,14,Ret,16,14,18,10,13,Ret,9,14,19,10,Ret,2
29,Pierre Gasly,,,,,,,,,,,,,,,,,17,Ret,11,11,21,18,0
30,Sergio Campana,,,,,,,,,,,,,,,,,15,Ret,DNS,20,,,0
31,Facu Regalia,Ret,20,Ret,17,Ret,21,Ret,24,,,,,,,,,,,,,,,0
32,Nicholas Latifi,,,,,,,,,,,,,,,,,,,,,22,17,0
33,Kevin Giovesi,,,,,,,,,,,,,,,,,,,,,19,20,0
34,Axcil Jefferies,Ret,21,,,,,,,,,,,,,,,,,,,,,0
