Pos,Team,BHR R1,BHR R2,CAT R1,CAT R2,MON R1,MON R2,RBR R1,RBR R2,SIL R1,SIL R2,HOC R1,HOC R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,YMC R1,YMC R2,Points
1,DAMS,3,1,2,2,1,7,5,6,2,4,3,6,4,2,6,3,8,1,1,10,2,Ret,349
1,DAMS,19,5,10,7,8,1,14,10,8,6,10,Ret,Ret,11,21,12,4,3,22,18,5,9,349
2,Carlin,8,4,3,1,3,Ret,1,Ret,7,1,5,2,6,3,4,1,6,6,17,3,4,2,292
2,Carlin,2,3,4,5,Ret,16,13,7,5,5,16,18,Ret,15,13,10,13,17,9,17,12,11,292
3,ART Grand Prix,6,12,20,13,Ret,Ret,9,8,16,23,13,19,3,21,16,22,Ret,14,20,22,13,10,255
3,ART Grand Prix,1,22,13,10,14,13,2,15,3,9,2,3,7,1,2,6,1,13,5,2,1,5,255
4,Racing Engineering,18,24,Ret,16,12,19,3,3,Ret,Ret,17,Ret,19,8,1,14,Ret,18,3,Ret,11,7,210
4,Racing Engineering,4,23,16,8,Ret,9,4,2,4,2,4,1,18,Ret,Ret,7,9,2,Ret,8,7,1,210
5,RT Russian Time,14,7,14,20,2,6,7,4,1,7,1,11,12,9,5,4,3,20,2,4,3,4,180
5,RT Russian Time,15,10,11,Ret,Ret,Ret,21,16,18,17,Ret,12,16,20,7,Ret,21,Ret,16,12,Ret,19,180
6,Trident,Ret,21,17,18,5,2,15,9,15,Ret,15,13,Ret,DNS,20,Ret,18,DSQ,7,Ret,16,8,169
6,Trident,21,14,1,6,4,4,6,1,6,3,7,Ret,Ret,Ret,3,2,10,Ret,19,23,6,6,169
7,Campos Racing,5,9,6,4,6,5,10,13,11,22,19,Ret,1,6,15,20,2,7,4,5,8,3,128
7,Campos Racing,Ret,19,19,15,15,14,Ret,19,23,20,Ret,7,Ret,Ret,17,18,Ret,12,13,7,14,22,128
8,MP Motorsport,11,11,Ret,19,11,Ret,19,21,19,14,Ret,16,14,18,10,13,Ret,9,14,19,10,Ret,56
8,MP Motorsport,17,15,7,11,10,22,23,22,9,8,9,4,10,10,14,11,7,4,8,1,Ret,21,56
9,Rapax,10,6,9,9,9,8,24,18,13,15,14,8,2,12,11,21,14,8,21,14,19,20,56
9,Rapax,7,2,12,Ret,Ret,18,20,20,25,18,6,14,11,13,18,17,19,11,15,21,17,16,56
10,Arden International,9,8,15,Ret,Ret,20,12,12,24,19,11,22,20,14,Ret,23,20,Ret,23,Ret,Ret,23,48
10,Arden International,20,18,8,3,Ret,15,16,14,20,16,18,21,15,Ret,9,8,5,5,6,6,Ret,24,48
11,EQ8 Caterham Racing (1–8) Caterham Racing (9–11),16,16,5,Ret,7,3,11,17,21,Ret,22,10,Ret,17,Ret,16,16,16,18,15,9,12,42
11,EQ8 Caterham Racing (1–8) Caterham Racing (9–11),22,25,Ret,14,16,11,8,5,12,22,12,9,9,19,12,9,17,Ret,11,11,21,18,42
12,Hilmer Motorsport,13,13,Ret,12,Ret,17,17,23,10,11,20,15,5,5,8,5,Ret,10,Ret,13,22,17,33
12,Hilmer Motorsport,Ret,20,Ret,17,Ret,21,Ret,24,22,13,Ret,5,17,16,19,Ret,11,15,12,16,18,14,33
13,Venezuela GP Lazarus,23,17,Ret,Ret,17,12,22,25,17,12,8,17,8,4,22,15,12,19,10,9,15,13,19
13,Venezuela GP Lazarus,12,Ret,18,Ret,13,10,18,11,14,10,21,20,13,7,Ret,19,15,Ret,DNS,20,20,15,19
