Pos,Driver,BHR1 R1,BHR1 R2,CAT R1,CAT R2,MON R1,MON R2,RBR R1,RBR R2,SIL R1,SIL R2,HUN R1,HUN R2,SPA R1,SPA R2,MNZ R1,MNZ R2,SOC R1,SOC R2,BHR2 R1,BHR2 R2,YMC R1,YMC R2,Points
1,Stoffel Vandoorne,1,2,1,2,1,8,1,2,3,9,5,2,1,4,2,3,3,4,1,2,1,C,341.5
2,Alexander Rossi,3,4,3,4,2,7,6,8,2,4,12,19,6,1,1,Ret,1,6,18,9,4,C,181.5
3,Sergey Sirotkin,12,14,16,10,5,3,2,4,1,8,3,3,9,6,Ret,5,4,21,5,4,13,C,139
4,Rio Haryanto,2,1,4,6,16,Ret,7,1,8,1,4,5,13,10,13,11,5,2,7,18,7,C,138
5,Mitch Evans,6,17,2,DNS,Ret,DNS,10,5,Ret,20,17,22,5,3,3,1,11,8,3,1,3,C,135
6,Alex Lynn,19,15,5,1,13,11,3,20,5,6,1,9,11,8,Ret,10,Ret,10,8,3,8,C,110
7,Raffaele Marciello,Ret,20,6,17,8,2,15,10,6,2,7,4,14,12,15,7,6,3,4,5,2,C,110
8,Pierre Gasly,Ret,22,7,3,14,10,13,6,4,3,2,8,19,Ret,Ret,12,2,5,6,7,5,C,110
9,Nobuharu Matsushita,10,6,11,18,Ret,19,4,3,Ret,19,8,1,Ret,15,Ret,15,10,7,2,Ret,11,C,68.5
10,Richie Stanaway,15,11,10,19,7,1,23,15,Ret,13,21,13,18,13,4,4,7,1,,,,,60
11,Arthur Pic,Ret,10,9,8,4,6,9,11,14,16,13,10,2,Ret,7,2,8,13,10,16,17,C,60
12,Jordan King,4,9,14,11,9,Ret,12,7,22,10,6,12,8,2,8,Ret,Ret,15,9,6,6,C,60
13,Artem Markelov,13,12,12,5,Ret,14,5,DSQ,21,14,22,18,3,5,5,14,Ret,12,15,8,Ret,C,48
14,Julián Leal,8,5,Ret,16,6,5,14,22,9,12,16,15,4,11,12,9,,,,,,,38
15,Sergio Canamasas,14,Ret,13,15,3,4,,,15,24,Ret,16,12,9,11,6,Ret,17,12,17,12,C,27
16,Nathanaël Berthon,7,3,20,12,17,15,Ret,17,Ret,21,14,11,7,7,,,14,19,11,Ret,10,C,27
17,Robert Vișoiu,5,7,18,23,15,13,11,9,12,11,9,7,15,16,9,Ret,17,18,,,,,20
18,Norman Nato,Ret,16,8,7,18,21,20,13,18,23,11,6,Ret,20,6,Ret,12,9,24,10,Ret,C,20
19,Nick Yelloly,,,Ret,14,10,9,8,Ret,7,5,Ret,17,Ret,17,,,,,,,,,19
20,André Negrão,9,8,23,21,21,17,16,21,20,15,20,21,20,14,14,18,15,11,17,20,9,C,5
21,Oliver Rowland,,,,,,,,,10,7,,,NC,Ret,,,,,22,Ret,15,C,3
22,René Binder,17,Ret,22,Ret,11,16,17,14,17,18,23,24,,,10,8,16,Ret,20,Ret,14,C,2
23,Daniël de Jong,18,13,15,9,12,12,21,12,11,26,10,Ret,Ret,DNS,,,,,19,14,Ret,C,1
24,Dean Stoneman,,,,,,,,,,,,,,,,,9,16,21,12,Ret,C,1
25,Gustav Malja,,,,,,,,,,,,,10,18,,,,,16,13,16,C,1
26,Marlon Stöckinger,11,19,Ret,20,19,18,19,19,19,22,19,23,17,19,Ret,19,Ret,Ret,13,19,18,C,0
27,Nicholas Latifi,,,,,,,,,,,15,14,,,,,18,14,14,11,Ret,C,0
28,Johnny Cecotto Jr.,,,21,Ret,20,Ret,,,13,25,,,,,18,13,13,22,,,,,0
29,Zoël Amberg,16,18,17,13,22,Ret,DNS,DNS,,,DNS,DNS,,,,,,,,,,,0
30,Sean Gelael,,,,,,,,,,,18,20,20,21,,,19,20,23,15,Ret,C,0
31,Simon Trummer,,,,,,,22,18,,,,,,,16,16,,,,,,,0
32,Jon Lancaster,,,,,,,,,16,17,,,,,,,,,,,,,0
33,Marco Sørensen,Ret,21,19,22,Ret,20,18,16,,,,,,,,,,,,,,,0
34,Patric Niederhauser,,,,,,,,,,,,,,,17,17,,,,,,,0
35,Jann Mardenborough,,,,,,,,,,,,,,,19,20,,,,,,,0
—,Meindert van Buuren,,,,,,,,,,,,,,,Ret,DNS,,,,,,,0
