Pos,Team,BHR1 Race 1,BHR1 Race 2,CAT Race 1,CAT Race 2,MON Race 1,MON Race 2,RBR Race 1,RBR Race 2,SIL Race 1,SIL Race 2,HUN Race 1,HUN Race 2,SPA Race 1,SPA Race 2,MNZ Race 1,MNZ Race 2,SOC Race 1,SOC Race 2,BHR2 Race 1,BHR2 Race 2,YMC Race 1,YMC Race 2,Points
1,ART Grand Prix,1,2,1,2,1,8,1,2,3,9,5,2,1,4,2,3,3,4,1,2,1,C,410
1,ART Grand Prix,10,6,11,18,Ret,19,4,3,Ret,19,8,1,Ret,15,Ret,15,10,7,2,Ret,11,C,410
2,Racing Engineering,4,9,14,11,9,Ret,12,7,22†,10,6,12,8,2,8,Ret,Ret,15,9,6,6,C,241.5
2,Racing Engineering,3,4,3,4,2,7,6,8,2,4,12,19,6,1,1,Ret,1,6,18,9,4,C,241.5
3,DAMS,Ret,22,7,3,14,10,13,6,4,3,2,8,19,Ret,Ret,12,2,5,6,7,5,C,220
3,DAMS,19,15,5,1,13,11,3,20,5,6,1,9,11,8,Ret,10,Ret,10,8,3,8,C,220
4,Campos Racing,Ret,10,9,8,4,6,9,11,14,16,13,10,2,Ret,7,2,8,13,10,16,17,C,198
4,Campos Racing,2,1,4,6,16,Ret,7,1,8,1,4,5,13,10,13,11,5,2,7,18,7,C,198
5,Russian Time,6,17,2,DNS,Ret,DNS,10,5,Ret,20,17,22,5,3,3,1,11,8,3,1,3,C,183
5,Russian Time,13,12,12,5,Ret,14,5,DSQ,21,14,22,18,3,5,5,14,Ret,12,15,8,Ret,C,183
6,Rapax,12,14,16,10,5,3,2,4,1,8,3,3,9,6,Ret,5,4,21,5,4,14,C,159
6,Rapax,5,7,18,23,15,13,11,9,12,11,9,7,15,16,9,Ret,17,18,16,13,16,C,159
7,Trident,Ret,20,6,17,8,2,15,10,6,2,7,4,14,12,15,7,6,3,4,5,2,C,111
7,Trident,17,Ret,22,Ret,11,16,17,14,17,18,23,24,10,18,18,13,13,22†,19,14,Ret,C,111
8,Status Grand Prix,11,19,Ret,20,19,18,19,19,19,22,19,23,17,19,Ret,19,Ret,Ret,13,19,18,C,60
8,Status Grand Prix,15,11,10,19,7,1,23,15,Ret,13,21,13,18,13,4,4,7,1,22,Ret,16,C,60
9,Carlin,8,5,Ret,16,6,5,14,22,9,12,16,15,4,11,12,9,9,16,21,12,Ret,C,39
9,Carlin,Ret,21,19,22,Ret,20,18,16,13,25,18,20,20,21,19,20,19,20,23,15,Ret,C,39
10,Lazarus(1–3)Daiko Team Lazarus(4–11),7,3,20,12,17,15,Ret,17,Ret,21,14,11,7,7,17,17,14,19,11,Ret,10,C,31
10,Lazarus(1–3)Daiko Team Lazarus(4–11),16,18,17,13,22,Ret,DNP,DNP,15,24,DNP,DNP,12,9,11,6,Ret,17,12,17,12,C,31
11,MP Motorsport,14,Ret,13,15,3,4,,,10,7,15,14,NC,Ret,Ret,WD,18,14,14,11,Ret,C,29
11,MP Motorsport,18,13,15,9,12,12,21,12,11,26†,10,Ret,Ret,DNS,10,8,16,Ret,20,Ret,14,C,29
12,Arden International,9,8,23†,21,21,17,16,21,20,15,20,21,16,14,14,18,15,11,17,20,9,C,25
12,Arden International,Ret,16,8,7,18,Ret,20,13,18,23,11,6,Ret,20,6,Ret,12,9,24,10,Ret,C,25
13,Hilmer Motorsport,,,Ret,14,10,9,8,Ret,7,5,Ret,17,Ret,17,16,16,,,,,,,19
13,Hilmer Motorsport,,,21,Ret,20,Ret,22,18,16,17,Ret,16,,,,,,,,,,,19
