Pos,Driver,BHR FR,BHR SR,CAT SR,CAT FR,MON FR,MON SR,BAK SR,BAK FR,RBR FR,RBR SR,SIL SR,SIL FR,HUN FR,HUN SR,SPA SR,SPA FR,MNZ FR,MNZ SR,JER SR,JER FR,YMC FR,YMC SR,Points
1,Charles Leclerc,3,1,1,4,Ret,18,1,2,1,Ret,1,5,4,4,DSQ,5,17,9,1,7,2,1,282
2,Artem Markelov,1,8,8,9,2,5,4,5,8,1,4,3,17,9,1,Ret,9,15,5,1,1,6,210
3,Oliver Rowland,5,3,3,2,1,9,7,Ret,4,3,3,17,1,2,DSQ,8,Ret,11,2,3,DSQ,7,191
4,Luca Ghiotto,7,2,2,7,5,4,16,7,14,4,6,2,6,8,2,3,4,1,7,4,3,5,185
5,Nicholas Latifi,11,4,6,3,Ret,13,3,3,2,8,8,1,2,6,DNS,9,3,16,4,2,5,3,178
6,Nobuharu Matsushita,8,14,4,1,3,7,12,6,6,14,10,8,5,1,16,Ret,2,7,18,11,6,4,131
7,Nyck de Vries,10,6,10,Ret,7,1,2,Ret,13,16,DNS,7,3,3,5,2,18,12,13,6,4,9,114
8,Antonio Fuoco,9,10,13,Ret,11,10,Ret,12,3,5,16,12,Ret,17,3,7,1,3,3,5,DSQ,11,98
9,Norman Nato,2,Ret,16,13,Ret,Ret,5,1,Ret,7,2,6,7,5,8,4,13,10,11,10,13,18,91
10,Alexander Albon,6,7,5,8,4,6,,,5,2,18,10,8,7,12,18,14,8,12,9,7,2,86
11,Jordan King,4,5,9,5,9,8,6,DSQ,9,6,7,Ret,15,11,Ret,14,10,20,6,Ret,8,Ret,62
12,Sérgio Sette Câmara,13,18,14,15,Ret,14,13,9,16,10,13,15,16,13,6,1,6,2,10,14,9,8,47
13,Gustav Malja,18,13,7,6,6,3,11,13,12,15,14,9,13,NC,4,11,8,18,14,18,11,17,44
14,Sergio Canamasas,14,11,Ret,11,10,17,9,15,15,9,5,4,Ret,Ret,,,,,,,,,21
15,Sean Gelael,17,17,15,16,13,12,14,10,10,11,9,16,14,10,15,17,5,6,16,16,15,14,17
16,Johnny Cecotto Jr.,15,9,17,10,8,2,Ret,14,,,,,,,,,,,,,,,16
17,Louis Delétraz,20,12,11,14,15,16,Ret,16,17,13,12,13,10,12,14,12,7,4,17,12,10,Ret,16
18,Roberto Merhi,,,19,12,,,,,,,,,,,7,6,11,5,,,16,10,16
19,Ralph Boschung,12,Ret,12,17,12,Ret,8,8,7,Ret,11,Ret,11,16,13,13,15,13,Ret,19,,,11
20,Sergey Sirotkin,,,,,,,10,4,,,,,,,,,,,,,,,9
21,Álex Palou,,,,,,,,,,,,,,,,,,,8,8,12,12,5
22,Santino Ferrucci,,,,,,,,,,,,,9,14,9,10,Ret,14,Ret,13,14,15,4
23,Nabil Jeffri,19,16,18,18,14,11,Ret,17,18,12,15,18,12,15,11,15,12,17,9,15,Ret,16,2
24,Robert Vișoiu,,,,,Ret,15,15,11,11,17,17,11,Ret,Ret,10,16,16,19,,,,,1
25,Lando Norris,,,,,,,,,,,,,,,,,,,,,Ret,13,0
26,Callum Ilott,,,,,,,,,,,19,14,,,,,,,,,,,0
27,Stefano Coletti,16,15,,,,,,,,,,,,,,,,,,,,,0
28,René Binder,,,,,,,,,,,,,,,,,,,15,17,,,0
29,Raffaele Marciello,,,,,,,,,19,Ret,,,,,,,,,,,,,0
